matchedPattern,context,lineNumber,columnNumber,publicationName
P43212,"...ase, the protein crystallized in the space group, P43212, and the structures were solve",177,60,ACS_Chem_Biol_2014_Nov_21_9(11)_2584-2593.txt
P43212,space group	P43212	P43212	P43212	P43212,185,13,ACS_Chem_Biol_2014_Nov_21_9(11)_2584-2593.txt
P43212,space group	P43212	P43212	P43212	P43212,185,20,ACS_Chem_Biol_2014_Nov_21_9(11)_2584-2593.txt
P43212,space group	P43212	P43212	P43212	P43212,185,27,ACS_Chem_Biol_2014_Nov_21_9(11)_2584-2593.txt
P43212,space group	P43212	P43212	P43212	P43212,185,34,ACS_Chem_Biol_2014_Nov_21_9(11)_2584-2593.txt
P43212,...oteins for this study crystallized in space group P43212 with unit cell parameters a,640,104,ACS_Chem_Biol_2014_Nov_21_9(11)_2584-2593.txt
P43212,PET-16 in the P43212 spac,269,15,ACS_Chem_Biol_2014_Nov_21_9(11)_2508-2516.txt
P43212,group	C2	P212121	C2	P43212,548,21,PMC5241706.txt
P43212,P43212,113,1,Acta_Crystallogr_A_Found_Adv_2015_Jul_1_71(Pt_4)_353-360.txt
P43212,P43212,114,1,Acta_Crystallogr_A_Found_Adv_2015_Jul_1_71(Pt_4)_353-360.txt
P43212,P43212,115,1,Acta_Crystallogr_A_Found_Adv_2015_Jul_1_71(Pt_4)_353-360.txt
P43212,"...1 crystal and half an FAS particle in the AU of a P43212 crystal (Lomakin et al., 2007 ▶). A 24 Å re...",48,200,Acta_Crystallogr_D_Biol_Crystallogr_2008_Jan_1_64(Pt_1)_76-82.txt
P43212,5.2. MR solution in the P43212 crysta,56,25,Acta_Crystallogr_D_Biol_Crystallogr_2008_Jan_1_64(Pt_1)_76-82.txt
P43212,An MR solution could not be found in the P43212 crystal form with standard searches using t...,57,42,Acta_Crystallogr_D_Biol_Crystallogr_2008_Jan_1_64(Pt_1)_76-82.txt
P43212,"... (sixfold in the P21 crystal and threefold in the P43212 crystal) and the accuracy of the NCS axes, ...",64,463,Acta_Crystallogr_D_Biol_Crystallogr_2008_Jan_1_64(Pt_1)_76-82.txt
P43212,...rger crystals of the tetragonal form (space group P43212) of HEWL also grown from sodium chloride pr...,28,367,Acta_Crystallogr_D_Biol_Crystallogr_2009_Apr_1_65(Pt_4)_379-382.txt
P43212,"...tals from the powder preparation, like the larger P43212 crystals, are birefringent. Preliminary ins...",28,510,Acta_Crystallogr_D_Biol_Crystallogr_2009_Apr_1_65(Pt_4)_379-382.txt
P43212,"...a = b = 79.3, c = 38.0 Å) of the tetragonal form (P43212) of HEWL",28,754,Acta_Crystallogr_D_Biol_Crystallogr_2009_Apr_1_65(Pt_4)_379-382.txt
P43212,...ction profile and was consistent with space group P43212. Differences between the calculated and obs...,30,477,Acta_Crystallogr_D_Biol_Crystallogr_2009_Apr_1_65(Pt_4)_379-382.txt
P43212,"... by this translation (0, 0.735, 0) in space group P43212 the amplitudes of the structure factors do ...",326,804,Acta_Crystallogr_D_Biol_Crystallogr_2009_Jun_1_65(Pt_6)_582-601.txt
