matchedPattern	context	lineNumber	columnNumber	publicationName
TS-0006	...search Agency (Grant ANR-13-PRTS-0006-04) and by the Labex I...	306	295	BMC_Genomics_2015_May_30_16(1)_419.txt
TS-0234	...ience. Junta de AndalucíaP06-CTS-02341Campoy Cristina Spanis...	20	218	BMC_Public_Health_2016_Mar_1_16_207.txt
TS-0234	...ía: Excellence Projects (P06-CTS-02341); Spanish Ministry of...	371	319	BMC_Public_Health_2016_Mar_1_16_207.txt
TS-2011	...5471/$file/HEALTH_HOSPITAL_STATS-2011-270114.pdf?OpenElement...	620	227	Bull_World_Health_Organ_2016_Mar_1_94(3)_201-209F.txt
TS-1999	...lobal Youth Tobacco Survey (GYTS-1999 & 2001) conducted amon...	69	962	Cancer_Epidemiol_2016_Jun_42_66-71.txt
TS-2203	...cía Excellence Project Grant CTS-2203 and by the Instituto d...	73	70	Diabetes_Care_2012_Nov_13_35(11)_2373-2376.txt
TS-0010	...ationnelle en Santé” ANR-13-PRTS-0010)	214	282	Dis_Markers_2016_Feb_11_2016_3501373.txt
TS-6505	..., Junta de Andalucía (Grants CTS-6505 to BS); Ministry of Sc...	334	303	Front_Bioeng_Biotechnol_2015_Aug_17_3_117.txt
TS-1000	... were obtained using a Leica VTS-1000 vibrating microtome (L...	41	504	Front_Neurosci_2013_Aug_30_7_156.txt
TS-5725	...cia de la Junta de Andalucía CTS-5725, AEPMI (Asociación de ...	190	209	Genes_Cancer_2016_Jul_7(7-8)_260-277.txt
TS-7000	...orescence spectrophotometer (HTS-7000 Plus-plate-reader; Per...	63	557	Gut_2009_Aug_24_58(8)_1091-1103.txt
TS-1027	...studies of the MMP inhibitor CTS-1027 (Conatus, San Diego, C...	144	153	Hepat_Med_2010_Oct_1_2_125-145.txt
TS-3413	...CS “Burlo Garofolo”, Trieste, TS-34137, Italy; E-Mails: ant....	3	563	Int_J_Environ_Res_Public_Health_2015_Aug_20_12(8)_9938-9951.txt
TS-3413	...CS “Burlo Garofolo”, Trieste, TS-34137, Italy; E-Mail: marce...	3	834	Int_J_Environ_Res_Public_Health_2015_Aug_20_12(8)_9938-9951.txt
TS-7625	...tion to P10-FQM-6563 and P11-CTS-7625 (Andalusian Regional G...	301	165	Int_J_Mol_Sci_2015_Aug_7_16(8)_18396-18411.txt
TS-2009	...nghttp://www.mt-archive.info/MTS-2009-Guerberof.pdf	190	137	JMIR_Public_Health_Surveill_2015_Nov_17_1(2)_e17.txt
TS-0368	...ous Government of Andalusia (CTS-03687), Regional Ministry o...	94	342	Mol_Vis_2013_Nov_7_19_2187-2195.txt
TS-5001	..., and H-2Kb OVA tetramer (cat#TS-5001-1C; MBL). For the intr...	134	763	Nat_Commun_2016_Apr_12_7_11273.txt
TS-0608	...of General Medical Sciences, CTS-0608889 and CCF-0726378 fro...	62	249	Nature_2010_May_13_465(7295)_202-205.txt
TS-3759	...Competitiveness), and PIE-08-CTS-3759, CVI-6585, PIE-12-CTS-...	56	135	Nutrients_2014_Jan_17_6(1)_371-381.txt
TS-1507	...8-CTS-3759, CVI-6585, PIE-12-CTS-1507 and funds from group B...	56	162	Nutrients_2014_Jan_17_6(1)_371-381.txt
TS-6844	...ria de Ciencia e Innovacion (CTS-6844 and CTS-1848) and Cons...	174	659	Oncotarget_2015_Oct_20_6(38)_40557-40574.txt
TS-1848	...a e Innovacion (CTS-6844 and CTS-1848) and Consejeria de Sal...	174	672	Oncotarget_2015_Oct_20_6(38)_40557-40574.txt
TS-2013	...en partly funded under grant PTS-2013-133 and was approved b...	116	66	Pak_J_Med_Sci_2015_Nov-Dec_31(6)_1537-1541.txt
TS-4977	...Spanish Ministry of Science, CTS-4977 from Junta de Andalucí...	305	175	PLoS_Genet_2011_Jul_14_7(7)_e1002178.txt
TS-0193	...dalucía (P08-CVI-03550) (P06-CTS-01936) Consejería de Salud,...	9	168	PLoS_One_2012_Oct_24_7(10)_e42195.txt
TS-6606	...-17116), J. Andalucia/FEDER (CTS-6606), CIBERobn (Instituto ...	9	78	PLoS_One_2013_Sep_6_8(9)_e73668.txt
TS-8221	... de Andalucía, UE-ERDF (FRF: CTS-8221, JM: CVI-6656), Consej...	9	439	PLoS_One_2015_Dec_15_10(12)_e0145244.txt
TS-6060	...s, EU) to AC and MA; and P10-CTS-6060 (http://www.juntadeand...	9	795	PLoS_One_2015_Jul_24_10(7)_e0133878.txt
TS-0197	...Plan Andaluz de InvestigaciónCTS-0197This work was supported...	37	325	PLoS_One_2016_Aug_22_11(8)_e0161305.txt
TS-0197	...an Andaluz de Investigación (CTS-0197). LOF is the recipient...	37	495	PLoS_One_2016_Aug_22_11(8)_e0161305.txt
TS-0197	...an Andaluz de Investigación (CTS-0197). LOF is the recipient...	267	164	PLoS_One_2016_Aug_22_11(8)_e0161305.txt
TS-6770	...de Andalucía (Project number CTS-6770; Secretaría General de...	9	63	PLoS_One_2016_Mar_29_11(3)_e0152550.txt
TS-6003	19. IEC-TS-60034-27-2. Rotating Electr...	242	8	Sensors_(Basel)_2015_Oct_13_15(10)_25898-25918.txt
TS-4088	...nel was supported by the OTKA TS-40889/2002, OTKA TS-049785/...	112	65	Subst_Abuse_Treat_Prev_Policy_2012_Jan_16_7_3.txt
TS-0497	... the OTKA TS-40889/2002, OTKA TS-049785/2004, OTKA K 73754/2...	112	85	Subst_Abuse_Treat_Prev_Policy_2012_Jan_16_7_3.txt
