matchedPattern,count
AB470317.1,20
AB2.2,7
AB292606.1,7
AB596997.1,6
AB288356.1,5
AB042240.3,5
AB081761.1,4
AB055624.1,3
AB125062.1,3
AB055625.1,3
AB4.1,3
AB430879.1,2
AB112083.1,2
AB604176.1,2
AB811785.1,2
AB431909.1,2
AB01140405.1,2
AB238965.1,2
AB178871.1,2
AB571944.1,2
AB856218.1,2
AB430936.1,2
AB1.1,1
AB14810.3978,1
AB519058.1,1
AB330066.1,1
AB020597.1,1
AB105357.1,1
AB646579.2,1
AB076941.1,1
AB041245.1,1
AB10410.21037,1
AB00410.21037,1
AB055512.1,1
AB057043.1,1
AB011405.1,1
AB362304.1,1
AB062087.1,1
AB646578.2,1
AB697711.1,1
AB057094.1,1
AB307698.1,1
AB029345.1,1
AB14410.21037,1
AB9410.3978,1
AB22410.21037,1
AB5410.3978,1
AB076943.1,1
AB490809.1,1
AB009030.1,1
AB057074.1,1
AB048263.1,1
AB110974.1,1
AB110972.1,1
AB060808.1,1
AB05210.3978,1
AB267249.1,1
AB304782.1,1
AB426868.1,1
AB095511.1,1
AB027752.1,1
AB492766.1,1
AB006448.1,1
AB365482.1,1
AB125594.2,1
AB110968.1,1
AB110969.1,1
AB041244.1,1
AB15210.3978,1
AB581571.1,1
AB105362.1,1
AB18410.3978,1
AB681714.1,1
AB492764.1,1
AB425938.1,1
AB125595.2,1
AB681870.1,1
AB267254.1,1
AB195680.1,1
AB070840.1,1
AB485744.1,1
AB24410.21037,1
AB522705.1,1
AB110966.1,1
AB057040.1,1
AB110970.1,1
AB08410.21037,1
AB116742.1,1
AB517707.1,1
AB291542.2,1
AB033774.1,1
AB13210.3978,1
AB095507.1,1
AB542547.1,1
AB110967.1,1
AB559734.1,1
AB092692.1,1
AB465569.1,1
AB213487.1,1
AB116735.1,1
AB522703.1,1
AB681789.1,1
AB638619.1,1
AB126686.1,1
AB110973.1,1
AB005248.1,1
AB267250.1,1
AB126679.1,1
AB2.1,1
AB1310.3978,1
AB011109.1,1
AB629174.1,1
AB11210.3978,1
AB046425.1,1
AB360809.1,1
AB16410.21037,1
AB665984.1,1
AB665311.1,1
AB049337.1,1
AB004757.2,1
AB057075.1,1
AB204852.1,1
AB284175.1,1
AB646575.2,1
AB492765.1,1
AB193609.1,1
AB26410.21037,1
AB563264.1,1
AB057099.1,1
AB811789.1,1
AB267251.1,1
AB811788.1,1
AB178011.1,1
AB057044.1,1
AB04410.21037,1
AB073166.1,1
AB204853.1,1
AB02410.21037,1
AB057098.1,1
AB376534.1,1
AB511061.1,1
AB665982.1,1
AB18410.21037,1
AB064942.1,1
AB026721.1,1
AB359172.1,1
AB07210.3978,1
AB03110.3978,1
AB681773.1,1
AB110971.1,1
AB194817.1,1
AB033778.1,1
AB074326.2,1
AB19210.3978,1
AB057095.1,1
AB271784.1,1
AB600897.1,1
AB025010.1,1
AB811787.1,1
AB11110.3978,1
AB3410.3978,1
AB014057.1,1
AB231428.1,1
AB025946.2,1
AB076914.1,1
AB247923.1,1
AB811786.1,1
AB859945.1,1
AB681189.1,1
AB671271.1,1
AB681753.1,1
AB06410.21037,1
AB20410.21037,1
AB202078.1,1
AB284369.1,1
AB257325.2,1
AB034802.1,1
AB116744.1,1
AB09210.3978,1
AB17210.3978,1
AB665983.1,1
AB267253.1,1
AB298784.1,1
AB20210.3978,1
AB273744.1,1
AB593337.1,1
AB201233.1,1
AB196668.1,1
AB01110.3978,1
AB665985.1,1
AB091429.1,1
AB432011.1,1
AB095504.1,1
AB0310.3978,1
AB16610.3978,1
AB680098.1,1
AB457024.1,1
AB22010.3978,1
AB509361.1,1
AB267252.1,1
AB7410.3978,1
AB12410.21037,1
AB127977.1,1
AB116740.1,1
AB095506.1,1
AB465574.1,1
AB047593.2,1
AB267717.1,1
AB088205.1,1
