matchedPattern,context,lineNumber,columnNumber,publicationName
rs1471,BMC Blood DisordBMC Blood Disorders1471-2326BioMed Central London 1471-2326-1-11131...,3,34,BMC_Blood_Disord_2001_Apr_10_1_1.txt
rs1471,BMC Blood DisordBMC Blood Disorders1471-2326BioMed Central London 1471-2326-5-51604...,3,34,BMC_Blood_Disord_2005_Jul_25_5_5.txt
rs1471,BMC Blood DisordBMC Blood Disorders1471-2326BioMed Central 1471-2326-10-12018098310...,3,34,BMC_Blood_Disord_2010_Jan_21_10_1.txt
rs1471,BMC Blood DisordBMC Blood DisordBMC Blood Disorders1471-2326BioMed Central 1471-2326-12-52258337910...,3,50,BMC_Blood_Disord_2012_May_14_12_5.txt
rs1471,BMC Cardiovasc DisordBMC Cardiovascular Disorders1471-2261BioMed Central London 1471-2261-2-31183...,3,48,BMC_Cardiovasc_Disord_2002_Jan_18_2_3.txt
rs1471,BMC Cardiovasc DisordBMC Cardiovascular Disorders1471-2261BioMed Central London 1471-2261-3-11136...,3,48,BMC_Cardiovasc_Disord_2003_Sep_18_3_11.txt
rs1471,BMC Cardiovasc DisordBMC Cardiovascular Disorders1471-2261BioMed Central London 1471-2261-4-17154...,3,48,BMC_Cardiovasc_Disord_2004_Oct_14_4_17.txt
rs1471,BMC Cardiovasc DisordBMC Cardiovascular Disorders1471-2261BioMed Central London 1471-2261-5-14159...,3,48,BMC_Cardiovasc_Disord_2005_Jun_22_5_14.txt
rs1471,BMC Cardiovasc DisordBMC Cardiovascular Disorders1471-2261BioMed Central London 1471-2261-6-17166...,3,48,BMC_Cardiovasc_Disord_2006_Apr_12_6_17.txt
rs1471,BMC Cardiovasc DisordBMC Cardiovascular Disorders1471-2261BioMed Central London 1471-2261-6-32168...,3,48,BMC_Cardiovasc_Disord_2006_Jul_7_6_32.txt
rs1471,BMC Cardiovasc DisordBMC Cardiovascular Disorders1471-2261BioMed Central London 1471-2261-6-46171...,3,48,BMC_Cardiovasc_Disord_2006_Nov_30_6_46.txt
rs1471,BMC Cardiovasc DisordBMC Cardiovascular Disorders1471-2261BioMed Central London 1471-2261-7-20176...,3,48,BMC_Cardiovasc_Disord_2007_Jul_13_7_20.txt
rs1471,BMC Cardiovasc DisordBMC Cardiovascular Disorders1471-2261BioMed Central 1471-2261-7-301796350610...,3,48,BMC_Cardiovasc_Disord_2007_Oct_26_7_30.txt
rs1471,BMC Cardiovasc DisordBMC Cardiovascular Disorders1471-2261BioMed Central 1471-2261-8-41829439710....,3,48,BMC_Cardiovasc_Disord_2008_Feb_23_8_4.txt
rs1471,BMC Cardiovasc DisordBMC Cardiovascular Disorders1471-2261BioMed Central 1471-2261-8-271884748110...,3,48,BMC_Cardiovasc_Disord_2008_Oct_10_8_27.txt
rs1471,BMC Cardiovasc DisordBMC Cardiovascular Disorders1471-2261BioMed Central 1471-2261-9-552002853410...,3,48,BMC_Cardiovasc_Disord_2009_Dec_22_9_55.txt
rs1471,BMC Cardiovasc DisordBMC Cardiovascular Disorders1471-2261BioMed Central 1471-2261-9-221948651810...,3,48,BMC_Cardiovasc_Disord_2009_Jun_1_9_22.txt
rs1471,BMC Cardiovasc DisordBMC Cardiovascular Disorders1471-2261BioMed Central 1471-2261-9-491981814310...,3,48,BMC_Cardiovasc_Disord_2009_Oct_9_9_49.txt
rs1471,BMC Cardiovasc DisordBMC Cardiovascular Disorders1471-2261BioMed Central 1471-2261-10-32007887910...,3,48,BMC_Cardiovasc_Disord_2010_Jan_15_10_3.txt
rs1471,BMC Cardiovasc DisordBMC Cardiovascular Disorders1471-2261BioMed Central 1471-2261-10-15202986001...,3,48,BMC_Cardiovasc_Disord_2010_Mar_18_10_15.txt
