matchedPattern,context,lineNumber,columnNumber,publicationName
rs1756,Parasit VectorsParasites & Vectors1756-3305BioMed Central 1756-3305-1-221862762410...,3,33,Parasit_Vectors_2008_Jul_15_1_22.txt
rs1756,Parasit VectorsParasites & Vectors1756-3305BioMed Central 1756-3305-1-421894534310...,3,33,Parasit_Vectors_2008_Oct_22_1_42.txt
rs1756,Parasit VectorsParasites & Vectors1756-3305BioMed Central 1756-3305-2-381968236310...,3,33,Parasit_Vectors_2009_Aug_14_2_38.txt
rs1756,Parasit VectorsParasites & Vectors1756-3305BioMed Central 1756-3305-2-331961504410...,3,33,Parasit_Vectors_2009_Jul_17_2_33.txt
rs1756,Parasit VectorsParasites & Vectors1756-3305BioMed Central 1756-3305-2-251944230810...,3,33,Parasit_Vectors_2009_May_14_2_25.txt
rs1756,Parasit VectorsParasites & Vectors1756-3305BioMed Central 1756-3305-2-S2-S21942644...,3,33,Parasit_Vectors_2009_Sep_25_2(Suppl_2)_S2.txt
rs1756,Parasit VectorsParasites & Vectors1756-3305BioMed Central 1756-3305-3-302037786410...,3,33,Parasit_Vectors_2010_Apr_8_3_30.txt
rs1756,Parasit VectorsParasites & Vectors1756-3305BioMed Central 1756-3305-3-662068475510...,3,33,Parasit_Vectors_2010_Aug_4_3_66.txt
rs1756,Parasit VectorsParasites & Vectors1756-3305BioMed Central 1756-3305-3-42018103110....,3,33,Parasit_Vectors_2010_Jan_28_3_4.txt
rs1756,Parasit VectorsParasites & Vectors1756-3305BioMed Central 1756-3305-3-162022295410...,3,33,Parasit_Vectors_2010_Mar_11_3_16.txt
rs1756,Parasit VectorsParasites & Vectors1756-3305BioMed Central 1756-3305-3-107210838911...,3,33,Parasit_Vectors_2010_Nov_17_3_107.txt
rs1756,Parasit VectorsParasites & Vectors1756-3305BioMed Central 1756-3305-3-922092591710...,3,33,Parasit_Vectors_2010_Oct_6_3_92.txt
rs1756,Parasit VectorsParasites & Vectors1756-3305BioMed Central 1756-3305-4-552148924710...,3,33,Parasit_Vectors_2011_Apr_13_4_55.txt
rs1756,Parasit VectorsParasites & Vectors1756-3305BioMed Central 1756-3305-4-154218129721...,3,33,Parasit_Vectors_2011_Aug_3_4_154.txt
rs1756,Parasit VectorsParasites & Vectors1756-3305BioMed Central 1756-3305-4-227221525931...,3,33,Parasit_Vectors_2011_Dec_7_4_227.txt
rs1756,Parasit VectorsParasites & Vectors1756-3305BioMed Central 1756-3305-4-152129990310...,3,33,Parasit_Vectors_2011_Feb_8_4_15.txt
rs1756,Parasit VectorsParasites & Vectors1756-3305BioMed Central 1756-3305-4-140217674021...,3,33,Parasit_Vectors_2011_Jul_18_4_140.txt
rs1756,Parasit VectorsParasites & Vectors1756-3305BioMed Central 1756-3305-4-131217367231...,3,33,Parasit_Vectors_2011_Jul_7_4_131.txt
rs1756,Parasit VectorsParasites & Vectors1756-3305BioMed Central 1756-3305-4-120217080101...,3,33,Parasit_Vectors_2011_Jun_27_4_120.txt
rs1756,Parasit VectorsParasites & Vectors1756-3305BioMed Central 1756-3305-4-432142922910...,3,33,Parasit_Vectors_2011_Mar_24_4_43.txt
