matchedPattern,context,lineNumber,columnNumber,publicationName
rs2015,...2015 49 1 89201 6 2015 10 8 2015 © 2015. The Authors2015AOSIS OpenJournals. This work is licensed un...,5,62,Afr_J_Prim_Health_Care_Fam_Med_2015_Dec_17_49(1)_892.txt
rs2015,...2015 7 1 75305 7 2014 13 11 2014 © 2015. The Authors2015AOSIS OpenJournals. This work is licensed un...,5,61,Afr_J_Prim_Health_Care_Fam_Med_2015_Jun_26_7(1)_753.txt
rs2015,...2015 7 1 73520 6 2014 08 10 2014 © 2015. The Authors2015AOSIS OpenJournals. This work is licensed un...,5,61,Afr_J_Prim_Health_Care_Fam_Med_2015_May_5_7(1)_735.txt
rs2015,...13 31 7 2015 9 12 2015 15 12 2015 © 2015 The Authors2015This is an open access article under the CC ...,3,830,Agric_Syst_2016_Mar_143_106-113.txt
rs2015,...2015 9 2015 28 6 2015 1 3 289 294 © 2015 The Authors2015This is an open access article under the CC ...,3,692,Alzheimers_Dement_(Amst)_2015_Jun_28_1(3)_289-294.txt
rs2015,...3 2015 3 2015 29 3 2015 1 1 81 86 © 2015 The Authors2015This is an open access article under the CC ...,3,1246,Alzheimers_Dement_(Amst)_2015_Mar_29_1(1)_81-86.txt
rs2015,...015 66 1 60 68 7 7 2014 2 12 2014 © 2015 The Authors2015This is an open access article under the CC ...,3,1016,Am_J_Kidney_Dis_2015_Jul_66(1)_60-68.txt
rs2015,...2015 160 6 1269 1275.e1 24 8 2015 © 2015 The Authors2015This is an open access article under the CC ...,3,1248,Am_J_Ophthalmol_2015_Dec_160(6)_1269-1275_e1.txt
rs2015,... 72 26 6 2015 20 8 2015 21 8 2015 © 2015 The Authors2015This is an open access article under the CC ...,7,79,Anal_Biochem_2015_Dec_1_490_66-72.txt
rs2015,...173 23 11 2014 5 2 2015 21 5 2015 © 2015 The Authors2015This is an open access article under the CC ...,3,777,Anim_Behav_2015_Sep_107_159-173.txt
rs2015,... 354 14 4 2015 7 8 2015 21 8 2015 © 2015 The Authors2015This is an open access article under the CC ...,5,86,Ann_Med_Surg_(Lond)_2015_Aug_25_4(4)_351-354.txt
rs2015,...6 21 9 2015 28 12 2015 28 12 2015 © 2015 The Authors2015This is an open access article under the CC ...,3,1242,Ann_Med_Surg_(Lond)_2015_Dec_30_5_93-96.txt
rs2015,... 247 9 4 2015 20 7 2015 20 7 2015 © 2015 The Authors2015This is an open access article under the CC ...,3,790,Ann_Med_Surg_(Lond)_2015_Jul_26_4(3)_240-247.txt
rs2015,...3 27 3 2015 20 10 2015 26 10 2015 © 2015 The Authors2015This is an open access article under the CC ...,3,968,Ann_Med_Surg_(Lond)_2015_Nov_10_5_11-13.txt
rs2015,...30 5 8 2015 18 10 2015 20 10 2015 © 2015 The Authors2015This is an open access article under the CC ...,3,562,Ann_Med_Surg_(Lond)_2015_Oct_23_4(4)_428-430.txt
rs2015,...7 2 2015 3 2015 07 2 2015 4 44 49 © 2015 The Authors2015This is an open access article under the CC ...,3,818,Appl_Transl_Genom_2015_Feb_7_4_44-49.txt
rs2015,... 24 11 2015 22 12 2015 24 12 2015 © 2015 The Authors2015This is an open access article under the CC ...,3,1386,Atherosclerosis_2016_Mar_246_36-43.txt
rs2015,...39 5 458 463 3 2015 7 2015 7 2015 © 2015 The Authors2015This is an open access article under the ter...,5,70,Aust_N_Z_J_Public_Health_2015_Oct_6_39(5)_458-463.txt
rs2015,... 125 17 12 2014 2 1 2015 5 1 2015 © 2015 The Authors2015This is an open access article under the CC ...,3,922,BBA_Clin_2015_Jan_16_3_123-125.txt
rs2015,...20 24 11 2014 10 2 2015 24 2 2015 © 2015 The Authors2015This is an open access article under the CC ...,3,1496,BBA_Clin_2015_Mar_3_3_214-220.txt
