matchedPattern,context,lineNumber,columnNumber,publicationName
rs2016,...2016 8 2 95829 7 2015 30 11 2015 © 2016. The Authors2016AOSIS. This work is licensed under the Creat...,3,575,Afr_J_Prim_Health_Care_Fam_Med_2016_Apr_22_8(2)_958.txt
rs2016,...2016 8 1 102807 9 2015 16 4 2016 © 2016. The Authors2016AOSIS. This work is licensed under the Creat...,3,650,Afr_J_Prim_Health_Care_Fam_Med_2016_Jul_7_8(1)_1028.txt
rs2016,...016 8 1 101213 8 2015 18 11 2015 © 2016. The Authors2016AOSIS. This work is licensed under the Creat...,5,62,Afr_J_Prim_Health_Care_Fam_Med_2016_Mar_30_8(1)_1012.txt
rs2016,...  *Book price at time of review  © 2016. The Authors2016AOSIS. This work is licensed under the Creat...,5,154,Afr_J_Prim_Health_Care_Fam_Med_2016_Sep_15_8(1)_1202.txt
rs2016,...12 12 2015 2016 12 12 2015 3 7 17 © 2016 The Authors2016This is an open access article under the CC ...,3,1176,Alzheimers_Dement_(Amst)_2015_Dec_12_3_7-17.txt
rs2016,...5 2 2016 2016 15 2 2016 2 123 131 © 2016 The Authors2016This is an open access article under the CC ...,3,1004,Alzheimers_Dement_(Amst)_2016_Feb_15_2_123-131.txt
rs2016,...1 48 2 4 2016 23 7 2016 24 7 2016 © 2016 The Authors2016This is an open access article under the CC ...,3,938,Ann_Med_Surg_(Lond)_2016_Jul_26_10_41-48.txt
rs2016,...1 74 8 2 2016 16 3 2016 16 3 2016 © 2016 The Authors2016This is an open access article under the CC ...,3,1078,Ann_Med_Surg_(Lond)_2016_Mar_19_7_71-74.txt
rs2016,...228 29 7 2015 13 4 2016 16 4 2016 © 2016 The Authors2016This is an open access article under the CC ...,3,579,Appetite_2016_Aug_1_103_221-228.txt
rs2016,...0 107 3 6 2016 29 7 2016 1 8 2016 © 2016 The Authors2016This is an open access article under the CC ...,3,1181,BBA_Clin_2016_Aug_3_6_100-107.txt
rs2016,...1 4 10 2 2016 10 5 2016 10 5 2016 © 2016 The Authors2016This is an open access article under the CC ...,3,844,BBA_Clin_2016_May_12_6_1-4.txt
rs2016,...93 701 7 5 2015 18 12 2015 21 12 2015 © 2016 Authors2016This is an open access article published by ...,3,1093,Biochem_J_2016_Mar_15_473(Pt_6)_693-701.txt
rs2016,...25 11 11 2015 18 1 2016 20 1 2016 © 2016 The Authors2016This is an open access article under the CC ...,3,1115,Biochim_Biophys_Acta_2016_May_1862(5)_915-925.txt
rs2016,...9 39 30 6 2016 9 8 2016 19 8 2016 © 2016 The Authors2016This is an open access article under the CC ...,3,709,Biomol_Detect_Quantif_2016_Aug_30_9_29-39.txt
rs2016,...1e002821 9 2015 11 11 2015 20 11 2015 © 2016 Authors2016This is an open access article published by ...,3,761,Biosci_Rep_2016_Jan_15_36(1)_e00282.txt
rs2016,...2 2e0031110 6 2015 25 1 2016 1 2 2016 © 2016 Authors2016This is an open access article published by ...,3,891,Biosci_Rep_2016_Mar_16_36(2)_e00311.txt
rs2016,...3 96 25 1 2015 8 3 2015 12 3 2015 © 2016 The Authors2016This is an open-access article published by ...,7,71,BJPsych_Bull_2016_Apr_40(2)_93-96.txt
rs2016,... 4 14 10 2014 22 12 2014 2 2 2015 © 2016 The Authors2016This is an open-access article published by ...,7,64,BJPsych_Bull_2016_Feb_40(1)_1-4.txt
rs2016,... 40 3 115 118 13 8 2015 27 8 2015 © 2016 The Authors2016This is an open-access article published by ...,7,57,BJPsych_Bull_2016_Jun_40(3)_115-118.txt
rs2016,...2 15 5 2015 12 11 2015 26 11 2015 © 2016 The Authors2016This is an open-access article published by ...,6,70,BJPsych_Bull_2016_Oct_40(5)_266-272.txt
