matchedPattern,context,lineNumber,columnNumber,publicationName
rs3,...600536807063489ACSEBHS1600536807063489Organic Papers3-Phenyl-1-(pyrrol-2-yl)prop-2-en-1-one C13H11NO...,3,227,Acta_Crystallogr_Sect_E_Struct_Rep_Online_2007_Dec_6_64(Pt_1)_o151.txt
rs3,"...600536807065038ACSEBHS1600536807065038Organic Papers3,4-Dihydr­oxy-N′-(2-hydroxy­benzyl­idene)benzoh...",3,227,Acta_Crystallogr_Sect_E_Struct_Rep_Online_2007_Dec_6_64(Pt_1)_o210.txt
rs3,...600536807060874ACSEBHS1600536807060874Organic Papers3-Allyl-1-(2-cyano­benz­yl)-2-methyl­benzimidazo...,3,227,Acta_Crystallogr_Sect_E_Struct_Rep_Online_2007_Dec_6_64(Pt_1)_o23.txt
rs3,"...600536807049860ACSEBHS1600536807049860Organic Papers3,4-Dicyano­phenyl 2,3,4,6-tetra-O-acetyl-α-d-gl...",3,227,Acta_Crystallogr_Sect_E_Struct_Rep_Online_2007_Dec_6_64(Pt_1)_o63.txt
rs3,"...600536808011264ACSEBHS1600536808011264Organic Papers3-(3-Chloro­prop­yl)-7,8-dimeth­oxy-1H-3-benzaze...",3,227,Acta_Crystallogr_Sect_E_Struct_Rep_Online_2008_Apr_26_64(Pt_5)_o906.txt
rs3,...600536808041032ACSEBHS1600536808041032Organic Papers3-Amino­phenyl naphthalene-1-sulfonate C16H13NO3...,3,227,Acta_Crystallogr_Sect_E_Struct_Rep_Online_2008_Dec_10_65(Pt_1)_o72.txt
rs3,"...600536808042001ACSEBHS1600536808042001Organic Papers3-[3-(3-Fluoro­phen­yl)-1,2,4-oxadiazol-5-yl]pro...",3,227,Acta_Crystallogr_Sect_E_Struct_Rep_Online_2008_Dec_17_65(Pt_1)_o146.txt
rs3,...600536807060205ACSEBHS1600536807060205Organic Papers3-Chloro-5-(trifluoro­meth­yl)pyridin-2-amine C6...,3,227,Acta_Crystallogr_Sect_E_Struct_Rep_Online_2008_Jan_11_64(Pt_2)_o430.txt
rs3,"...600536807066640ACSEBHS1600536807066640Organic Papers3,4-Bis(4-nitro­phen­yl)-1,2,5-oxadiazole 2-oxid...",3,227,Acta_Crystallogr_Sect_E_Struct_Rep_Online_2008_Jan_23_64(Pt_2)_o511.txt
rs3,"...600536808020850ACSEBHS1600536808020850Organic Papers3,5-Dinitro­benzyl methane­sulfonate C8H8N2O7SKh...",3,227,Acta_Crystallogr_Sect_E_Struct_Rep_Online_2008_Jul_12_64(Pt_8)_o1470.txt
rs3,"...600536808022502ACSEBHS1600536808022502Organic Papers3,6-Bis(3,4,5-trimethoxy­phen­yl)-1,2,4-triazolo...",3,227,Acta_Crystallogr_Sect_E_Struct_Rep_Online_2008_Jul_23_64(Pt_8)_o1577.txt
rs3,...600536808005291ACSEBHS1600536808005291Organic Papers3-[2-(Anilinocarbon­yl)eth­yl]-1-methyl-1H-imida...,3,227,Acta_Crystallogr_Sect_E_Struct_Rep_Online_2008_Mar_20_64(Pt_4)_o721.txt
rs3,"...600536808034193ACSEBHS1600536808034193Organic Papers3,4-Dimeth­oxy-N-(3-nitro­benzyl­idene)aniline C...",3,227,Acta_Crystallogr_Sect_E_Struct_Rep_Online_2008_Oct_22_64(Pt_11)_o2175-o2176.txt
rs3,"...600536808034302ACSEBHS1600536808034302Organic Papers3,5-Difluoro­phenyl phenyl sulfone C12H8F2O2SGro...",3,227,Acta_Crystallogr_Sect_E_Struct_Rep_Online_2008_Oct_25_64(Pt_11)_o2207.txt
rs3,"...600536809013841ACSEBHS1600536809013841Organic Papers3-Amino-2-methyl-4-oxo-3,4-dihydro­quinazolin-1-...",3,227,Acta_Crystallogr_Sect_E_Struct_Rep_Online_2009_Apr_18_65(Pt_5)_o1051.txt
rs3,"...600536809001548ACSEBHS1600536809001548Organic Papers3-(2,4-Dichloro­phen­yl)-1,5-di-2-furylpentane-1...",3,227,Acta_Crystallogr_Sect_E_Struct_Rep_Online_2009_Jan_17_65(Pt_2)_o336-o337.txt
rs3,"...60053680901695XACSEBHS160053680901695XOrganic Papers3,5-Bis(4-methoxy­phen­yl)-1H-1,2,4-triazole mon...",3,227,Acta_Crystallogr_Sect_E_Struct_Rep_Online_2009_May_14_65(Pt_6)_o1260.txt
rs3,"...600536809043797ACSEBHS1600536809043797Organic Papers3-(2-Amino-1-methyl-4-oxo-4,5-dihydro-1H-imidazo...",3,227,Acta_Crystallogr_Sect_E_Struct_Rep_Online_2009_Oct_31_65(Pt_11)_o2909-o2910.txt
rs3,...600536809035892ACSEBHS1600536809035892Organic Papers3-Carbamothioylpyridinium iodide C6H7N2S+·I−Shar...,3,227,Acta_Crystallogr_Sect_E_Struct_Rep_Online_2009_Sep_9_65(Pt_10)_o2423.txt
rs3,"...600536810013073ACSEBHS1600536810013073Organic Papers3,3′-(5,5,7,12,12,14-Hexa­methyl-1,4,8,11-tetra­...",3,227,Acta_Crystallogr_Sect_E_Struct_Rep_Online_2010_Apr_17_66(Pt_5)_o1089.txt
