matchedPattern,context,lineNumber,columnNumber,publicationName
rs4,...60053680802446XACSEBHS160053680802446XOrganic Papers4-Chloro-N′-[(Z)-4-nitro­benzyl­idene]benzohydra...,3,227,Acta_Crystallogr_Sect_E_Struct_Rep_Online_2008_Aug_6_64(Pt_9)_o1707.txt
rs4,...60053680802388XACSEBHS160053680802388XOrganic Papers4-Amino­phthalimide C8H6N2O2Sarkar Moloy a*a Dep...,3,227,Acta_Crystallogr_Sect_E_Struct_Rep_Online_2008_Jul_31_64(Pt_8)_o1654.txt
rs4,"...600536808018345ACSEBHS1600536808018345Organic Papers4,4′-[2,2-Dimethyl­propane-1,3-diyl­bis(nitrilo­...",3,227,Acta_Crystallogr_Sect_E_Struct_Rep_Online_2008_Jun_19_64(Pt_7)_o1308.txt
rs4,"...600536808014347ACSEBHS1600536808014347Organic Papers4-Hydr­oxy-1-oxo-1,2-dihydro­phthalazine-6,7-dic...",3,227,Acta_Crystallogr_Sect_E_Struct_Rep_Online_2008_Jun_7_64(Pt_7)_o1225.txt
rs4,...600536808008003ACSEBHS1600536808008003Organic Papers4-Methyl-6-phenyl­pyrimidin-2-amine C11H11N3Li Z...,3,227,Acta_Crystallogr_Sect_E_Struct_Rep_Online_2008_Mar_29_64(Pt_4)_o759.txt
rs4,...600536808010179ACSEBHS1600536808010179Organic Papers4-Ammonio­benzamidinium dichloride C7H11N32+·2Cl...,3,227,Acta_Crystallogr_Sect_E_Struct_Rep_Online_2008_May_3_64(Pt_6)_o967-o968.txt
rs4,...600536808037070ACSEBHS1600536808037070Organic Papers4-[(4-Amino-3-pyrid­yl)imino­meth­yl]benzonitril...,3,227,Acta_Crystallogr_Sect_E_Struct_Rep_Online_2008_Nov_13_64(Pt_12)_o2342.txt
rs4,...600536808030201ACSEBHS1600536808030201Organic Papers4-Allyl-4-ethyl­morpholinium chloride C9H18NO+·C...,3,227,Acta_Crystallogr_Sect_E_Struct_Rep_Online_2008_Sep_27_64(Pt_10)_o2013.txt
rs4,"...600536809013166ACSEBHS1600536809013166Organic Papers4′-Chloro-3′,5′-dimethoxy­acetanilide C10H12ClNO...",3,227,Acta_Crystallogr_Sect_E_Struct_Rep_Online_2009_Apr_22_65(Pt_5)_o1078.txt
rs4,"...600536809031110ACSEBHS1600536809031110Organic Papers4,11-Diaza-1,8-diazo­niacyclo­tetra­decane dichl...",3,227,Acta_Crystallogr_Sect_E_Struct_Rep_Online_2009_Aug_12_65(Pt_9)_o2128.txt
rs4,...600536809032607ACSEBHS1600536809032607Organic Papers4-Amino-3-[(4-methoxy­phen­yl)amino­meth­yl]-1H-...,3,227,Acta_Crystallogr_Sect_E_Struct_Rep_Online_2009_Aug_22_65(Pt_9)_o2213.txt
rs4,...600536809006825ACSEBHS1600536809006825Organic Papers4-Amino-3-bromo­benzoic acid C7H6BrNO2Arshad Muh...,3,227,Acta_Crystallogr_Sect_E_Struct_Rep_Online_2009_Feb_28_65(Pt_3)_o640.txt
rs4,"...600536809000427ACSEBHS1600536809000427Organic Papers4,4′-(Cyclo­hexane-1,1-di­yl)diphenol methanol s...",3,227,Acta_Crystallogr_Sect_E_Struct_Rep_Online_2009_Jan_10_65(Pt_2)_o269.txt
rs4,"...600536809000579ACSEBHS1600536809000579Organic Papers4-But­oxy-3-(2,4-dichloro­phen­yl)-1-oxaspiro­[4...",3,227,Acta_Crystallogr_Sect_E_Struct_Rep_Online_2009_Jan_14_65(Pt_2)_o302.txt
rs4,...600536809025586ACSEBHS1600536809025586Organic Papers4-[(Z)-(2-Fur­yl)(2-naphthyl­amino)methyl­ene)]-...,3,227,Acta_Crystallogr_Sect_E_Struct_Rep_Online_2009_Jul_11_65(Pt_8)_o1824.txt
rs4,"...600536809026920ACSEBHS1600536809026920Organic Papers4,4′-Bis(2-methoxy­lstyr­yl)biphen­yl C30H26O2Li...",3,227,Acta_Crystallogr_Sect_E_Struct_Rep_Online_2009_Jul_18_65(Pt_8)_o1930.txt
rs4,"...600536809029109ACSEBHS1600536809029109Organic Papers4,4′-Di-tert-butyl-2,2′-bipyridine C18H24N2Amara...",3,227,Acta_Crystallogr_Sect_E_Struct_Rep_Online_2009_Jul_31_65(Pt_8)_o2047.txt
rs4,...600536809021849ACSEBHS1600536809021849Organic Papers4-(Carboxy­meth­yl)anilinium chloride C8H10NO2+·...,3,227,Acta_Crystallogr_Sect_E_Struct_Rep_Online_2009_Jun_13_65(Pt_7)_o1563-o1564.txt
rs4,...600536809024027ACSEBHS1600536809024027Organic Papers4-(4-Pentyl­cyclo­hexyl)phenol C17H26OWang He-Fa...,3,227,Acta_Crystallogr_Sect_E_Struct_Rep_Online_2009_Jun_27_65(Pt_7)_o1717.txt
rs4,...600536809021187ACSEBHS1600536809021187Organic Papers4-Nitro­benzyl 2-bromo­acetate C9H8BrNO4Zhu Kai ...,3,227,Acta_Crystallogr_Sect_E_Struct_Rep_Online_2009_Jun_6_65(Pt_7)_o1522.txt
