matchedPattern,context,lineNumber,columnNumber,publicationName
rs5,"the motion of individual molecular walkers5 have been examined by this means. However, the...",48,41,ACS_Nano_2016_Sep_27_10(9)_8843-8850.txt
rs5,...60053680706309XACSEBHS160053680706309XOrganic Papers5-Amino-3-(4-pyrid­yl)isoxazole C8H7N3OYao Zheng...,3,227,Acta_Crystallogr_Sect_E_Struct_Rep_Online_2007_Dec_6_64(Pt_1)_o131.txt
rs5,"...600536808008180ACSEBHS1600536808008180Organic Papers5,6-Dichloro-2-(2-hydroxy­phen­yl)­iso­indoline-...",3,227,Acta_Crystallogr_Sect_E_Struct_Rep_Online_2008_Apr_2_64(Pt_5)_o778.txt
rs5,"...600536808005801ACSEBHS1600536808005801Organic Papers5-Amino-3-methyl-1-phenyl-1H-1,2,4-triazole C9H1...",3,227,Acta_Crystallogr_Sect_E_Struct_Rep_Online_2008_Mar_7_64(Pt_4)_o684.txt
rs5,"...600536808012324ACSEBHS1600536808012324Organic Papers5,7-Bis(1-benzothio­phen-2-yl)-2,3-dihydro­thien...",3,227,Acta_Crystallogr_Sect_E_Struct_Rep_Online_2008_May_10_64(Pt_6)_o1049.txt
rs5,...600536808012816ACSEBHS1600536808012816Organic Papers5-(4-Chloro­phen­yl)-1-methyl-3-oxocyclo­hexa­ne...,3,227,Acta_Crystallogr_Sect_E_Struct_Rep_Online_2008_May_7_64(Pt_6)_o1006.txt
rs5,"...600536809013713ACSEBHS1600536809013713Organic Papers5-(4-Bromo­phen­yl)-1,2,3,4-tetra­hydro­benzo[a]...",3,227,Acta_Crystallogr_Sect_E_Struct_Rep_Online_2009_Apr_18_65(Pt_5)_o1074.txt
rs5,"...60053680900659XACSEBHS160053680900659XOrganic Papers5-Bromo-17-nitro-26,28-prop-2-en­oxy-25,27-dipro...",3,227,Acta_Crystallogr_Sect_E_Struct_Rep_Online_2009_Feb_28_65(Pt_3)_o617.txt
rs5,...600536809028657ACSEBHS1600536809028657Organic Papers5-Azido-4-benz­yloxy-2-meth­oxy-6-methyl­perhydr...,3,227,Acta_Crystallogr_Sect_E_Struct_Rep_Online_2009_Jul_25_65(Pt_8)_o1972.txt
rs5,...600536809009787ACSEBHS1600536809009787Organic Papers5-Benzene­sulfonamido-2-chloro­benzoic acid C13H...,3,227,Acta_Crystallogr_Sect_E_Struct_Rep_Online_2009_Mar_25_65(Pt_4)_o831.txt
rs5,"...600536809049721ACSEBHS1600536809049721Organic Papers5,6,7,8-Tetra­hydro­naphthalene-1-carboxylic aci...",3,268,Acta_Crystallogr_Sect_E_Struct_Rep_Online_2009_Nov_28_65(Pt_12)_o3223.txt
rs5,"...600536809050715ACSEBHS1600536809050715Organic Papers5,7-Dihydr­oxy-3,6,8-trimethoxy­flavone C18H16O7...",3,268,Acta_Crystallogr_Sect_E_Struct_Rep_Online_2009_Nov_28_65(Pt_12)_o3276-o3277.txt
rs5,"...600536809038148ACSEBHS1600536809038148Organic Papers5-(4-Bromo­phen­yl)-2-(3,4-methyl­ene­dioxy­phen...",3,227,Acta_Crystallogr_Sect_E_Struct_Rep_Online_2009_Sep_26_65(Pt_10)_o2530.txt
rs5,"...600536809033777ACSEBHS1600536809033777Organic Papers5,6-Dihydr­oxy-1,10-phenanthrolin-1-ium chloride...",3,227,Acta_Crystallogr_Sect_E_Struct_Rep_Online_2009_Sep_5_65(Pt_10)_o2367.txt
rs5,...600536810011906ACSEBHS1600536810011906Organic Papers5-Bromo-3-ethyl­sulfinyl-2-(4-fluoro­phen­yl)-7-...,3,227,Acta_Crystallogr_Sect_E_Struct_Rep_Online_2010_Apr_10_66(Pt_5)_o1042.txt
rs5,"...600536810008779ACSEBHS1600536810008779Organic Papers5,6,7,8-Tetra­hydro­quinoline 1-oxide hemihydrat...",3,227,Acta_Crystallogr_Sect_E_Struct_Rep_Online_2010_Mar_13_66(Pt_4)_o806-o807.txt
rs5,...600536810039310ACSEBHS1600536810039310Organic Papers5-[(E)-Benzyl­idene]-2-hy­droxy-10-methyl-8-phen...,3,227,Acta_Crystallogr_Sect_E_Struct_Rep_Online_2010_Oct_9_66(Pt_11)_o2736-o2737.txt
rs5,...600536810038912ACSEBHS1600536810038912Organic Papers5-(Anthracen-9-yl)-3-(4-nitro­phen­yl)-1-phenyl-...,3,227,Acta_Crystallogr_Sect_E_Struct_Rep_Online_2010_Oct_9_66(Pt_11)_o2786.txt
rs5,"...600536811051920ACSEBHS1600536811051920Organic Papers5,6-Dimethyl-1,2,4-triazin-3-amine C5H8N4Wu Man-...",3,227,Acta_Crystallogr_Sect_E_Struct_Rep_Online_2011_Dec_7_68(Pt_1)_o39.txt
rs5,"...600536811002303ACSEBHS1600536811002303Organic Papers5-Bromo-3-(4-fluoro­phenyl­sulfin­yl)-2,4,6-trim...",3,227,Acta_Crystallogr_Sect_E_Struct_Rep_Online_2011_Jan_22_67(Pt_2)_o471.txt
