matchedPattern,context,lineNumber,columnNumber,publicationName
rs6,"...600536808024021ACSEBHS1600536808024021Organic Papers6-[(Dimethyl­amino)methyl­ene­amino]-1,3-dimethy...",3,227,Acta_Crystallogr_Sect_E_Struct_Rep_Online_2008_Aug_6_64(Pt_9)_o1662.txt
rs6,...600536808017236ACSEBHS1600536808017236Organic Papers6-Methyl-N-(4-methoxy­phen­yl)-2-[(E)-(4-methyl­...,3,227,Acta_Crystallogr_Sect_E_Struct_Rep_Online_2008_Jun_13_64(Pt_7)_o1258.txt
rs6,"...600536808007460ACSEBHS1600536808007460Organic Papers6,6,9a-Trimethyl-5,5a,6,7,8,9,9a,9b-octa­hydro­n...",3,227,Acta_Crystallogr_Sect_E_Struct_Rep_Online_2008_Mar_29_64(Pt_4)_o738.txt
rs6,"...600536809006242ACSEBHS1600536809006242Organic Papers6-(2,6-Dimethyl­phen­yl)pyrido[2,3-d]pyrimidin-7...",3,227,Acta_Crystallogr_Sect_E_Struct_Rep_Online_2009_Feb_25_65(Pt_3)_o591.txt
rs6,"...600536809002347ACSEBHS1600536809002347Organic Papers6-[3-(2,4-Dimethyl­anilino)-2-hydroxy­prop­oxy]-...",3,227,Acta_Crystallogr_Sect_E_Struct_Rep_Online_2009_Jan_23_65(Pt_2)_o367.txt
rs6,"...600536810012791ACSEBHS1600536810012791Organic Papers6-Bromo-3-methyl-1H-imidazo[4,5-b]pyridin-2(3H)-...",3,227,Acta_Crystallogr_Sect_E_Struct_Rep_Online_2010_Apr_14_66(Pt_5)_o1080.txt
rs6,"...600536810052621ACSEBHS1600536810052621Organic Papers6-(4-Chloro­phen­yl)-2-isobutyl­imidazo[2,1-b][1...",3,227,Acta_Crystallogr_Sect_E_Struct_Rep_Online_2010_Dec_24_67(Pt_1)_o207.txt
rs6,"...600536810022683ACSEBHS1600536810022683Organic Papers6-(Trifluoro­meth­yl)pyrimidine-2,4(1H,3H)-dione...",3,227,Acta_Crystallogr_Sect_E_Struct_Rep_Online_2010_Jun_18_66(Pt_7)_o1699.txt
rs6,"...600536810007695ACSEBHS1600536810007695Organic Papers6-Bromo-1-(1,2-propadien­yl)-3-(2-propyn­yl)-1H-...",3,227,Acta_Crystallogr_Sect_E_Struct_Rep_Online_2010_Mar_6_66(Pt_4)_o755.txt
rs6,"...600536810034434ACSEBHS1600536810034434Organic Papers6-Amino-5-(1-amino-2,2-dicyano­vin­yl)-3,3a,4,5-...",3,227,Acta_Crystallogr_Sect_E_Struct_Rep_Online_2010_Sep_4_66(Pt_10)_o2484-o2485.txt
rs6,...600536811053359ACSEBHS1600536811053359Organic Papers6-Chloro­quinolin-2(1H)-one C9H6ClNOZhang Chen-G...,3,227,Acta_Crystallogr_Sect_E_Struct_Rep_Online_2011_Dec_21_68(Pt_1)_o188.txt
rs6,...600536811003990ACSEBHS1600536811003990Organic Papers6-(1H-Tetra­zol-5-yl)-1H-indole monohydrate C9H7...,3,227,Acta_Crystallogr_Sect_E_Struct_Rep_Online_2011_Feb_23_67(Pt_3)_o692.txt
rs6,"...600536811001085ACSEBHS1600536811001085Organic Papers6-Oxo-5-[(trifluoro­meth­yl)sulfon­yl]-1,2,4a,5,...",3,227,Acta_Crystallogr_Sect_E_Struct_Rep_Online_2011_Jan_15_67(Pt_2)_o382.txt
rs6,"...600536811020903ACSEBHS1600536811020903Organic Papers6-Amino-1,3-dimethyl-5-[(E)-2-(methyl­sulfan­yl)...",3,227,Acta_Crystallogr_Sect_E_Struct_Rep_Online_2011_Jun_11_67(Pt_7)_o1592.txt
rs6,"...600536811039821ACSEBHS1600536811039821Organic Papers6-(3,5-Dimethyl­benz­yl)-5-ethyl-1-[(2-phen­oxy­...",3,227,Acta_Crystallogr_Sect_E_Struct_Rep_Online_2011_Oct_5_67(Pt_11)_o2839.txt
rs6,"...60053681200565XACSEBHS160053681200565XOrganic Papers6,7-Bis(bromo­meth­yl)-2,11,18,21,24,27-hexa­oxa...",3,227,Acta_Crystallogr_Sect_E_Struct_Rep_Online_2012_Feb_17_68(Pt_3)_o720.txt
rs6,...600536812020405ACSEBHS1600536812020405Organic Papers6-Chloro-1-({[(2E)-2-methyl-3-phenyl­prop-2-en-1...,3,268,Acta_Crystallogr_Sect_E_Struct_Rep_Online_2012_May_19_68(Pt_6)_o1770-o1771.txt
rs6,"...600536814004516ACSEBHS1600536814004516Organic Papers6,6′-Di­nitro-1,1′-(ethane-1,2-di­yl)di(1H-indaz...",3,268,Acta_Crystallogr_Sect_E_Struct_Rep_Online_2014_Mar_5_70(Pt_4)_o390.txt
rs6,"... found by da Silva et al.,17 Kalantri and co-workers6 and Lalloo and associates.18 The higher median...",206,179,Afr_J_Prim_Health_Care_Fam_Med_2012_Jun_13_4(1)_371.txt
rs6,...0 primer designed and validated by Imwong and others6 was compatible with the PLF primer described b...,9,649,Am_J_Trop_Med_Hyg_2013_Oct_9_89(4)_721-723.txt
