matchedPattern,count
NC_019634.1,1
NC_019955.1,1
NC_001143.7,1
NW_001794448.1,1
NC_000009.12,1
NC_007886.1,1
NG_007159.3,1
NC_000084.5,1
NC_007323.2,1
NC_003112.1,1
NW_003217785.1,1
NC_001807.4,1
NG_016295.1,1
NC_007183.1,1
NC_011751.1,1
NC_006840.2,1
NC_004310.3,1
NC_001147.5,1
NW_003217339.1,1
NW_004676457.1,1
NC_007307.5,1
NC_001699.1,1
NC_000022.11,1
NC_003317.1,1
NC_020238.1,1
NW_003217988.1,1
NG_007405.1,1
NW_001867381.1,1
NW_003218810.1,1
NW_004678344.1,1
NC_021433.1,1
NC_006049.2,1
NW_004523255.1,1
NW_004523725.1,1
NC_023107.1,1
NC_008054.1,1
NG_029372.1,1
NC_001669.1,1
NW_003218321.1,1
NC_001138.4,1
NW_001261806.8,1
NC_002951.2,1
NC_010628.1,1
NC_008319.1,1
NC_015637.1,1
NC_001401.2,1
NC_001620.1,1
NC_009376.1,1
NC_001134.7,1
NC_010163.1,1
NC_000018.9,1
NC_012578.1,1
NC_001135.4,1
NC_002677.1,1
NC_012121.1,1
NG_012772.3,1
NW_003217306.1,1
NC_001666.2,1
NC_010742.1,1
NC_002935.2,1
NG_011605.1,1
NT_039687.7,1
NC_016893.1,1
NC_000082.6,1
NW_002196662.1,1
NW_003217302.1,1
NW_003218027.1,1
NC_002978.6,1
NC_016612.1,1
NC_003076.4,1
NC_000921.1,1
NW_003217851.1,1
NW_003217359.1,1
NW_004676406.1,1
NC_002516.1,1
NC_015481.1,1
NW_003217305.1,1
NC_006050.1,1
NW_003218647.1,1
NC_017532.1,1
NW_004523802.1,1
NW_003218755.1,1
NW_003217942.1,1
NG_009115.1,1
NC_006510.1,1
NC_015858.1,1
NC_008576.1,1
NC_006161.1,1
NT_039240.7,1
NC_004311.2,1
NC_019843.2,1
NC_004561.1,1
NC_008526.1,1
NC_004145.1,1
NC_003691.1,1
NG_009015.1,1
NG_009176.1,1
NC_014966.1,1
NC_013460.1,1
NC_004718.3,1
NG_007954.1,1
NG_012454.1,1
NC_005966.1,1
NC_007324.5,1
NC_013707.2,1
NG_009364.1,1
NC_007187.1,1
NC_004463.1,1
NW_003217293.1,1
NC_007977.1,1
NC_000854.1,1
NG_012307.1,1
NC_003074.4,1
NC_006155.1,1
NC_001710.1,1
NC_009073.1,1
NW_003218591.1,1
NC_004993.1,1
NC_004144.1,1
NW_001254419.8,1
NW_004677175.1,1
NC_005116.2,1
NC_022566.1,1
NC_012580.1,1
NC_000022.9,1
NC_016765.1,1
NC_004830.2,1
NC_006841.2,1
NC_003909.8,1
NC_023111.1,1
NC_003923.1,1
NC_010572.1,1
NC_006043.2,1
NW_003219081.1,1
NW_003217989.1,1
NW_004676396.1,1
NG_012075.1,1
NC_012417.1,1
NG_009250.1,1
NW_003217483.1,1
NW_003219474.1,1
NC_012731.1,1
NC_003143.1,1
NG_008332.2,1
NG_008169.1,1
NW_004676826.1,1
NC_014842.1,1
NG_008196.1,1
NG_007120.1,1
NC_000016.10,1
NT_025741.14,1
NG_008203.1,1
NW_003218585.1,1
NW_003218029.1,1
NG_005479.2,1
NG_012690.1,1
NC_009800.1,1
NC_008595.1,1
NW_004676627.1,1
NC_000932.1,1
NC_023108.1,1
NC_015476.1,1
NC_019971.1,1
NC_009962.1,1
NC_004670.1,1
NW_003217471.1,1
NC_000009.11,1
NW_003218013.1,1
NC_007186.1,1
NC_009436.1,1
NW_003218843.1,1
NC_021429.1,1
NC_000018.10,1
NT_010194.16,1
NC_013456.1,1
NC_012039.1,1
NT_166349.1,1
NC_001139.8,1
NC_007184.1,1
NW_001254419.1,1
NG_012051.1,1
NC_000004.11,1
NC_009012.1,1
NC_004567.2,1
NG_031954.1,1
NW_003217749.1,1
NC_003065.3,1
NC_003119.6,1
NC_001140.5,1
NW_003217369.1,1
NC_023110.1,1
NC_000079.6,1
NC_003449.1,1
NG_009497.1,1
NC_003272.1,1
NC_011835.1,1
NW_004088010.1,1
NT_009759.16,1
NG_023375.1,1
NW_003217414.1,1
NC_008596.1,1
NC_007168.1,1
NC_007626.1,1
NC_005096.1,1
NC_009783.1,1
NW_003217447.1,1
NC_001604.1,1
NC_004368.1,1
NC_011744.2,1
NC_002691.1,1
NG_011648.1,1
NW_003217723.1,1
NW_010823286.1,1
NC_004741.1,1
NT_039500.7,1
NW_003217307.1,1
NW_004677206.1,1
NC_009485.1,1
NW_001259848.8,1
NC_012795.1,1
NC_000070.6,1
NC_014921.1,1
NC_023150.1,1
NC_003075.3,1
NC_002695.1,1
NW_003852448.1,1
NT_008413.18,1
NG_007400.1,1
NC_005090.1,1
NC_019160.1,1
NT_009952.14,1
NC_023109.1,1
NW_003218733.1,1
NW_003217325.1,1
NW_002196665.1,1
NC_007434.1,1
NG_008849.1,1
NC_008022.1,1
NC_010067.1,1
NT_039649.7,1
NC_009456.1,1
NC_001133.8,1
NC_007618.1,1
NC_001137.2,1
NC_001141.1,1
NC_010063.1,1
NC_022199.1,1
NC_002690.1,1
NW_003218488.1,1
NC_007299.5,1
NC_006084.1,1
NC_011750.1,1
NC_008701.1,1
NC_003071.3,1
NC_019573.1,1
NC_016845.1,1
NC_005097.1,1
NW_003217617.1,1
NW_003101414.1,1
NC_000015.9,1
NC_001826.2,1
NC_007350.1,1
NC_003098.1,1
NC_004669.1,1
NC_019633.1,1
NG_012964.1,1
NW_003219813.1,1
NW_004676321.1,1
NC_011184.1,1
NW_004676768.1,1
NC_004459.3,1
NC_012441.1,1
NC_010498.1,1
NC_003448.1,1
NW_003217612.1,1
NW_003217304.1,1
NC_001959.2,1
NG_021392.1,1
NW_001877999.1,1
NW_003217598.1,1
NC_005111.3,1
NG_011649.1,1
NW_004678503.1,1
NW_001494083.2,1
NG_011516.1,1
NC_021514.1,1
NC_016677.1,1
NG_005905.2,1
NC_017519.1,1
NG_009201.1,1
NW_003218113.1,1
NC_001323.1,1
NC_009525.1,1
NC_005956.1,1
NC_004671.1,1
NC_017351.1,1
NW_003217681.1,1
NC_003030.1,1
NC_010525.1,1
NC_009832.1,1
NC_002693.1,1
NC_018766.1,1
NT_023935.17,1
NW_003217464.1,1
NC_018154.1,1
NC_013458.1,1
NG_009033.1,1
NC_010010.2,1
NT_007819.17,1
NC_001357.1,1
NC_011186.1,1
NC_009496.1,1
NT_039202.7,1
NC_009708.1,1
NC_004142.1,1
NC_003364.1,1
NC_000013.10,1
NW_003218212.1,1
NW_003218335.1,1
NC_008769.1,1
NW_002196664.1,1
NW_003217346.1,1
NG_009107.1,1
NC_000007.13,1
NG_028301.1,1
NW_003217744.1,1
NW_001116299.1,1
NC_013511.1,1
NC_001144.4,1
NW_004524024.1,1
NG_008472.1,1
NC_018522.1,1
NC_012660.1,1
NC_001142.7,1
NC_019954.2,1
NC_005214.1,1
NW_003217631.1,1
NW_003217894.1,1
NC_004460.2,1
NC_010102.1,1
NW_003217374.1,1
NC_001417.2,1
NC_013457.1,1
NW_003217607.1,1
NC_007322.2,1
NC_006958.1,1
NC_004116.1,1
NC_001732.1,1
NW_003217951.1,1
NG_008290.1,1
NC_009457.1,1
NW_004677611.1,1
NC_009004.1,1
NC_019632.1,1
NC_014965.1,1
NC_000011.8,1
NG_011763.1,1
NC_003784.1,1
NC_004461.1,1
NC_013119.1,1
NW_003217428.1,1
NG_009553.1,1
NC_021430.1,1
NT_010783.15,1
NC_017663.1,1
NW_003218226.1,1
NW_003218420.1,1
NC_001145.2,1
NC_020319.1,1
NC_013903.1,1
NC_011993.1,1
NT_007914.14,1
NW_003217828.1,1
NC_023215.1,1
NW_004524245.1,1
NW_003217341.1,1
NW_003217667.1,1
NC_023112.1,1
NC_012984.1,1
NC_006151.1,1
NC_009648.1,1
NC_000004.12,1
NC_001538.1,1
NC_011753.2,1
NW_003217902.1,1
NW_003219637.1,1
NC_019636.1,1
NC_001411.2,1
NC_001136.8,1
NW_003217343.1,1
NC_015633.1,1
NW_003217513.1,1
NC_005107.2,1
NC_014837.1,1
NC_000909.1,1
NC_003692.1,1
NC_012967.1,1
NW_876276.1,1
NW_003217853.1,1
NW_003217300.1,1
NC_015605.1,1
NC_008041.1,1
NG_005480.3,1
NT_011520.12,1
NW_003218220.1,1
NC_023114.1,1
NC_012581.1,1
NW_003383857.1,1
NC_010169.1,1
NC_008463.1,1
NW_004676356.1,1
NW_003336067.1,1
NW_004676932.1,1
NC_009504.1,1
NW_003217437.1,1
NC_015953.1,1
NC_025146.1,1
NC_015623.1,1
NC_004431.1,1
NC_019631.1,1
NC_012971.2,1
NC_002037.1,1
NC_014925.1,1
NW_004676428.1,1
NC_013459.1,1
NC_012416.118,1
NW_003101570.1,1
NG_007938.1,1
NC_021431.1,1
NC_006273.2,1
NC_018658.1,1
NW_003222115.1,1
NW_003217538.1,1
