matchedPattern,context,lineNumber,columnNumber,publicationName
NC_010450.3,"...e present study, we detected two novel mutations (NC_010450.3:g. 99514A>G, 119846C>T) by DNA sequenc...",7,734,Asian-Australas_J_Anim_Sci_2014_Sep_27(9)_1254-1262.txt
NC_010450.3,"Based on GenBank sequence No. NC_010450.3, 13 pairs of PCR primers (Table 1) wer...",33,31,Asian-Australas_J_Anim_Sci_2014_Sep_27(9)_1254-1262.txt
NC_010450.3,"...s and codes 398 amino acids. Two novel mutations (NC_010450.3: g. 99514A>G, 119846C>T) were firstly ...",52,207,Asian-Australas_J_Anim_Sci_2014_Sep_27(9)_1254-1262.txt
NC_010450.3,"...d found two novel single nucleotide polymorphism (NC_010450.3:g. 99514A>G, 119846C>T) located in exo...",81,629,Asian-Australas_J_Anim_Sci_2014_Sep_27(9)_1254-1262.txt
NC_010450.3,"5’UTR, E1, partial IVS1	NC_010450.3 (nt32-334)	DNA pool sequencing",101,25,Asian-Australas_J_Anim_Sci_2014_Sep_27(9)_1254-1262.txt
NC_010450.3,partial IVS1; E2; partial IVS2	NC_010450.3 (nt2679-2715)	DNA pool sequencing,104,32,Asian-Australas_J_Anim_Sci_2014_Sep_27(9)_1254-1262.txt
NC_010450.3,partial IVS2; E3; partly IVS3	NC_010450.3 (nt4139-4442)	DNA pool sequencing,107,31,Asian-Australas_J_Anim_Sci_2014_Sep_27(9)_1254-1262.txt
NC_010450.3,partly IVS3; E4; partial IVS4	NC_010450.3 (nt81993-82337)	DNA pool sequencing; P...,110,31,Asian-Australas_J_Anim_Sci_2014_Sep_27(9)_1254-1262.txt
NC_010450.3,partial IVS4; E5; partial IVS5	NC_010450.3 (nt86310-86536)	DNA pool sequencing,113,32,Asian-Australas_J_Anim_Sci_2014_Sep_27(9)_1254-1262.txt
NC_010450.3,partial IVS5; E6; partly IVS6	NC_010450.3 (nt87924-88210)	DNA pool sequencing,116,31,Asian-Australas_J_Anim_Sci_2014_Sep_27(9)_1254-1262.txt
NC_010450.3,partly IVS6; E7; partial IVS7	NC_010450.3 (nt90181-90510)	DNA pool sequencing,119,31,Asian-Australas_J_Anim_Sci_2014_Sep_27(9)_1254-1262.txt
NC_010450.3,partial IVS7; E8; partial IVS8	NC_010450.3 (nt91524-91806)	DNA pool sequencing,122,32,Asian-Australas_J_Anim_Sci_2014_Sep_27(9)_1254-1262.txt
NC_010450.3,partial IVS8; E9; partial IVS9	NC_010450.3 (nt98070-98304)	DNA pool sequencing,125,32,Asian-Australas_J_Anim_Sci_2014_Sep_27(9)_1254-1262.txt
NC_010450.3,partial IVS9; E10; partly IVS10	NC_010450.3 (nt102365-10272)	DNA pool sequencing,128,33,Asian-Australas_J_Anim_Sci_2014_Sep_27(9)_1254-1262.txt
NC_010450.3,partial IVS9; E10;	NC_010450.3 (nt102489-10260)	DNA pool sequencing; ...,131,20,Asian-Australas_J_Anim_Sci_2014_Sep_27(9)_1254-1262.txt
NC_010450.3,partial IVS10; E11; partial IVS11	NC_010450.3 (nt102979-11301)	DNA pool sequencing,134,35,Asian-Australas_J_Anim_Sci_2014_Sep_27(9)_1254-1262.txt
NC_010450.3,partial IVS11; E12;	NC_010450.3 (nt117632-18445)	DNA pool sequencing,137,21,Asian-Australas_J_Anim_Sci_2014_Sep_27(9)_1254-1262.txt
