matchedPattern,count
NM_000243.2,19
NM_000257.2,15
NM_000256.3,14
NM_025216.2,13
NM_002046.3,11
NM_144687.2,10
NM_028066.1,9
NM_014874.3,9
NM_198056.2,8
XM_005500903.1,8
NM_008084.2,7
NM_002046.4,7
NM_001001150.2,7
NM_014208.3,6
NM_000350.2,6
NM_000431.2,6
NM_007393.3,6
NM_000257.3,5
NM_002072.2,5
NM_000166.5,5
NM_001079821.2,5
NM_000260.3,5
NM_015046.5,5
NM_015888.4,5
NM_015560.2,4
NM_000295.4,4
NM_031968.2,4
NM_011434.1,4
NM_001101.3,4
NM_001082650.1,4
NM_007078.2,4
NM_000492.3,4
NM_004562.2,4
NM_000494.3,4
XM_545208.4,4
NM_170707.2,4
XM_545752.4,4
NM_001927.3,4
NM_174314.2,4
NM_001111067.2,4
NM_173925.2,4
NM_000363.4,4
NM_000432.3,4
NM_016203.3,4
NM_000828.4,4
NM_005228.3,4
NM_001282163.1,3
NM_000610.3,3
NM_174445.2,3
NM_015120.4,3
NM_004048.2,3
NM_000366.5,3
NM_017008.4,3
NM_003059.2,3
NM_021994.2,3
NM_010548.2,3
NM_001127898.3,3
NM_001127221.1,3
NM_024022.2,3
NM_178559.5,3
NM_000249.3,3
XM_005511837.1,3
NM_001127217.2,3
XM_005513915.1,3
NM_000071.2,3
NM_000228.2,3
NM_024577.3,3
NM_014762.3,3
NM_013693.2,3
XM_005505177.1,3
NM_014140.3,3
NM_001002289.1,3
NM_000088.3,3
NM_030665.3,3
NM_020975.4,3
NM_173923.2,3
NM_001430.4,3
NM_001003192.1,3
NM_001002.3,3
NM_000038.4,3
NM_003786.3,3
NM_031168.1,3
NM_001206359.1,3
NM_022489.3,3
NM_198488.3,3
NM_181008.2,3
NM_172193.1,3
NM_001372.3,3
XM_005515450.1,3
NM_003264.3,3
NM_002294.2,3
NM_001127899.3,3
NM_014000.2,3
NM_001605.2,3
NM_014251.2,3
NM_001031123.1,3
NM_003476.3,3
NM_194248.2,3
XM_005506490.1,3
NM_000084.4,3
NM_010172.3,3
NM_001082785.1,3
NM_016519.5,2
NM_006140.3,2
NM_001018020.1,2
NM_001165963.1,2
NM_001135242.1,2
NM_001163993.2,2
NM_014009.3,2
XM_002755104.3,2
NM_000709.3,2
XM_005640901.1,2
NM_206933.2,2
NM_004678.2,2
NM_177279.4,2
NM_006777.3,2
NM_002427.3,2
NM_001134742.1,2
NM_004975.2,2
XM_005499093.1,2
NM_004771.3,2
NM_001005741.2,2
NM_174092.1,2
XM_001979089.1,2
NM_030684.1,2
NM_006158.4,2
NM_004559.3,2
NM_016562.3,2
NM_001197099.1,2
NR_118761.1,2
NM_033360.2,2
NM_000829.3,2
NM_000597.2,2
NM_014139.2,2
NM_010838.3,2
XM_005512011.1,2
NM_004487.3,2
NM_000266.3,2
NR_027013.1,2
NM_003759.3,2
NM_020346.1,2
NM_153322.1,2
NM_000041.2,2
NM_022437.2,2
NM_004449.3,2
NM_194248.1,2
XM_005504843.1,2
NM_001530.2,2
NM_001159564.1,2
NM_001287069.1,2
NM_145204.3,2
NM_001098484.2,2
NM_001048.3,2
NM_001399.4,2
NM_003179.2,2
NM_204305.1,2
NM_000051.3,2
NM_001394.6,2
NM_002667.3,2
NM_005267.4,2
NM_001129967.1,2
NM_000132.3,2
NM_004608.3,2
NM_001272102.1,2
NM_002488.2,2
NM_008907.1,2
NM_001018005.1,2
NM_021120.3,2
XM_001709076.1,2
NM_198839.1,2
NM_170420.2,2
NM_001035336.2,2
NM_001651.3,2
NM_018328.4,2
NM_011577.1,2
NM_031443.3,2
NM_145860.1,2
NM_020166.3,2
NM_001008540.1,2
NM_001249223.1,2
NM_006193.2,2
NM_007475.5,2
NM_001001390.1,2
XM_003379058.1,2
NM_204961.1,2
NM_005157.4,2
NM_022132.4,2
NM_004863.3,2
NM_010612.2,2
NM_009367.3,2
NM_014298.3,2
NM_001540.3,2
NR_074480.1,2
XM_849540.2,2
NM_003673.2,2
NM_174267.2,2
NM_021007.2,2
NM_001376.4,2
XM_002096692.1,2
XM_004523387.1,2
NM_006908.4,2
NM_018951.1,2
NM_002133.1,2
NM_000328.2,2
NM_014845.5,2
NM_004360.3,2
NM_031178.2,2
NM_005252.3,2
NM_001009784.1,2
NM_000117.2,2
NM_001001389.1,2
NR_074117.1,2
NM_023729.2,2
NM_057659.3,2
NM_000181.3,2
NM_000797.3,2
NM_000194.2,2
NM_006676.2,2
NM_008361.3,2
NM_174088.1,2
XM_005499094.1,2
NM_005765.2,2
NM_005269.2,2
NM_002722.3,2
NM_022092.1,2
NM_001034666.1,2
NM_001287065.1,2
NM_001396.3,2
NM_000834.3,2
NR_042744.1,2
NM_001039385.1,2
NM_201599.2,2
NM_002201.4,2
NM_000364.2,2
NM_000322.4,2
NM_002500.4,2
NM_004621.5,2
XM_005506223.1,2
NM_000153.2,2
NM_015025.2,2
NM_001650.4,2
NM_012854.2,2
NM_006624.5,2
NM_006517.4,2
XM_002718254.1,2
NM_013319.2,2
NM_138578.1,2
XM_005501648.1,2
NM_174300.2,2
NM_194456.1,2
NM_001014758.2,2
NM_001719.2,2
NM_000546.4,2
NM_009912.4,2
NM_001134673.3,2
NM_001964.2,2
NM_000280.3,2
NM_170707.3,2
NM_214022.1,2
NM_001005149.1,2
NM_138554.3,2
NM_001166068.1,2
NM_000512.4,2
NM_025378.2,2
NM_015645.3,2
XM_005505197.1,2
XM_002102380.1,2
NM_000162.3,2
NM_012512.2,2
NR_074828.1,2
NM_021578.2,2
NM_001111.3,2
NM_173941.2,2
XM_007903550.1,2
XM_015276749.1,2
XM_005508143.1,2
XM_003433561.2,2
NM_1283009.1,2
NM_004994.2,2
NM_017565.3,2
NM_018896.4,2
NM_031144.2,2
NR_027012.1,2
NM_000963.1,2
NM_001009837.3,2
NM_001076560.1,2
XM_650121.1,2
NM_001025366.1,2
NM_009917.5,2
NM_009609.2,2
NR_104894.1,2
NM_139057.2,2
NM_010545.2,2
NR_074472.1,2
NM_003302.2,2
NM_000230.2,2
NM_000594.3,2
NM_001001391.1,2
NM_001200.2,2
NM_020708.4,2
XM_005500333.1,2
XM_420296.1,2
NM_009915.2,2
NR_043206.1,2
NM_205134.1,2
NM_173966.3,2
NM_173979.3,2
NM_001289745.1,2
NM_177421.3,2
XM_001898694.1,2
XM_001704983.1,2
NM_001101426.3,2
NM_001163941.1,2
NM_052911.1,2
NM_181359.2,2
XM_005498222.1,2
XM_004523388.1,2
NM_174726.1,2
XM_005502057.1,2
NM_214254.2,2
XM_005510541.1,2
NM_001163942.1,2
NM_001001430.2,2
NM_174006.2,2
NM_000576.2,2
NM_058150.2,2
NM_000314.4,2
NR_109613.1,2
NM_205622.2,2
XM_001359177.2,2
NM_002253.1,2
NM_024865.2,2
NM_032667.6,2
NM_002252.3,2
NM_001190390.1,2
NM_008639.2,2
XM_845250.3,2
NM_001065.3,2
NM_000163.4,2
XM_005506697.1,2
NM_205509.2,1
XM_001102095.2,1
NM_001013181.1,1
NM_007523.2,1
NM_013654.2,1
NM_002160.3,1
NM_022847.1,1
NM_013095.3,1
NM_173587.3,1
NM_001099043.2,1
NM_205518.1,1
NM_017940.4,1
NM_031686.1,1
NM_001205993.1,1
XM_008886980.1,1
NM_011145.3,1
NM_010513.2,1
NM_001113489.1,1
NM_017101.1,1
NM_010066.3,1
NM_004895.4,1
NR_074253.1,1
NM_014143.3,1
NM_001170944.1,1
NM_014805.3,1
NM_030962.3,1
NM_145391.1,1
NM_008332.2,1
NM_174737.2,1
NM_014751.5,1
NM_017882.2,1
NM_009368.3,1
NM_020469.2,1
NM_001457.2,1
XM_005511038.1,1
NM_080759.4,1
NM_005159.4,1
NM_002831.5,1
NM_021629.3,1
XM_001691804.1,1
NM_004895.3,1
NM_000795.3,1
NM_000477.5,1
XM_002343858.2,1
XM_005514550.1,1
NM_007474.2,1
NM_133731.1,1
NM_009801.2,1
NM_181501.1,1
XM_003369378.1,1
NM_119592.4,1
NM_001034764.1,1
NM_053559.1,1
NM_015226.2,1
XM_004040725.1,1
NM_214214.1,1
NM_010503.2,1
NM_001009269.1,1
XM_858292.2,1
NM_012929.1,1
NM_015204.2,1
XM_417174.4,1
NM_001101683.1,1
NM_001142386.2,1
XM_146997.2,1
NM_053088.2,1
NM_001165979.1,1
XM_003371753.1,1
NM_000389.4,1
NM_002232.3,1
NM_005882.2,1
NM_010368.1,1
NM_022151.4,1
NM_013995.2,1
NM_004041.3,1
NM_001025304.1,1
XM_015474116.1,1
XM_420178.2,1
NM_000339.2,1
