matchedPattern,count
NP_000909.2,1
ZP_03723590.1,1
NP_803473.1,1
NP_001008214.1,1
ZP_03131538.1,1
NP_014143.2,1
NP_001128385.1,1
XP_977125.1,1
ZP_04978003.1,1
XP_001848573.1,1
XP_001604582.2,1
NP_649783.2,1
NP_001105133.1,1
NP_511160.1,1
XP_002915182.1,1
XP_005014905.1,1
XP_417079.2,1
XP_001115118.1,1
ZP_07949109.1,1
XP_001503950.1,1
NP_940885.2,1
NP_001743.1,1
XP_003486747.1,1
NP_495807.1,1
ZP_05983406.1,1
XP_005526691.1,1
NP_001083392.1,1
NP_001138354.1,1
XP_002923179.1,1
NP_966909.1,1
ZP_07707682.1,1
NP_180534.1,1
NP_001001720.1,1
NP_788086.1,1
NP_001025834.1,1
XP_004319937.1,1
NP_001157002.1,1
NP_055522.1,1
XP_746931.1,1
ZP_08784194.1,1
XP_001175897.1,1
XP_002916197.1,1
NP_004282.1,1
NP_037208.1,1
NP_001013383.1,1
NP_037298.1,1
NP_391186.1,1
NP_112298.1,1
NP_112202.2,1
XP_003615949.1,1
NP_001033098.1,1
NP_006501.1,1
NP_001039668.1,1
XP_004291063.1,1
NP_001162723.1,1
XP_528138.2,1
XP_003339570.1,1
XP_002322252.1,1
XP_002913080.1,1
ZP_09664015.1,1
NP_001165237.1,1
XP_003363861.1,1
NP_002515.1,1
XP_002978166.1,1
XP_002927719.1,1
NP_001364.1,1
NP_001071937.1,1
XP_310416.4,1
NP_002956.1,1
ZP_09595454.1,1
XP_002923506.1,1
NP_001028998.1,1
NP_032143.1,1
NP_000591.1,1
NP_001188635.1,1
XP_797383.1,1
NP_009162.1,1
XP_005269040.1,1
XP_001502526.1,1
NP_079103.2,1
XP_686705.2,1
XP_001647901.1,1
XP_002930692.1,1
XP_002919413.1,1
NP_038543.1,1
NP_505864.1,1
NP_006238.1,1
NP_001094526.1,1
NP_989344.1,1
XP_001660262.1,1
NP_001180601.1,1
NP_989690.1,1
NP_001159915.1,1
NP_000380.1,1
NP_001044868.1,1
NP_001138616.1,1
NP_001138617.1,1
NP_173920.1,1
XP_414962.4,1
XP_002913208.1,1
NP_034218.1,1
NP_180535.1,1
NP_001234604.1,1
XP_001489373.1,1
XP_003609464.1,1
XP_003495126.1,1
NP_001089183.1,1
NP_478056.1,1
XP_930957.1,1
XP_002731383.1,1
ZP_08006147.1,1
XP_001503085.1,1
XP_002922319.1,1
XP_002922844.1,1
NP_000883.2,1
NP_001076144.1,1
NP_001075965.1,1
XP_001163733.1,1
ZP_08680547.1,1
NP_082149.1,1
NP_006297.2,1
XP_002818456.1,1
NP_001017995.1,1
XP_002925784.1,1
NP_002300.1,1
NP_001099290.1,1
NP_001137448.1,1
ZP_08532584.1,1
XP_004306579.1,1
NP_003230.1,1
NP_035413.1,1
NP_001002346.1,1
XP_002399401.1,1
NP_001035591.1,1
NP_001052975.1,1
ZP_00120494.2,1
XP_003216255.1,1
NP_208025.1,1
XP_002429936.1,1
NP_729446.1,1
XP_757798.1,1
XP_001894558.1,1
NP_001035236.1,1
NP_058800.1,1
NP_776356.1,1
XP_001178682.1,1
ZP_05983573.1,1
NP_001075246.1,1
NP_001028219.1,1
NP_001179178.1,1
NP_203751.2,1
NP_055885.2,1
NP_001009392.1,1
XP_564212.2,1
NP_999459.1,1
NP_001075453.1,1
NP_068741.1,1
XP_006969225.1,1
XP_001027964.1,1
NP_001253986.1,1
XP_002334492.1,1
XP_001504468.1,1
XP_002875129.1,1
XP_002930213.1,1
XP_511172.4,1
NP_954870.2,1
NP_012993.1,1
NP_001016240.1,1
NP_877499.1,1
ZP_02927846.1,1
NP_036211.2,1
NP_001116729.1,1
XP_004276784.1,1
NP_001020355.1,1
NP_851339.1,1
NP_001025994.2,1
ZP_09599666.1,1
NP_077247.1,1
NP_041332.1,1
NP_060328.2,1
NP_391557.1,1
NP_001037736.1,1
NP_172686.1,1
XP_002278996.1,1
XP_002426007.1,1
XP_002557636.1,1
NP_791204.1,1
XP_005447615.1,1
NP_998391.1,1
XP_418693.2,1
XP_535240.4,1
XP_001917840.1,1
NP_001011616.2,1
XP_002601469.1,1
XP_844891.1,1
NP_567949.1,1
NP_567773.1,1
ZP_08982140.1,1
XP_001944148.1,1
NP_885568.1,1
XP_001503725.1,1
NP_187801.3,1
XP_001498071.2,1
XP_002923929.1,1
NP_001139362.1,1
NP_001091886.1,1
XP_003431914.1,1
XP_001916279.2,1
XP_001137312.1,1
XP_002923915.1,1
NP_852102.2,1
XP_844900.1,1
XP_533753.2,1
XP_001688493.1,1
XP_394382.2,1
XP_001503538.2,1
NP_000106.1,1
NP_073562.1,1
NP_004751.2,1
XP_002913770.1,1
XP_002912553.1,1
NP_610693.1,1
NP_000292.1,1
NP_848512.1,1
XP_006721350.1,1
XP_001504448.1,1
NP_014888.1,1
XP_002913939.1,1
NP_459380.1,1
NP_033912.2,1
ZP_01852756.1,1
NP_001192835.1,1
XP_001504488.2,1
XP_003555808.1,1
NP_142085.2,1
XP_004916038.1,1
NP_034101.1,1
NP_060527.2,1
NP_001187866.1,1
XP_002915418.1,1
NP_031884.1,1
NP_848802.2,1
NP_001116366.1,1
NP_954642.1,1
NP_177250.1,1
XP_001823458.1,1
NP_002096.1,1
NP_000127.2,1
NP_004586.2,1
NP_651763.4,1
NP_010612.2,1
XP_001342923.4,1
ZP_09602447.1,1
XP_004287628.1,1
XP_001901519.1,1
NP_004217.1,1
NP_004976.2,1
XP_002919637.1,1
XP_002923099.1,1
NP_473293.1,1
NP_775842.1,1
ZP_09351718.1,1
ZP_08532586.1,1
NP_001190649.1,1
XP_007284752.1,1
XP_003953313.1,1
XP_002916875.1,1
XP_001916919.2,1
NP_001003301.1,1
NP_567464.1,1
NP_001171816.1,1
NP_055066.1,1
NP_064336.1,1
XP_973738.2,1
ZP_05388672.1,1
NP_990295.1,1
NP_045688.1,1
NP_004408.1,1
XP_002966396.1,1
NP_192865.1,1
ZP_03128876.1,1
NP_038779.2,1
XP_003874029.1,1
NP_19496.1,1
NP_058806.1,1
NP_999007.1,1
NP_001555.1,1
XP_003266148.1,1
NP_653280.1,1
XP_005623064.1,1
NP_207472.1,1
XP_002918680.1,1
XP_001868660.1,1
XP_002318956.1,1
ZP_080099857.1,1
NP_001184210.1,1
XP_001916604.1,1
XP_003134021.1,1
XP_005151847.1,1
NP_003485.1,1
NP_001253901.1,1
XP_002912726.1,1
NP_001003841.1,1
XP_001660884.1,1
NP_511126.2,1
NP_188965.1,1
NP_036761.1,1
ZP_0203463.1,1
NP_055440.1,1
NP_033913.2,1
XP_002284331.1,1
NP_077248.1,1
XP_787865.1,1
NP_543166.1,1
XP_004932537.1,1
NP_573357.1,1
NP_000691.1,1
NP_001121199.1,1
XP_003707938.1,1
XP_001757495.1,1
NP_001039273.1,1
NP_036432.2,1
NP_112402.1,1
XP_002887747.1,1
NP_077144.2,1
XP_002927896.1,1
XP_421735.3,1
NP_001027897.1,1
NP_001166458.1,1
XP_002406407.1,1
NP_075720.1,1
XP_457231.1,1
ZP_02963768.1,1
NP_172801.1,1
XP_508007.2,1
NP_003911.2,1
NP_001822.3,1
ZP_02926363.1,1
NP_563781.1,1
NP_001039555.1,1
XP_001847201.1,1
NP_125767.1,1
NP_001036220.1,1
NP_001008276.2,1
NP_005286.2,1
NP_036726.1,1
NP_243015.1,1
NP_726411.1,1
XP_002534492.1,1
XP_004300077.1,1
XP_008200240.1,1
XP_002912483.1,1
NP_006557.2,1
NP_001011262.1,1
NP_783644.3,1
ZP_09595552.1,1
XP_001494427.2,1
NP_003092.4,1
XP_001083644.1,1
XP_002919403.1,1
NP_033962.2,1
NP_038760.3,1
NP_001019908.1,1
XP_942858.1,1
NP_001026478.1,1
XP_006721292.1,1
NP_477340.1,1
NP_446056.1,1
XP_002930399.1,1
NP_000605.1,1
NP_001093431.1,1
NP_004698.3,1
NP_002244.1,1
NP_611853.2,1
NP_001008081.1,1
NP_001247868.1,1
NP_950192.2,1
NP_004929.2,1
XP_003280677.1,1
NP_848934.1,1
NP_001053022.1,1
NP_065123.1,1
NP_215017.1,1
XP_002913840.1,1
NP_227924.1,1
XP_001782219.1,1
XP_004291222.1,1
NP_783168.1,1
XP_002916603.1,1
XP_001950697.1,1
NP_031968.1,1
NP_000790.2,1
NP_619645.1,1
ZP_08095878.1,1
NP_416465.2,1
XP_002919308.1,1
XP_002923116.1,1
NP_001139797.1,1
NP_954331.1,1
NP_037378.1,1
XP_001640722.1,1
XP_001335499.5,1
XP_003981022.1,1
NP_919367.2,1
NP_055051.1,1
NP_001258875.1,1
NP_001158430.1,1
NP_001098676.2,1
NP_001094167.1,1
NP_001075752.1,1
XP_455814.1,1
NP_848744.1,1
NP_066124.1,1
NP_001184093.1,1
NP_001036198.2,1
XP_002520361.1,1
NP_877392.1,1
XP_003857794.1,1
NP_001321.1,1
NP_001159944.1,1
NP_001106528.1,1
NP_001008938.1,1
NP_523581.1,1
NP_065602.2,1
NP_001244097.1,1
NP_001118129.1,1
NP_722535.1,1
NP_001091.1,1
NP_001004128.1,1
XP_233672.1,1
XP_002428656.1,1
NP_036579.2,1
NP_004620.1,1
NP_391185.2,1
NP_001075421.1,1
NP_080007.1,1
NP_001185050.1,1
XP_002929331.1,1
XP_002926157.1,1
NP_062550.2,1
XP_002429035.1,1
NP_035171.1,1
XP_006340731.1,1
NP_054735.3,1
XP_001381167.1,1
XP_001900095.1,1
NP_666023.1,1
NP_001015053.1,1
NP_998427.1,1
XP_003782799.1,1
NP_001182003.1,1
NP_565985.1,1
NP_001039287.1,1
NP_001118205.1,1
NP_001036806.1,1
NP_002106.2,1
ZP_08008055.1,1
NP_006485.1,1
XP_001863529.1,1
NP_000487.1,1
NP_006769.2,1
NP_001009582.1,1
NP_594365.1,1
NP_989185.1,1
NP_996931.1,1
NP_906557.1,1
NP_999034.2,1
NP_001124384.1,1
NP_001008387.1,1
ZP_09664527.1,1
NP_001118960.1,1
NP_001258749.1,1
NP_001129235.1,1
XP_008191538.1,1
NP_001075533.1,1
XP_003690070.1,1
NP_036708.2,1
NP_003846.1,1
ZP_00065873.1,1
XP_001915664.2,1
XP_002920720.1,1
NP_001075559.1,1
XP_004302387.1,1
XP_975684.1,1
NP_003440.1,1
XP_415401.2,1
XP_394090.1,1
NP_998284.1,1
NP_032253.1,1
NP_005912.1,1
XP_395172.2,1
NP_001003070.1,1
NP_001036201.1,1
XP_002403641.1,1
NP_001074061.1,1
NP_005021.2,1
NP_001018123.1,1
NP_001051726.1,1
XP_001084394.1,1
NP_001009449.1,1
NP_187818.1,1
XP_004175671.1,1
XP_002914951.1,1
NP_079496.1,1
NP_001691.1,1
NP_445947.1,1
ZP_01173458.1,1
NP_036075.2,1
XP_003402866.1,1
NP_207698.1,1
NP_001092872.1,1
NP_725068.1,1
XP_003944616.1,1
NP_001009850.1,1
NP_001009306.1,1
NP_195007.2,1
NP_006260.1,1
NP_001252844.1,1
XP_002928807.1,1
XP_368646.1,1
NP_776018.1,1
NP_004576.2,1
NP_001092340.1,1
XP_003113164.1,1
NP_006321.1,1
NP_570141.3,1
NP_001157452.1,1
NP_776353.2,1
NP_001028166.1,1
NP_694796.1,1
NP_569723.1,1
NP_126340.1,1
ZP_01901204.1,1
NP_078210.1,1
ZP_05059160.1,1
NP_113695.1,1
NP_031660.3,1
NP_740756.1,1
NP_006183.2,1
NP_455288.1,1
XP_002266323.1,1
ZP_09074493.1,1
ZP_08008056.1,1
NP_179402.1,1
NP_001171622.1,1
NP_181756.1,1
NP_207462.1,1
NP_001157251.1,1
NP_001077409.2,1
NP_032199.3,1
NP_790716.1,1
