matchedPattern,context,lineNumber,columnNumber,publicationName
XP_002607180.1,"...und to be orthologous with the C-terminal part of XP_002607180.1 of B. floridae, whereas the recipro...",52,96,Sci_Rep_2016_Aug_1_6_30700.txt
XP_002607180.1,...enome) is orthologous with the N-terminal part of XP_002607180.1 (Fig. 1),52,341,Sci_Rep_2016_Aug_1_6_30700.txt
XP_002607180.1,"...ain architectures of 328450_PRF0, 328460_PRF0 and XP_002607180.1 with those of their orthologs in th...",54,72,Sci_Rep_2016_Aug_1_6_30700.txt
XP_002607180.1,...rthologs in the Swiss-Prot database revealed that XP_002607180.1 of B. floridae has a domain archite...,54,158,Sci_Rep_2016_Aug_1_6_30700.txt
XP_002607180.1,"...or; it contains a single, full-length ortholog of XP_002607180.1 (protein 040720F.t1 in this dataset...",56,333,Sci_Rep_2016_Aug_1_6_30700.txt
XP_002607180.1,"...e shown to be orthologous with different parts of XP_002607180.1, the WFIKKN protein of B. floridae,...",118,167,Sci_Rep_2016_Aug_1_6_30700.txt
XP_002607180.1,"...ataset contains a single, full-length ortholog of XP_002607180.1, protein 040720F.t1. (a) Domain arc...",118,321,Sci_Rep_2016_Aug_1_6_30700.txt
XP_002607180.1,"...Domain architectures of 328450_PRF0, 328460_PRF0, XP_002607180.1 and 040720F.t1. (b) Alignment of th...",118,411,Sci_Rep_2016_Aug_1_6_30700.txt
XP_002607180.1,"...ent of the sequences of 328450_PRF0, 328460_PRF0, XP_002607180.1 and 040720F.t1. Note that the appar...",118,502,Sci_Rep_2016_Aug_1_6_30700.txt
XP_002607180.1,...ins 328450_PRF0 and 328460_PRF0) and B. floridae (XP_002607180.1) reflected an error in gene predict...,118,691,Sci_Rep_2016_Aug_1_6_30700.txt
