matchedPattern,context,lineNumber,columnNumber,publicationName
H11B,H11B	0.4373	0.9768	0.3849	0.033*,306,1,Acta_Crystallogr_E_Crystallogr_Commun_2015_Jan_10_71(Pt_2)_o92-o93.txt
H11B,C7—C6	1.499 (3)	C11—H11B	0.9900,439,21,Acta_Crystallogr_E_Crystallogr_Commun_2015_Jan_10_71(Pt_2)_o92-o93.txt
H11B,C36—C31—C32	117.2 (2)	C9—C11—H11B	108.8,514,30,Acta_Crystallogr_E_Crystallogr_Commun_2015_Jan_10_71(Pt_2)_o92-o93.txt
H11B,C32—C33—C34	117.5 (2)	C12—C11—H11B	108.8,517,31,Acta_Crystallogr_E_Crystallogr_Commun_2015_Jan_10_71(Pt_2)_o92-o93.txt
H11B,C32—C33—C38	122.4 (2)	H11A—C11—H11B	107.6,518,32,Acta_Crystallogr_E_Crystallogr_Commun_2015_Jan_10_71(Pt_2)_o92-o93.txt
H11B,H11B	0.94320	0.61370	0.21650	0.0890*,264,1,Acta_Crystallogr_E_Crystallogr_Commun_2015_Jan_1_71(Pt_1)_o56-o57.txt
H11B,C4—C5	1.386 (3)	C11—H11B	0.9600,296,21,Acta_Crystallogr_E_Crystallogr_Commun_2015_Jan_1_71(Pt_1)_o56-o57.txt
H11B,N1—C8—N2	117.65 (19)	C9—C11—H11B	109.00,319,29,Acta_Crystallogr_E_Crystallogr_Commun_2015_Jan_1_71(Pt_1)_o56-o57.txt
H11B,C10—C9—C11	111.3 (2)	H11A—C11—H11B	109.00,321,31,Acta_Crystallogr_E_Crystallogr_Commun_2015_Jan_1_71(Pt_1)_o56-o57.txt
H11B,C2—C1—H1	120.00	H11B—C11—H11C	110.00,323,17,Acta_Crystallogr_E_Crystallogr_Commun_2015_Jan_1_71(Pt_1)_o56-o57.txt
H11B,H11B	0.498 (7)	0.086 (3)	0.272 (2)	0.095*	0.421 (4...,174,1,Acta_Crystallogr_E_Crystallogr_Commun_2015_Jan_24_71(Pt_2)_213-216.txt
H11B,C9—C11	1.534 (2)	C11—H11B	0.975 (10),224,22,Acta_Crystallogr_E_Crystallogr_Commun_2015_Jan_24_71(Pt_2)_213-216.txt
H11B,C25—H25	0.9300	O2—H11B	0.83 (5),232,19,Acta_Crystallogr_E_Crystallogr_Commun_2015_Jan_24_71(Pt_2)_213-216.txt
H11B,C11—C9—C8	105.64 (13)	C12—C11—H11B	114 (3),267,31,Acta_Crystallogr_E_Crystallogr_Commun_2015_Jan_24_71(Pt_2)_213-216.txt
H11B,C11—C9—C10	113.96 (14)	C9—C11—H11B	112 (4),268,31,Acta_Crystallogr_E_Crystallogr_Commun_2015_Jan_24_71(Pt_2)_213-216.txt
H11B,C8—C9—C10	102.06 (12)	H11A—C11—H11B	107 (2),269,32,Acta_Crystallogr_E_Crystallogr_Commun_2015_Jan_24_71(Pt_2)_213-216.txt
H11B,C25—C24—H24	119.9	C11—O2—H11B	54.1 (9),287,26,Acta_Crystallogr_E_Crystallogr_Commun_2015_Jan_24_71(Pt_2)_213-216.txt
H11B,C24—C23—C22	120.0 (2)	H11A—O2—H11B	102.4 (16),288,31,Acta_Crystallogr_E_Crystallogr_Commun_2015_Jan_24_71(Pt_2)_213-216.txt
H11B,H11B	0.1459	0.5374	0.1304	0.043*,256,1,Acta_Crystallogr_E_Crystallogr_Commun_2015_Nov_21_71(Pt_12)_o974-o975.txt
H11B,N3—C9	1.2913 (18)	C11—H11B	0.9900,302,23,Acta_Crystallogr_E_Crystallogr_Commun_2015_Nov_21_71(Pt_12)_o974-o975.txt
