matchedPattern,context,lineNumber,columnNumber,publicationName
H14B,H14B	0.5688	0.1208	0.2647	0.042*,142,1,Acta_Crystallogr_E_Crystallogr_Commun_2015_Jul_25_71(Pt_8)_965-971.txt
H14B,C4—H4	0.9500	C14—H14B	0.9800,183,18,Acta_Crystallogr_E_Crystallogr_Commun_2015_Jul_25_71(Pt_8)_965-971.txt
H14B,C4—C5—S1	112.2 (4)	O3—C14—H14B	109.5,205,27,Acta_Crystallogr_E_Crystallogr_Commun_2015_Jul_25_71(Pt_8)_965-971.txt
H14B,C1—C6—H6	118.9	H14A—C14—H14B	109.5,207,25,Acta_Crystallogr_E_Crystallogr_Commun_2015_Jul_25_71(Pt_8)_965-971.txt
H14B,C7—C6—H6	118.9	H14B—C14—H14C	109.5,209,16,Acta_Crystallogr_E_Crystallogr_Commun_2015_Jul_25_71(Pt_8)_965-971.txt
H14B,H14B	0.9092	0.7573	0.9750	0.081*,240,1,Acta_Crystallogr_E_Crystallogr_Commun_2015_Nov_14_71(Pt_12)_m219-m220.txt
H14B,C14—H14B	0.9800	C26B—H26F	0.9800,400,5,Acta_Crystallogr_E_Crystallogr_Commun_2015_Nov_14_71(Pt_12)_m219-m220.txt
H14B,C9—C14—H14B	109.5	H27B—C27—H27C	109.5,541,8,Acta_Crystallogr_E_Crystallogr_Commun_2015_Nov_14_71(Pt_12)_m219-m220.txt
H14B,H14A—C14—H14B	109.5	C27—C28—C29	113.4 (3),542,10,Acta_Crystallogr_E_Crystallogr_Commun_2015_Nov_14_71(Pt_12)_m219-m220.txt
H14B,H14B—C14—H14C	109.5	C27—C28—H28B	108.9,545,1,Acta_Crystallogr_E_Crystallogr_Commun_2015_Nov_14_71(Pt_12)_m219-m220.txt
H14B,H14B	1.2876	−0.0863	0.4326	0.177*	0.441 (10),255,1,Acta_Crystallogr_E_Crystallogr_Commun_2015_Nov_4_71(Pt_12)_o906-o907.txt
H14B,C6—H6	0.9300	C14A—H14B	0.9300,301,19,Acta_Crystallogr_E_Crystallogr_Commun_2015_Nov_4_71(Pt_12)_o906-o907.txt
H14B,C4—C5—C8	118.14 (19)	C13A—C14A—H14B	120.0,325,32,Acta_Crystallogr_E_Crystallogr_Commun_2015_Nov_4_71(Pt_12)_o906-o907.txt
H14B,C7—C6—C5	120.8 (2)	H14A—C14A—H14B	120.0,326,30,Acta_Crystallogr_E_Crystallogr_Commun_2015_Nov_4_71(Pt_12)_o906-o907.txt
H14B,H14B	1.0757	0.4789	0.2978	0.024*,314,1,Acta_Crystallogr_E_Crystallogr_Commun_2015_Sep_17_71(Pt_10)_o764-o765.txt
H14B,C14B—H14B	0.9500	C4B'—H4B6	0.9800,509,6,Acta_Crystallogr_E_Crystallogr_Commun_2015_Sep_17_71(Pt_10)_o764-o765.txt
H14B,C13B—C14B—H14B	119.9	C4A—C8A—H8A1	110.6,579,11,Acta_Crystallogr_E_Crystallogr_Commun_2015_Sep_17_71(Pt_10)_o764-o765.txt
H14B,C9B—C14B—H14B	119.9	O2A—C8A—H8A2	110.6,580,10,Acta_Crystallogr_E_Crystallogr_Commun_2015_Sep_17_71(Pt_10)_o764-o765.txt
H14B,H14B	0.4856	0.3981	0.9550	0.019*,137,1,Acta_Crystallogr_E_Crystallogr_Commun_2016_Sep_5_72(Pt_10)_1377-1379.txt
H14B,C1—H1	0.9800	C14—H14B	0.9700,187,18,Acta_Crystallogr_E_Crystallogr_Commun_2016_Sep_5_72(Pt_10)_1377-1379.txt
