matchedPattern,context,lineNumber,columnNumber,publicationName
H15B,H15B	0.5955	1.1657	0.3217	0.048*,317,1,Acta_Crystallogr_E_Crystallogr_Commun_2015_Apr_18_71(Pt_5)_o321-o322.txt
H15B,C15—H15B	0.9700	C27—C29	1.527 (3),422,5,Acta_Crystallogr_E_Crystallogr_Commun_2015_Apr_18_71(Pt_5)_o321-o322.txt
H15B,C10—C15—H15B	109.2	C28—C27—Si1	113.21 (13),471,9,Acta_Crystallogr_E_Crystallogr_Commun_2015_Apr_18_71(Pt_5)_o321-o322.txt
H15B,H15A—C15—H15B	107.9	C29—C27—C28	111.08 (18),473,10,Acta_Crystallogr_E_Crystallogr_Commun_2015_Apr_18_71(Pt_5)_o321-o322.txt
H15B,C16—C15—H15B	109.2	Si1—C27—H27	106.2,475,9,Acta_Crystallogr_E_Crystallogr_Commun_2015_Apr_18_71(Pt_5)_o321-o322.txt
H15B,H15B	−0.0586	−0.2445	0.4206	0.062*,281,1,Acta_Crystallogr_E_Crystallogr_Commun_2015_Aug_22_71(Pt_9)_o684-o685.txt
H15B,C7—H7B	0.9600	C15—H15B	0.9700,338,19,Acta_Crystallogr_E_Crystallogr_Commun_2015_Aug_22_71(Pt_9)_o684-o685.txt
H15B,C1—C6—C5	119.76 (12)	O5—C15—H15B	110.2,365,29,Acta_Crystallogr_E_Crystallogr_Commun_2015_Aug_22_71(Pt_9)_o684-o685.txt
H15B,C3—C7—H7A	109.5	C16—C15—H15B	110.2,366,25,Acta_Crystallogr_E_Crystallogr_Commun_2015_Aug_22_71(Pt_9)_o684-o685.txt
H15B,C3—C7—H7B	109.5	H15A—C15—H15B	108.5,367,26,Acta_Crystallogr_E_Crystallogr_Commun_2015_Aug_22_71(Pt_9)_o684-o685.txt
H15B,H15B	0.6050	0.6499	0.3245	0.032*,311,1,Acta_Crystallogr_E_Crystallogr_Commun_2015_Jan_10_71(Pt_2)_o92-o93.txt
H15B,C15—H15B	0.9900	C24—H24A	0.9900,435,5,Acta_Crystallogr_E_Crystallogr_Commun_2015_Jan_10_71(Pt_2)_o92-o93.txt
H15B,C14—C15—H15B	110.9	C5—C4—H4B	109.3,499,9,Acta_Crystallogr_E_Crystallogr_Commun_2015_Jan_10_71(Pt_2)_o92-o93.txt
H15B,H15A—C15—H15B	108.9	C3—C2—C1	110.3 (2),501,10,Acta_Crystallogr_E_Crystallogr_Commun_2015_Jan_10_71(Pt_2)_o92-o93.txt
H15B,C16—C15—H15B	110.9	C3—C2—H2B	109.6,503,9,Acta_Crystallogr_E_Crystallogr_Commun_2015_Jan_10_71(Pt_2)_o92-o93.txt
H15B,H15B	0.3602	0.3787	0.1949	0.064*,232,1,Acta_Crystallogr_E_Crystallogr_Commun_2015_Jan_1_71(Pt_1)_o24-o25.txt
H15B,C6—C7	1.4878 (19)	C15—H15B	0.9700,282,23,Acta_Crystallogr_E_Crystallogr_Commun_2015_Jan_1_71(Pt_1)_o24-o25.txt
H15B,C4—C5—C6	120.18 (14)	N2—C15—H15B	109.8,306,29,Acta_Crystallogr_E_Crystallogr_Commun_2015_Jan_1_71(Pt_1)_o24-o25.txt
H15B,C4—C5—H5	119.9	C16—C15—H15B	109.8,307,24,Acta_Crystallogr_E_Crystallogr_Commun_2015_Jan_1_71(Pt_1)_o24-o25.txt
H15B,C6—C5—H5	119.9	H15A—C15—H15B	108.2,308,25,Acta_Crystallogr_E_Crystallogr_Commun_2015_Jan_1_71(Pt_1)_o24-o25.txt
