matchedPattern,context,lineNumber,columnNumber,publicationName
H16B,H16B	0.7717	1.1647	0.4164	0.096*,320,1,Acta_Crystallogr_E_Crystallogr_Commun_2015_Apr_18_71(Pt_5)_o321-o322.txt
H16B,C16—H16B	0.9600	C28—H28B	0.9600,425,5,Acta_Crystallogr_E_Crystallogr_Commun_2015_Apr_18_71(Pt_5)_o321-o322.txt
H16B,C15—C16—H16B	109.5	C27—C28—H28B	109.5,477,9,Acta_Crystallogr_E_Crystallogr_Commun_2015_Apr_18_71(Pt_5)_o321-o322.txt
H16B,H16A—C16—H16B	109.5	H28A—C28—H28B	109.5,479,10,Acta_Crystallogr_E_Crystallogr_Commun_2015_Apr_18_71(Pt_5)_o321-o322.txt
H16B,H16B—C16—H16C	109.5	H28B—C28—H28C	109.5,481,1,Acta_Crystallogr_E_Crystallogr_Commun_2015_Apr_18_71(Pt_5)_o321-o322.txt
H16B,H16B	−0.2271	−0.2453	0.5575	0.098*,284,1,Acta_Crystallogr_E_Crystallogr_Commun_2015_Aug_22_71(Pt_9)_o684-o685.txt
H16B,C8—C9	1.3729 (18)	C16—H16B	0.9600,340,23,Acta_Crystallogr_E_Crystallogr_Commun_2015_Aug_22_71(Pt_9)_o684-o685.txt
H16B,C3—C7—H7C	109.5	C15—C16—H16B	109.5,369,25,Acta_Crystallogr_E_Crystallogr_Commun_2015_Aug_22_71(Pt_9)_o684-o685.txt
H16B,H7A—C7—H7C	109.5	H16A—C16—H16B	109.5,370,27,Acta_Crystallogr_E_Crystallogr_Commun_2015_Aug_22_71(Pt_9)_o684-o685.txt
H16B,C9—C8—H8	126.4	H16B—C16—H16C	109.5,373,16,Acta_Crystallogr_E_Crystallogr_Commun_2015_Aug_22_71(Pt_9)_o684-o685.txt
H16B,H16B	−0.3090	0.2188	1.0658	0.106*,228,1,Acta_Crystallogr_E_Crystallogr_Commun_2015_Dec_12_71(Pt_12)_m257-m258.txt
H16B,N2—C20	1.471 (3)	C16—H16B	0.9800,297,22,Acta_Crystallogr_E_Crystallogr_Commun_2015_Dec_12_71(Pt_12)_m257-m258.txt
H16B,C22—N1—Li1	116.8 (2)	C13—C16—H16B	109.5,340,30,Acta_Crystallogr_E_Crystallogr_Commun_2015_Dec_12_71(Pt_12)_m257-m258.txt
H16B,C18—N1—Li1	102.62 (18)	H16A—C16—H16B	109.5,341,33,Acta_Crystallogr_E_Crystallogr_Commun_2015_Dec_12_71(Pt_12)_m257-m258.txt
H16B,C20—N2—C19	107.9 (2)	H16B—C16—H16C	109.5,344,22,Acta_Crystallogr_E_Crystallogr_Commun_2015_Dec_12_71(Pt_12)_m257-m258.txt
H16B,H16B	0.1163	0.1682	0.3378	0.045*,230,1,Acta_Crystallogr_E_Crystallogr_Commun_2015_Dec_31_71(Pt_12)_o1093-o1094.txt
H16B,C5—C6	1.391 (2)	C16—H16B	0.9800,278,21,Acta_Crystallogr_E_Crystallogr_Commun_2015_Dec_31_71(Pt_12)_o1093-o1094.txt
H16B,C5—C6—C7	120.08 (15)	O1—C16—H16B	109.5,306,29,Acta_Crystallogr_E_Crystallogr_Commun_2015_Dec_31_71(Pt_12)_o1093-o1094.txt
H16B,C1—C6—C7	121.11 (15)	H16A—C16—H16B	109.5,307,31,Acta_Crystallogr_E_Crystallogr_Commun_2015_Dec_31_71(Pt_12)_o1093-o1094.txt
H16B,C6—C7—C8	114.96 (15)	H16B—C16—H16C	109.5,310,22,Acta_Crystallogr_E_Crystallogr_Commun_2015_Dec_31_71(Pt_12)_o1093-o1094.txt
