matchedPattern,context,lineNumber,columnNumber,publicationName
H17B,H17B	0.6483	0.6460	0.2284	0.046*,324,1,Acta_Crystallogr_E_Crystallogr_Commun_2015_Apr_18_71(Pt_5)_o321-o322.txt
H17B,C17—H17B	0.9700	C29—H29B	0.9600,428,5,Acta_Crystallogr_E_Crystallogr_Commun_2015_Apr_18_71(Pt_5)_o321-o322.txt
H17B,C14—C17—H17B	109.1	C27—C29—H29B	109.5,483,9,Acta_Crystallogr_E_Crystallogr_Commun_2015_Apr_18_71(Pt_5)_o321-o322.txt
H17B,H17A—C17—H17B	107.9	H29A—C29—H29B	109.5,485,10,Acta_Crystallogr_E_Crystallogr_Commun_2015_Apr_18_71(Pt_5)_o321-o322.txt
H17B,C18—C17—H17B	109.1	H29B—C29—H29C	109.5,487,9,Acta_Crystallogr_E_Crystallogr_Commun_2015_Apr_18_71(Pt_5)_o321-o322.txt
H17B,H17B	0.3615	0.3706	0.6285	0.086*,232,1,Acta_Crystallogr_E_Crystallogr_Commun_2015_Dec_12_71(Pt_12)_m257-m258.txt
H17B,C1—H1C	0.9800	C17—H17B	0.9900,301,19,Acta_Crystallogr_E_Crystallogr_Commun_2015_Dec_12_71(Pt_12)_m257-m258.txt
H17B,In1—C1—H1A	109.5	N2—C17—H17B	109.1,348,25,Acta_Crystallogr_E_Crystallogr_Commun_2015_Dec_12_71(Pt_12)_m257-m258.txt
H17B,In1—C1—H1B	109.5	C18—C17—H17B	109.1,349,26,Acta_Crystallogr_E_Crystallogr_Commun_2015_Dec_12_71(Pt_12)_m257-m258.txt
H17B,H1A—C1—H1B	109.5	H17A—C17—H17B	107.9,350,27,Acta_Crystallogr_E_Crystallogr_Commun_2015_Dec_12_71(Pt_12)_m257-m258.txt
H17B,H17B	0.2390	0.9120	0.1460	0.031*,231,1,Acta_Crystallogr_E_Crystallogr_Commun_2015_Dec_16_71(Pt_12)_o1065-o1066.txt
H17B,C17—H17B	0.9900	C41—C46	1.405 (3),463,5,Acta_Crystallogr_E_Crystallogr_Commun_2015_Dec_16_71(Pt_12)_o1065-o1066.txt
H17B,C12—C17—H17B	109.2	C63—C39—C36	111.58 (18),567,9,Acta_Crystallogr_E_Crystallogr_Commun_2015_Dec_16_71(Pt_12)_o1065-o1066.txt
H17B,N1—C17—H17B	109.2	C63—C39—C62	108.6 (2),568,8,Acta_Crystallogr_E_Crystallogr_Commun_2015_Dec_16_71(Pt_12)_o1065-o1066.txt
H17B,H17A—C17—H17B	107.9	C36—C39—C62	110.02 (18),569,10,Acta_Crystallogr_E_Crystallogr_Commun_2015_Dec_16_71(Pt_12)_o1065-o1066.txt
H17B,H17B	0.4846	0.2440	0.3045	0.076*,238,1,Acta_Crystallogr_E_Crystallogr_Commun_2015_Jan_1_71(Pt_1)_o24-o25.txt
H17B,C9—C10	1.5157 (18)	C17—H17B	0.9700,289,24,Acta_Crystallogr_E_Crystallogr_Commun_2015_Jan_1_71(Pt_1)_o24-o25.txt
H17B,C7—C8—H8B	108.8	O2—C17—H17B	109.4,318,24,Acta_Crystallogr_E_Crystallogr_Commun_2015_Jan_1_71(Pt_1)_o24-o25.txt
H17B,C9—C8—H8B	108.8	C18—C17—H17B	109.4,319,25,Acta_Crystallogr_E_Crystallogr_Commun_2015_Jan_1_71(Pt_1)_o24-o25.txt
H17B,H8A—C8—H8B	107.7	H17A—C17—H17B	108.0,320,27,Acta_Crystallogr_E_Crystallogr_Commun_2015_Jan_1_71(Pt_1)_o24-o25.txt
