matchedPattern,context,lineNumber,columnNumber,publicationName
H18A,H18A	0.5062	0.5266	0.1760	0.086*,326,1,Acta_Crystallogr_E_Crystallogr_Commun_2015_Apr_18_71(Pt_5)_o321-o322.txt
H18A,C18—H18A	0.9600,430,5,Acta_Crystallogr_E_Crystallogr_Commun_2015_Apr_18_71(Pt_5)_o321-o322.txt
H18A,C17—C18—H18A	109.5	C20—Si1—C21	105.76 (8),488,9,Acta_Crystallogr_E_Crystallogr_Commun_2015_Apr_18_71(Pt_5)_o321-o322.txt
H18A,H18A—C18—H18B	109.5	C21—Si1—C27	110.17 (8),491,1,Acta_Crystallogr_E_Crystallogr_Commun_2015_Apr_18_71(Pt_5)_o321-o322.txt
H18A,H18A—C18—H18C	109.5	C24—Si1—C21	110.17 (8),492,1,Acta_Crystallogr_E_Crystallogr_Commun_2015_Apr_18_71(Pt_5)_o321-o322.txt
H18A,H18A	0.3396	0.4540	0.7399	0.086*,234,1,Acta_Crystallogr_E_Crystallogr_Commun_2015_Dec_12_71(Pt_12)_m257-m258.txt
H18A,C2—H2A	0.9800	C18—H18A	0.9900,302,19,Acta_Crystallogr_E_Crystallogr_Commun_2015_Dec_12_71(Pt_12)_m257-m258.txt
H18A,H1A—C1—H1C	109.5	N1—C18—H18A	109.0,352,25,Acta_Crystallogr_E_Crystallogr_Commun_2015_Dec_12_71(Pt_12)_m257-m258.txt
H18A,H1B—C1—H1C	109.5	C17—C18—H18A	109.0,353,26,Acta_Crystallogr_E_Crystallogr_Commun_2015_Dec_12_71(Pt_12)_m257-m258.txt
H18A,H2A—C2—H2B	109.5	H18A—C18—H18B	107.8,356,18,Acta_Crystallogr_E_Crystallogr_Commun_2015_Dec_12_71(Pt_12)_m257-m258.txt
H18A,H18A	0.3061	1.0852	0.3618	0.068*,233,1,Acta_Crystallogr_E_Crystallogr_Commun_2015_Dec_16_71(Pt_12)_o1065-o1066.txt
H18A,C18—H18A	0.9800	C42—C43	1.393 (3),464,5,Acta_Crystallogr_E_Crystallogr_Commun_2015_Dec_16_71(Pt_12)_o1065-o1066.txt
H18A,C14—C18—H18A	109.5	C63—C39—C61	106.17 (19),570,9,Acta_Crystallogr_E_Crystallogr_Commun_2015_Dec_16_71(Pt_12)_o1065-o1066.txt
H18A,H18A—C18—H18B	109.5	C62—C39—C61	109.98 (19),572,1,Acta_Crystallogr_E_Crystallogr_Commun_2015_Dec_16_71(Pt_12)_o1065-o1066.txt
H18A,H18A—C18—H18C	109.5	O22—C41—C46	118.72 (16),574,1,Acta_Crystallogr_E_Crystallogr_Commun_2015_Dec_16_71(Pt_12)_o1065-o1066.txt
H18A,H18A	1.0484	1.2064	0.7192	0.035*,235,1,Acta_Crystallogr_E_Crystallogr_Commun_2015_Dec_31_71(Pt_12)_o1093-o1094.txt
H18A,C7—C8	1.547 (2)	C18—H18A	0.9800,281,21,Acta_Crystallogr_E_Crystallogr_Commun_2015_Dec_31_71(Pt_12)_o1093-o1094.txt
H18A,C9—C8—C7	102.57 (14)	C13—C18—H18A	109.5,314,30,Acta_Crystallogr_E_Crystallogr_Commun_2015_Dec_31_71(Pt_12)_o1093-o1094.txt
H18A,C7—C8—H8A	111.3	H18A—C18—H18B	109.5,316,17,Acta_Crystallogr_E_Crystallogr_Commun_2015_Dec_31_71(Pt_12)_o1093-o1094.txt
H18A,C7—C8—H8B	111.3	H18A—C18—H18C	109.5,318,17,Acta_Crystallogr_E_Crystallogr_Commun_2015_Dec_31_71(Pt_12)_o1093-o1094.txt
