matchedPattern,context,lineNumber,columnNumber,publicationName
H2A,"...,19 PRMT5 methylates histones H2A and H4 at R3, respectively...",104,47,ACS_Chem_Biol_2016_Mar_18_11(3)_654-668.txt
H2A,"histones H2A and H4 on arginine 3, resp...",167,10,ACS_Chem_Biol_2016_Mar_18_11(3)_654-668.txt
H2A,"...olely responsible for histone H2A, H3, an",187,57,ACS_Chem_Biol_2016_Mar_18_11(3)_654-668.txt
H2A,"...ing proteins and the histones H2A and H4.4,6,69,70 A plausib...",307,51,ACS_Chem_Biol_2016_Mar_18_11(3)_654-668.txt
H2A,... Shechter D.  (2015 ) Histone H2A and H4 N-Terminal Tail,830,112,ACS_Chem_Biol_2016_Mar_18_11(3)_654-668.txt
H2A,...Methylating Promoter Histones H2A and H4 of the Polymeras,847,48,ACS_Chem_Biol_2016_Mar_18_11(3)_654-668.txt
H2A,...2005 ) Deimination of histone H2A and H,895,69,ACS_Chem_Biol_2016_Mar_18_11(3)_654-668.txt
H2A,H2A	0.2239	0.9039	0.8521	0.020...,227,1,Acta_Crystallogr_E_Crystallogr_Commun_2015_Apr_11_71(Pt_5)_o304-o305.txt
H2A,C4—C12	1.406 (3)	C2—H2A	0.9300,262,21,Acta_Crystallogr_E_Crystallogr_Commun_2015_Apr_11_71(Pt_5)_o304-o305.txt
H2A,N1—C1—H1	118.2	C1—C2—H2A	120.9,281,22,Acta_Crystallogr_E_Crystallogr_Commun_2015_Apr_11_71(Pt_5)_o304-o305.txt
H2A,N1—C1—C2	123.52 (18)	C3—C2—H2A	120.9,282,28,Acta_Crystallogr_E_Crystallogr_Commun_2015_Apr_11_71(Pt_5)_o304-o305.txt
H2A,H2A	0.0852	0.6136	0.2119	0.085...,238,1,Acta_Crystallogr_E_Crystallogr_Commun_2015_Apr_30_71(Pt_5)_o371-o372.txt
H2A,O2—H2A	0.8200	C11—C12	1.457 (4),309,4,Acta_Crystallogr_E_Crystallogr_Commun_2015_Apr_30_71(Pt_5)_o371-o372.txt
H2A,C10—O2—H2A	109.5	C13—C12—C11	121.8 (3...,331,8,Acta_Crystallogr_E_Crystallogr_Commun_2015_Apr_30_71(Pt_5)_o371-o372.txt
H2A,O2—H2A···O1	0.82	1.75	2.482 (3)	1...,395,4,Acta_Crystallogr_E_Crystallogr_Commun_2015_Apr_30_71(Pt_5)_o371-o372.txt
H2A,H2A	0.0581	−0.0208	0.7024	0.07...,199,1,Acta_Crystallogr_E_Crystallogr_Commun_2015_Dec_12_71(Pt_12)_m257-m258.txt
H2A,C2—H2A	0.9800	C18—H18A	0.9900,302,4,Acta_Crystallogr_E_Crystallogr_Commun_2015_Dec_12_71(Pt_12)_m257-m258.txt
H2A,In1—C2—H2A	109.5	N1—C18—H18B	109.0,354,8,Acta_Crystallogr_E_Crystallogr_Commun_2015_Dec_12_71(Pt_12)_m257-m258.txt
H2A,H2A—C2—H2B	109.5	H18A—C18—H18B...,356,1,Acta_Crystallogr_E_Crystallogr_Commun_2015_Dec_12_71(Pt_12)_m257-m258.txt
H2A,H2A—C2—H2C	109.5	N2—C19—H19B	1...,358,1,Acta_Crystallogr_E_Crystallogr_Commun_2015_Dec_12_71(Pt_12)_m257-m258.txt
