matchedPattern,context,lineNumber,columnNumber,publicationName
H2A,"methylation.7,18,19 PRMT5 methylates histones H2A and H4 at R3, respectively, as wel",104,46,ACS_Chem_Biol_2016_Mar_18_11(3)_654-668.txt
H2A,"histones H2A and H4 on arginine 3, respectively (Figure 1)...",167,9,ACS_Chem_Biol_2016_Mar_18_11(3)_654-668.txt
H2A,"...een suggested to be solely responsible for histone H2A, H3, an",187,56,ACS_Chem_Biol_2016_Mar_18_11(3)_654-668.txt
H2A,"in numerous RNA binding proteins and the histones H2A and H4.4,6,69,70 A plausible reason for the r...",307,50,ACS_Chem_Biol_2016_Mar_18_11(3)_654-668.txt
H2A,...song J. ; Reimer U. ; Shechter D.  (2015 ) Histone H2A and H4 N-Terminal Tail,830,111,ACS_Chem_Biol_2016_Mar_18_11(3)_654-668.txt
H2A,to DNA Damage by Methylating Promoter Histones H2A and H4 of the Polymeras,847,47,ACS_Chem_Biol_2016_Mar_18_11(3)_654-668.txt
H2A,...aka Y. ; Yamada M.  (2005 ) Deimination of histone H2A and H,895,68,ACS_Chem_Biol_2016_Mar_18_11(3)_654-668.txt
H2A,Atoms H2A and H2B of the NH2 group were located in a di...,191,6,Acta_Crystallogr_Sect_E_Struct_Rep_Online_2010_Jul_17_66(Pt_8)_m953-m954.txt
H2A,"Atoms H1A, H2A, H2B, H19A, H20A and H20B were located from a...",184,11,Acta_Crystallogr_Sect_E_Struct_Rep_Online_2011_Jul_16_67(Pt_8)_o2068.txt
H2A,...s were refined anisotropically. The hydrogen atoms H2A an,191,72,Acta_Crystallogr_Sect_E_Struct_Rep_Online_2012_Feb_29_68(Pt_3)_o883.txt
H2A,and 0.09 (2) Å out of the benzene plane and H2A and H2B are 0.42 (2) an,169,44,Acta_Crystallogr_Sect_E_Struct_Rep_Online_2013_Apr_5_69(Pt_5)_o658.txt
H2A,"...ngth distortions (Allen, 1981). The short contacts H2A···H7",173,61,Acta_Crystallogr_Sect_E_Struct_Rep_Online_2014_Apr_26_70(Pt_5)_o604-o605.txt
H2A,(2.17 Å) and H2A···H7B (2.31 Å) result in the substantial wide...,174,13,Acta_Crystallogr_Sect_E_Struct_Rep_Online_2014_Apr_26_70(Pt_5)_o604-o605.txt
H2A,"... 73] as well as phosphorylation of histone variant H2A.X [14]. Furthermore, the neuron restrictive s...",13,1505,Acta_Neuropathol_2013_Sep_5_126(5)_741-756.txt
H2A,...en TJ  Kondratyev AD    Phosphorylation of histone H2A.X as an early marker of neuronal endangerment...,244,93,Acta_Neuropathol_2013_Sep_5_126(5)_741-756.txt
H2A,"core histone, H2A, H2B, H3 and H4 to form the nucleosome. Throu...",61,38,Aging_(Albany_NY)_2009_Feb_13_1(2)_182-190.txt
H2A,"...the aging process. MacroH2A1, a variant of histone H2A, is a key transcriptional regulator involved ...",3,1906,Aging_(Albany_NY)_2014_Jan_28_6(1)_35-47.txt
H2A,"...ration of histone variants. The histone variant of H2A, known as macroH2A1, is believed to act as a ...",8,1510,Aging_(Albany_NY)_2014_Jan_28_6(1)_35-47.txt
H2A,"...ve images for macroH2A1.1, macroH2A1.2 and histone H2A are shown. (C) Left: schematic representation...",10,313,Aging_(Albany_NY)_2014_Jan_28_6(1)_35-47.txt
H2A,... of the macroH2A1.1 or macroH2A1.2 gene (made of a H2A-like domain and the relative macro domain) fu...,10,460,Aging_(Albany_NY)_2014_Jan_28_6(1)_35-47.txt
