matchedPattern	context	lineNumber	columnNumber	publicationName
S1 Fig	Fig. S1 Fig. S	49	5	Data_Brief_2016_Jan_13_6_625-629.txt
S1 Fig	Fig. S1 Fig. S	66	5	Data_Brief_2016_Mar_22_7_927-939.txt
S1 Fig	Inline Supplementary Figure S1 Fig. S1 FA disease effect s...	153	28	Neuroimage_Clin_2013_Oct_14_3_481-488.txt
S1 Fig	Supplementary Figure S1 Fig. S1 Representative 1H-M...	43	21	Neuroimage_Clin_2014_Apr_2_4_576-584.txt
S1 Fig	S1 Fig Timescale of experiment...	171	1	PLoS_Biol_2015_Apr_27_13(4)_e1002135.txt
S1 Fig	...underlying numerical data for S1 Fig. Raw membrane potential...	222	63	PLoS_Biol_2015_Aug_14_13(8)_e1002231.txt
S1 Fig	S1 Fig Characterization of bip...	278	1	PLoS_Biol_2015_Aug_14_13(8)_e1002231.txt
S1 Fig	... ammonia (nitrogen fixation) (S1 Fig) [13]. The SBOL Visual ...	83	316	PLoS_Biol_2015_Dec_3_13(12)_e1002310.txt
S1 Fig	S1 Fig SBOL Visual diagrams ca...	156	1	PLoS_Biol_2015_Dec_3_13(12)_e1002310.txt
S1 Fig	S1 Fig	172	1	PLoS_Biol_2015_Jul_21_13(7)_e1002200.txt
S1 Fig	...cribble cKO oligodendrocytes (S1 Fig)	56	2367	PLoS_Biol_2015_Mar_25_13(3)_e1002107.txt
S1 Fig	S1 Fig Conditional elimination...	158	1	PLoS_Biol_2015_Mar_25_13(3)_e1002107.txt
S1 Fig	...e for three of the 20 clones (S1 Fig	110	641	PLoS_Biol_2015_May_26_13(5)_e1002155.txt
S1 Fig	S1 Fig Most evolved clones hav...	276	0	PLoS_Biol_2015_May_26_13(5)_e1002155.txt
S1 Fig	S1 Fig Control experiments to ...	244	1	PLoS_Biol_2015_Oct_23_13(10)_e1002286.txt
S1 Fig	...illed motor learning [30–32] (S1 Fig). Five days after elect...	38	352	PLoS_Biol_2015_Sep_18_13(9)_e1002263.txt
S1 Fig	...mb primary motor cortex (M1) (S1 Fig). Final localization of...	130	387	PLoS_Biol_2015_Sep_18_13(9)_e1002263.txt
S1 Fig	S1 Fig Placement of electrodes...	192	1	PLoS_Biol_2015_Sep_18_13(9)_e1002263.txt
S1 Fig	...cleavage and blastula stages (S1 Fig). To evaluate the contr...	32	1129	PLoS_Biol_2015_Sep_9_13(9)_e1002247.txt
S1 Fig	...e against the morpholino (see S1 Fig). As shown previously i...	32	1879	PLoS_Biol_2015_Sep_9_13(9)_e1002247.txt
