matchedPattern,context,lineNumber,columnNumber,publicationName
T1D,"...es [13, 14]. Type 1 diabetes (T1D) is an autoimmune disease ...",16,1373,Anat_Res_Int_2012_Feb_22_2012_457546.txt
T1D,...em (for reviews see [15–18]). T1D has a prodromal stage of i...,16,1530,Anat_Res_Int_2012_Feb_22_2012_457546.txt
T1D,"...have been killed [21]. Hence, T1D appears due to the selecti...",16,2265,Anat_Res_Int_2012_Feb_22_2012_457546.txt
T1D,... The major genetic factor for T1D is the HLA-DQ locus on chr...,16,2389,Anat_Res_Int_2012_Feb_22_2012_457546.txt
T1D,...en the HLA Class II genes and T1D is well established and se...,16,2530,Anat_Res_Int_2012_Feb_22_2012_457546.txt
T1D,...y (80–90%) of newly diagnosed T1D children do not have a fir...,16,2769,Anat_Res_Int_2012_Feb_22_2012_457546.txt
T1D,... confers the genetic risk for T1D (Table 2). The highest ris...,16,2957,Anat_Res_Int_2012_Feb_22_2012_457546.txt
T1D,...-DQ2/8 genotype. The risk for T1D with this genotype is high...,16,3042,Anat_Res_Int_2012_Feb_22_2012_457546.txt
T1D,... 32]. Affected sib-pairs with T1D share HLA alleles more oft...,16,3170,Anat_Res_Int_2012_Feb_22_2012_457546.txt
T1D,...so negatively associated with T1D and therefore offer at lea...,16,3344,Anat_Res_Int_2012_Feb_22_2012_457546.txt
T1D,...DQ6.2) was rarely found among T1D children below the age of ...,16,3496,Anat_Res_Int_2012_Feb_22_2012_457546.txt
T1D,...icochemical properties confer T1D risk in other populations ...,16,3732,Anat_Res_Int_2012_Feb_22_2012_457546.txt
T1D,...9]. As indicated the risk for T1D conferred by HLA-DQ is dep...,16,3834,Anat_Res_Int_2012_Feb_22_2012_457546.txt
T1D,...time of clinical diagnosis of T1D but also prior to the clin...,16,4030,Anat_Res_Int_2012_Feb_22_2012_457546.txt
T1D,...e reaction against insulin in T1D has been mapped in terms o...,16,4148,Anat_Res_Int_2012_Feb_22_2012_457546.txt
T1D,...sulin is a target not only in T1D but also in other autoimmu...,16,4278,Anat_Res_Int_2012_Feb_22_2012_457546.txt
T1D,"...where insulin autoimmunity in T1D [17, 48, 49] or in the ins...",16,4796,Anat_Res_Int_2012_Feb_22_2012_457546.txt
T1D,T1D may be viewed as a two-ste...,26,0,Anat_Res_Int_2012_Feb_22_2012_457546.txt
T1D,...ss. The immunopathogenesis of T1D is associated with T-lymph...,26,360,Anat_Res_Int_2012_Feb_22_2012_457546.txt
T1D,... cells in the pathogenesis of T1D is illustrated in recent c...,26,968,Anat_Res_Int_2012_Feb_22_2012_457546.txt
