matchedPattern,context,lineNumber,columnNumber,publicationName
rs6020684,...cancer? Cancers Basel 2014 6 684 707 10.3390/cancers6020684 24670368,115,209,3_Biotech_2016_Dec_13_6(1)_58.txt
rs13,"...lent compounds, respectively. Goddard and co-workers13,14 investigated recoupled pair bonding for th...",34,289,Acc_Chem_Res_2013_Feb_19_46(2)_359-368.txt
rs42,"... in chemical reactivity. Recently, Lu and co-workers42,43 reported molecular beam and computational ...",142,343,Acc_Chem_Res_2013_Feb_19_46(2)_359-368.txt
rs42,"...d shell molecules. Calculations by Lu and co-workers42,43 showed that the reaction proceeded through...",142,851,Acc_Chem_Res_2013_Feb_19_46(2)_359-368.txt
rs20,employed electrodes made of wet-spun CNT fibers20 as neural recording probes.15 The fibers had ...,258,46,ACS_Cent_Sci_2016_Apr_27_2(4)_190-200.txt
rs19,other researchers19−21 focused more on the dominant soluble polys...,59,16,ACS_Cent_Sci_2016_Aug_24_2(8)_560-568.txt
rs80,"...ccur alpha to oxygen in linear, allylic silyl ethers80 to form products that are equivalent to thos",389,57,ACS_Cent_Sci_2016_May_25_2(5)_281-292.txt
rs44,"inhibitors44), suggesting the binding site",447,9,ACS_Chem_Biol_2015_Feb_20_10(2)_413-420.txt
rs22,"...otonin 5-HT2A and 5-HT2C, and H1 histamine receptors22,23 as well as the DA, norepinephrine, and ser...",200,87,ACS_Chem_Neurosci_2014_Jul_28_5(10)_920-942.txt
rs18,"transcription factors18,19 with experimentally characterize",175,20,ACS_Infect_Dis_2016_Apr_8_2(4)_268-280.txt
rs10,inhibitors10 such as celecoxib. In addition,771,9,ACS_Infect_Dis_2016_Apr_8_2(4)_268-280.txt
rs2161,...CS Macro LettACS Macro LettmzamlccdACS Macro Letters2161-16532161-1653American Chemical Society 10.1...,3,52,ACS_Macro_Lett_2014_Jul_15_3(7)_611-616.txt
rs2161,...CS Macro LettACS Macro LettmzamlccdACS Macro Letters2161-1653American Chemical Society 10.1021/acsma...,3,52,ACS_Macro_Lett_2016_Sep_20_5(9)_1059-1064.txt
rs1948,...Med Chem LettmlamclctACS Medicinal Chemistry Letters1948-58751948-5875America,3,72,ACS_Med_Chem_Lett_2012_Mar_12_3(5)_407-410.txt
rs19,"...clusters,18 and some other transition-metal clusters19 (i.e., Ag, Au, and Ni) where the cooperative ...",27,739,ACS_Nano_2014_Jul_22_8(7)_7465-7477.txt
rs59,"...H2O to fabricate micropillars. Biotinylated aptamers59,60 have been used coupled with avidin on the ...",94,491,ACS_Nano_2014_Mar_25_8(3)_1995-2017.txt
rs5,"the motion of individual molecular walkers5 have been examined by this means. However, the...",48,41,ACS_Nano_2016_Sep_27_10(9)_8843-8850.txt
rs19,mM) to yield two different truncated mutant monomers19 (SMΔ6–113M and SMΔ6–113F). The rate of ligati...,179,51,ACS_Nano_2016_Sep_27_10(9)_8843-8850.txt
rs26,can range from a few femtoliters26 to industria,154,31,ACS_Synth_Biol_2015_Jan_16_4(1)_32-38.txt
rs2013,...75 29 7 2013 9 12 2013 16 12 2013 © 2013 The Authors2013This is an open-access article distributed u...,5,79,Acta_Biomater_2014_May_10(5)_2065-2075.txt
rs2,...600536807065099ACSEBHS1600536807065099Organic Papers2-(9H-Fluoren-9-ylidenemeth­yl)thio­phene C18H12...,3,227,Acta_Crystallogr_Sect_E_Struct_Rep_Online_2007_Dec_18_64(Pt_1)_o274.txt
rs7,"...600536807042948ACSEBHS1600536807042948Organic Papers7-Acetyl­amino-2,4-dimethyl-1,8-naphthyridine C1...",3,227,Acta_Crystallogr_Sect_E_Struct_Rep_Online_2007_Dec_6_64(Pt_1)_o112.txt
rs5,...60053680706309XACSEBHS160053680706309XOrganic Papers5-Amino-3-(4-pyrid­yl)isoxazole C8H7N3OYao Zheng...,3,227,Acta_Crystallogr_Sect_E_Struct_Rep_Online_2007_Dec_6_64(Pt_1)_o131.txt
rs3,...600536807063489ACSEBHS1600536807063489Organic Papers3-Phenyl-1-(pyrrol-2-yl)prop-2-en-1-one C13H11NO...,3,227,Acta_Crystallogr_Sect_E_Struct_Rep_Online_2007_Dec_6_64(Pt_1)_o151.txt
rs3,"...600536807065038ACSEBHS1600536807065038Organic Papers3,4-Dihydr­oxy-N′-(2-hydroxy­benzyl­idene)benzoh...",3,227,Acta_Crystallogr_Sect_E_Struct_Rep_Online_2007_Dec_6_64(Pt_1)_o210.txt
rs3,...600536807060874ACSEBHS1600536807060874Organic Papers3-Allyl-1-(2-cyano­benz­yl)-2-methyl­benzimidazo...,3,227,Acta_Crystallogr_Sect_E_Struct_Rep_Online_2007_Dec_6_64(Pt_1)_o23.txt
rs3,"...600536807049860ACSEBHS1600536807049860Organic Papers3,4-Dicyano­phenyl 2,3,4,6-tetra-O-acetyl-α-d-gl...",3,227,Acta_Crystallogr_Sect_E_Struct_Rep_Online_2007_Dec_6_64(Pt_1)_o63.txt
rs3,"...600536808011264ACSEBHS1600536808011264Organic Papers3-(3-Chloro­prop­yl)-7,8-dimeth­oxy-1H-3-benzaze...",3,227,Acta_Crystallogr_Sect_E_Struct_Rep_Online_2008_Apr_26_64(Pt_5)_o906.txt
rs2,"...600536808011306ACSEBHS1600536808011306Organic Papers2-Phenyl­imidazo[1,2-a]pyridine-3-carbaldehyde C...",3,227,Acta_Crystallogr_Sect_E_Struct_Rep_Online_2008_Apr_26_64(Pt_5)_o927.txt
