matchedPattern,context,lineNumber,columnNumber,publicationName
AB470317.1,"1, 3	1-6I, 2-XIX	Enterococcus sp. (99%)	[GenBank:AB470317.1]",84,51,BMC_Microbiol_2011_Oct_4_11_219.txt
AB470317.1,4	3-XXII	Enterococcus sp. (99%)	[GenBank:AB470317.1],88,43,BMC_Microbiol_2011_Oct_4_11_219.txt
AB470317.1,1	1-14I	Enterococcus sp. (99%)	[GenBank:AB470317.1],93,42,BMC_Microbiol_2011_Oct_4_11_219.txt
AB470317.1,2	2-VIII	Enterococcus sp. (99%)	[GenBank:AB470317.1],104,43,BMC_Microbiol_2011_Oct_4_11_219.txt
AB470317.1,"...	1, 1	1-4I, 1-12I	Enterococcus sp. (99%)	[GenBank:AB470317.1]",107,53,BMC_Microbiol_2011_Oct_4_11_219.txt
AB470317.1,1	1-6I	Enterococcus sp. (99%)	[GenBank:AB470317.1],112,41,BMC_Microbiol_2011_Oct_4_11_219.txt
AB470317.1,13	1	3I	Enterococcus sp. (99%)	[GenBank:AB470317.1],113,41,BMC_Microbiol_2011_Oct_4_11_219.txt
AB470317.1,1	1-8I	Enterococcus sp. (99%)	[GenBank:AB470317.1],119,41,BMC_Microbiol_2011_Oct_4_11_219.txt
AB470317.1,3	1(13I-14I-5I)	Enterococcus sp. (99%)	[GenBank:AB470317.1],124,50,BMC_Microbiol_2011_Oct_4_11_219.txt
AB470317.1,"..., 1	2-XIII, 1-13I	Enterococcus sp. (99%)	[GenBank:AB470317.1]",127,53,BMC_Microbiol_2011_Oct_4_11_219.txt
AB470317.1,1	1-13I	Enterococcus sp. (99%)	[GenBank:AB470317.1],129,42,BMC_Microbiol_2011_Oct_4_11_219.txt
AB470317.1,20	3	1-III	Enterococcus sp. (99%)	[GenBank:AB470317.1],143,44,BMC_Microbiol_2011_Oct_4_11_219.txt
AB470317.1,2	2-XII	Enterococcus sp. (99%)	[GenBank:AB470317.1],148,42,BMC_Microbiol_2011_Oct_4_11_219.txt
AB470317.1,"...1, 1	1-III, 1-10I	Enterococcus sp. (99%)	[GenBank:AB470317.1]",150,54,BMC_Microbiol_2011_Oct_4_11_219.txt
AB470317.1,23	3	3-III	Enterococcus sp. (99%)	[GenBank:AB470317.1],156,44,BMC_Microbiol_2011_Oct_4_11_219.txt
AB470317.1,"...2	1(4I-5I), 2-XIV	Enterococcus sp. (99%)	[GenBank:AB470317.1]",180,58,BMC_Microbiol_2011_Oct_4_11_219.txt
AB470317.1,"...0I-11I), 1-1I	Enterococcus sp. (99-100%)	[GenBank:AB470317.1]",184,70,BMC_Microbiol_2011_Oct_4_11_219.txt
AB470317.1,31	1	1-1I	Enterococcus sp. (99%)	[GenBank:AB470317.1],189,43,BMC_Microbiol_2011_Oct_4_11_219.txt
AB470317.1,33	6	2-X	Enterococcus sp. (99%)	[GenBank:AB470317.1],195,42,BMC_Microbiol_2011_Oct_4_11_219.txt
AB470317.1,34	1	1-4Ib	Enterococcus sp. (99%)	[GenBank:AB470317.1],200,44,BMC_Microbiol_2011_Oct_4_11_219.txt
