matchedPattern,context,lineNumber,columnNumber,publicationName
rs12979860,...rt the association of a single IL28B genotype SNP rs12979860 with the HTLV-1 clinical outcomes and p...,3,216,BMC_Infect_Dis_2012_Dec_23_12_374.txt
rs12979860,The Interleukin 28B (IL28B) rs12979860 polymorphisms was recently reported to ...,4,29,BMC_Infect_Dis_2012_Dec_23_12_374.txt
rs12979860,"...is hypothesis, we assessed the association of the rs12979860 genotypes with HTLV-1 PvL levels and cl...",7,78,BMC_Infect_Dis_2012_Dec_23_12_374.txt
rs12979860,...y reported positive association between the IL28B rs12979860 polymorphisms and an increased risk of ...,13,92,BMC_Infect_Dis_2012_Dec_23_12_374.txt
rs12979860,"...ntified several polymorphisms, such as rs8099917, rs12979860, and 12980275, in or near the IL28B gen...",22,114,BMC_Infect_Dis_2012_Dec_23_12_374.txt
rs12979860,"...ted IFN-α and ribavirin [21-23]. The polymorphism rs12979860 (3 kb upstream of IL28B), identified by...",22,331,BMC_Infect_Dis_2012_Dec_23_12_374.txt
rs12979860,...uals with the CT/TT allelic variants at the IL28B rs12979860 gene exhibited approximately a 3-fold i...,22,747,BMC_Infect_Dis_2012_Dec_23_12_374.txt
rs12979860,...chose to further scrutinize the role of the IL28B rs12979860 polymorphism in both asymptomatic HTLV-...,22,1016,BMC_Infect_Dis_2012_Dec_23_12_374.txt
rs12979860,"... segment upstream of the IL-28 gene, flanking the rs12979860 polymorphism between nucleotides 120068...",31,162,BMC_Infect_Dis_2012_Dec_23_12_374.txt
rs12979860,"...the frequencies of the CC, CT and TT genotypes of rs12979860 were 45%, 48% and 7%, respectively, ref...",59,72,BMC_Infect_Dis_2012_Dec_23_12_374.txt
rs12979860,...quency of 93%. The calculated distribution of the rs12979860 alleles according to the Hardy-Weinberg...,59,194,BMC_Infect_Dis_2012_Dec_23_12_374.txt
rs12979860,"...d the relationship between the PvL levels and the rs12979860 alleles. As shown in Figure 1B, the med...",59,739,BMC_Infect_Dis_2012_Dec_23_12_374.txt
rs12979860,...iffer significantly between subjects carrying the rs12979860 CC genotype (median 57.5 copies/1000 PB...,59,870,BMC_Infect_Dis_2012_Dec_23_12_374.txt
rs12979860,"...relates of clinical status and frequencies of the rs12979860 SNP. To this end, a comparison was made...",61,105,BMC_Infect_Dis_2012_Dec_23_12_374.txt
rs12979860,...were excluded from analysis. The frequency of the rs12979860 CC genotype was 43.2% among the 81 AC s...,61,336,BMC_Infect_Dis_2012_Dec_23_12_374.txt
rs12979860,...arison of the frequencies of interleukin (IL) 28B rs12979860 CC and CT/TT allelic variants between a...,63,64,BMC_Infect_Dis_2012_Dec_23_12_374.txt
rs12979860,... significant difference in the frequencies of the rs12979860 genotypes identified was found in this ...,65,164,BMC_Infect_Dis_2012_Dec_23_12_374.txt
rs12979860,... findings of association between the polymorphism rs12979860 in the vicinity of the IL28 gene and th...,68,97,BMC_Infect_Dis_2012_Dec_23_12_374.txt
rs12979860,...rue when the analysis was extended to compare the rs12979860 polymorphism frequencies in patients th...,68,496,BMC_Infect_Dis_2012_Dec_23_12_374.txt
rs12979860,...ay stem from different methods used to assign the rs12979860 polymorphisms. The initial study used a...,68,1468,BMC_Infect_Dis_2012_Dec_23_12_374.txt
