matchedPattern,count
rs470478,1
rs1800467,1
rs1056463,1
rs1864325,1
rs1163397,1
rs10493062,1
rs2108167,1
rs544,1
rs1362125,1
rs708274,1
rs254,1
rs4577050,1
rs8089366,1
rs1211152,1
rs3211371,1
rs2279343,1
rs12459350,1
rs11587539,1
rs1870761,1
rs1990760,1
rs40290,1
rs1805128,1
rs947699,1
rs9822761,1
rs11731709,1
rs7093962,1
rs10519861,1
rs129963,1
rs3213733,1
rs3767003,1
rs1061472,1
rs201350646,1
rs1049380,1
rs70505565,1
rs4150402,1
rs16857609,1
rs29014779,1
rs41585245,1
rs4243640,1
rs10868728,1
rs3786054,1
rs12119079,1
rs11190140,1
rs7780976,1
rs17288269,1
rs34362094,1
rs2228486,1
rs2240335,1
rs9851048,1
rs578459,1
rs61042368,1
rs7183892,1
rs2195239,1
rs619487,1
rs2071095,1
rs3024505,1
rs439401,1
rs1879894,1
rs852069,1
rs187238,1
rs12358834,1
rs870843,1
rs115466046,1
rs17470454,1
rs704010,1
rs11199914,1
rs2236007,1
rs4261468,1
rs10484326,1
rs6798130,1
rs10936243,1
rs2345060,1
rs6779769,1
rs1805081,1
rs50144561,1
rs1759222,1
rs17851984,1
rs281432,1
rs1035765,1
rs1380866,1
rs376210239,1
rs2283524,1
rs1136224,1
rs1106523,1
rs836,1
rs11636091,1
rs8058644,1
rs524952,1
rs1549758,1
rs77281462,1
rs13904683,1
rs10519279,1
rs2071358,1
rs41633905,1
rs2207189,1
rs1421368,1
rs10512369,1
rs231357,1
rs1256854,1
rs13152588,1
rs2185792,1
rs3024676,1
rs4438497,1
rs7003503,1
rs354445,1
rs1337072,1
rs17057464,1
rs11817978,1
rs7030241,1
rs2875991,1
rs3024536,1
rs2305480,1
rs3211938,1
rs13030174,1
rs452204,1
rs735239,1
rs35853292,1
rs2424992,1
rs6088552,1
rs3881953,1
rs1064825,1
rs4507975,1
rs3846569,1
rs3817973,1
rs6426870,1
rs9532292,1
rs11882450,1
rs1168268,1
rs2796268,1
rs2868145,1
rs737267,1
rs10489854,1
rs15297163,1
rs2505506,1
rs11626091,1
rs286246,1
rs10507559,1
rs10496761,1
rs122201458,1
rs16857509,1
rs140316734,1
rs76977831,1
rs340729607,1
rs7096948,1
rs11820646,1
rs6472903,1
rs10221416,1
rs228592,1
rs2486545,1
rs13484004,1
rs7427984,1
rs2867840,1
rs41403648,1
rs187719061,1
rs55918055,1
rs729454,1
rs4247357,1
rs7592429,1
rs1014290,1
rs12336969,1
rs7074064,1
rs72644240,1
rs6431393,1
rs2239803,1
rs6050,1
rs4771436,1
rs50871,1
rs7786503,1
rs1937920,1
rs2031750,1
rs11084753,1
rs2294918,1
rs140042278,1
rs2236905,1
rs17655,1
rs41647457,1
rs42086690,1
rs199854306,1
rs5105265,1
rs17544971,1
rs4745209,1
rs740006,1
rs37062,1
rs533259,1
rs11079797,1
rs7019382,1
rs6776634,1
rs985620,1
rs3918358,1
rs2727261,1
rs1649942,1
rs633715,1
rs3744741,1
rs17102086,1
rs1881492,1
rs2075290,1
rs80863153,1
rs42503056,1
rs885822,1
rs17765376,1
rs12126069,1
rs2041778,1
rs6221690,1
rs3101493,1
rs835223,1
rs724868,1
rs1369842,1
rs1000283,1
rs3750861,1
rs42837712,1
rs12375908,1
rs2233945,1
rs258322,1
rs9880436,1
rs5986990,1
rs11143429,1
rs11551768,1
rs138871050,1
rs4072222,1
rs11856927,1
rs9487094,1
rs962786,1
rs16938588,1
rs11893710,1
rs1588635,1
rs4815670,1
rs314272,1
rs10233386,1
rs12429692,1
rs4975396,1
rs3212092,1
rs1634322,1
rs2542052,1
rs2235616,1
rs3750965,1
rs1131017,1
rs877228,1
rs12715600,1
rs2040939,1
rs16830058,1
rs11003120,1
rs6464,1
rs7794735,1
rs144147839,1
rs4688963,1
rs148483836,1
rs11150589,1
rs16825114,1
rs3792551,1
rs137852342,1
rs870137,1
rs10516526,1
rs7283760,1
rs13192841,1
rs6709385,1
rs17148190,1
rs1537504,1
rs1512015,1
rs4674345,1
rs4714586,1
rs348790,1
rs3746455,1
rs12940887,1
rs13484112,1
rs2148079,1
rs11144108,1
rs10507246,1
rs1707420,1
rs74743733,1
rs6627852,1
rs31471555,1
rs45981582,1
rs110741211,1
rs43731273,1
rs179972,1
rs10275831,1
rs72553883,1
rs10916712,1
rs11088981,1
rs2273448,1
rs36095412,1
rs7726159,1
rs2960436,1
rs1019731,1
rs760419,1
rs1933182,1
rs2846667,1
rs1979406,1
rs17047660,1
rs1865294,1
rs2947411,1
rs2346175,1
rs16947,1
rs4252125,1
rs4924496,1
rs2284217,1
rs41276730,1
rs8023462,1
rs6058029,1
rs6087616,1
rs10513725,1
rs8176345,1
rs184505592,1
rs146790944,1
rs2069910,1
rs2721068,1
rs2898290,1
rs5977559,1
rs4930145,1
rs374567,1
rs16958826,1
rs9380343,1
rs633407,1
rs6098671,1
rs12539895,1
rs45457497,1
rs1356410,1
rs1052501,1
rs4822700,1
rs9320660,1
rs10517393,1
rs4688557,1
rs2232853,1
rs61888800,1
rs1040002,1
rs5752351,1
rs1053839,1
rs16851307,1
rs691141,1
rs3813624,1
rs4788839,1
rs17257252,1
rs4763446,1
rs11132733,1
rs12060765,1
rs116031,1
rs146304341,1
rs2288595,1
rs5906883,1
rs2283729,1
rs10840606,1
rs13135430,1
rs10501918,1
rs10513577,1
rs11973069,1
rs50507765,1
rs17822931,1
rs75710404,1
rs1251,1
rs1962149,1
rs17411356,1
rs1047406,1
rs11563201,1
rs10027043,1
rs10119177,1
rs6786129,1
rs11060480,1
rs2023906,1
rs3805596,1
rs201524804,1
rs19783420,1
rs7181866,1
rs884483,1
rs9297682,1
rs3020331,1
rs2228054,1
rs34213328,1
rs1801174,1
rs3827760,1
rs4758562,1
rs2158394,1
rs2735971,1
rs25731,1
rs12448529,1
rs12599143,1
rs3731217,1
rs10173081,1
rs589082,1
rs115746570,1
rs146598030,1
rs6599254,1
rs9315045,1
rs146680240,1
rs398119837,1
rs6188,1
rs1458038,1
rs10907360,1
rs17762165,1
rs2282015,1
rs2282010,1
rs7123207,1
rs10484180,1
rs26957196,1
rs109285764,1
rs4760655,1
rs14937017,1
rs2073337,1
rs4148398,1
rs832575,1
rs2076075,1
rs3774803,1
rs4764887,1
rs12708942,1
rs1053438,1
rs6580942,1
rs9960856,1
rs3181225,1
rs31768105,1
rs17685991,1
rs1392481,1
rs9456259,1
rs6099057,1
rs2280868,1
rs10719,1
rs210359,1
rs2213585,1
rs11629598,1
rs7209436,1
rs6828523,1
rs34811413,1
rs1015343,1
rs12434098,1
rs17044432,1
rs32065217,1
rs465646,1
rs9332377,1
rs3755459,1
rs606231340,1
rs10233247,1
rs1635571,1
rs10508881,1
rs7333181,1
rs1172822,1
rs7125562,1
rs1450111,1
rs426736,1
rs11582609,1
rs2272128,1
rs915664,1
rs11724023,1
rs7470086,1
rs2808699,1
rs292448,1
rs2279601,1
rs6936717,1
rs113610699,1
rs17853498,1
rs767455,1
rs757262,1
rs16898558,1
rs12918736,1
rs758216,1
rs3951042,1
rs10485640,1
rs180953647,1
rs745975,1
rs2256111,1
rs35303484,1
rs6118819,1
rs1426310,1
rs55916807,1
rs41309831,1
rs4865047,1
rs507392,1
rs2735467,1
rs4879670,1
rs3123655,1
rs1445558,1
rs34166523,1
rs10466829,1
rs2116714,1
rs7645716,1
rs6937402,1
rs8179090,1
rs1801321,1
rs4671393,1
rs6120669,1
rs1516003,1
rs10790715,1
rs2440468,1
rs10512038,1
rs9294466,1
rs11918801,1
rs61991156,1
rs45445694,1
rs17953222,1
rs2942,1
rs1635564,1
rs1225936,1
rs2687202,1
rs137852349,1
rs324015,1
rs1998930,1
rs6829274,1
rs11205415,1
rs175476,1
rs6832439,1
rs2525882,1
rs7396803,1
rs15297165,1
rs2505535,1
rs7093409,1
rs5759621,1
rs10976082,1
rs6925922,1
rs572938,1
rs8180664,1
rs2230282,1
rs5030445,1
rs4254165,1
rs210361,1
rs10510007,1
rs1872824,1
rs242924,1
rs4853578,1
rs62459010,1
rs3917643,1
rs118203906,1
rs10493953,1
rs10515754,1
rs2710201,1
rs336597,1
rs62376935,1
rs10949483,1
rs109239523,1
rs7915414,1
rs4800452,1
rs742450,1
rs2071192,1
rs5750546,1
rs10910025,1
rs4854585,1
rs672569,1
rs6994403,1
rs12742422,1
rs880633,1
rs12495941,1
rs11053599,1
rs6258,1
rs3024619,1
rs2114358,1
rs377100778,1
rs9982601,1
rs2245361,1
rs41600022,1
rs619689,1
rs1465618,1
rs4888984,1
rs7596121,1
rs4803750,1
rs56181447,1
rs37508611,1
rs3886721,1
rs1044250,1
rs7804122,1
rs993609,1
rs119484087,1
rs51221903,1
rs10929303,1
rs147428170,1
rs10184453,1
rs341188377,1
rs1886176,1
rs1771445,1
rs9881097,1
rs8041340,1
rs10518112,1
rs1891730,1
rs893909,1
rs4986391,1
rs12071300,1
rs10423674,1
rs7168431,1
rs10277237,1
rs4513478,1
rs7785479,1
rs29013966,1
rs749407,1
rs1922295,1
rs381390819,1
rs109480808,1
rs2123999,1
rs7676376,1
rs1063538,1
rs1016618,1
rs7628504,1
rs148807246,1
rs342735,1
rs108864771,1
rs138786388,1
rs2113103,1
rs5956,1
rs1869849,1
rs10911949,1
rs2275819,1
rs11134697,1
rs141434094,1
rs9934181,1
rs1402861,1
rs660647,1
rs697260,1
rs5351,1
rs34115976,1
rs2839693,1
rs5744258,1
rs197632365,1
rs12190287,1
rs12205331,1
rs3732930,1
rs1271572,1
rs42118878,1
rs1088680,1
rs3744026,1
rs12720444,1
rs60081206,1
rs652311,1
rs6413432,1
rs461259,1
rs951442,1
rs146888429,1
rs137912651,1
rs2060700,1
rs32975437,1
rs222704054,1
rs110848072,1
rs368443,1
rs10920501,1
rs1883931,1
rs347240,1
rs10784774,1
rs1748020,1
rs117918077,1
rs145036913,1
rs150695384,1
rs12881616,1
rs3858517,1
rs140936762,1
rs874628,1
rs16929092,1
rs4941304,1
rs8181047,1
rs784133,1
rs1012356,1
rs2194026,1
rs4447076,1
rs10804661,1
rs10922855,1
rs11775287,1
rs7310043,1
rs12681998,1
rs17563986,1
rs2251471,1
rs17882950,1
rs8086028,1
rs1336708,1
rs17484721,1
rs6313,1
rs121918442,1
rs1479024,1
rs1888202,1
rs13110230,1
rs2132397,1
rs7107675,1
rs574007,1
rs4970767,1
rs2853697,1
rs12448290,1
rs5765930,1
rs4753359,1
rs11264743,1
rs2018955,1
rs1800610,1
rs8078340,1
rs7960,1
rs200459003,1
rs1237682,1
rs143069395,1
rs13139636,1
rs2071303,1
rs703,1
rs4947,1
rs2120979,1
rs41757680,1
rs956122,1
rs1649053,1
rs11591741,1
rs2252586,1
rs9344734,1
rs6118262,1
rs2207958,1
rs693,1
rs80027466,1
rs41600017,1
rs1348161,1
rs7255374,1
rs4986893,1
rs8007237,1
rs6477523,1
rs34409589,1
rs1875,1
rs231904,1
rs11085825,1
rs1198061,1
rs780873,1
rs6809002,1
rs4385377,1
rs9584099,1
rs8112310,1
rs3024633,1
rs10910948,1
rs1106419,1
rs5030472,1
rs3811402,1
rs28360521,1
rs200908085,1
rs2047009,1
rs6647,1
rs133080973,1
rs981129,1
rs41654473,1
rs7459039,1
rs6662176,1
rs11683248,1
rs4973898,1
rs10493900,1
rs6743085,1
rs22705565,1
rs2685263,1
rs73778207,1
rs11841074,1
rs16873423,1
rs9922957,1
rs42542723,1
rs110962722,1
rs2433354,1
rs7341475,1
rs10509677,1
rs7321384,1
rs10423648,1
rs551238,1
