matchedPattern,context,lineNumber,columnNumber,publicationName
K2V617,...tion shows efficacy against JAK2V617F-driven neoplasms . Leu...,897,37,ACS_Chem_Biol_2014_May_16_9(5)_1160-1171.txt
K2V617,"...pectively. Furthermore, the JAK2V617F-harboring cell line, S...",7,545,Acta_Pharmacol_Sin_2012_Feb_9_33(2)_212-213.txt
K2V617,.... The mutational status for JAK2V617F was determined retrosp...,22,651,Adv_Hematol_2009_Nov_25_2009_179847.txt
K2V617,...eration have been observed. JAK2V617F mutation was negative ...,29,1828,Adv_Hematol_2009_Nov_25_2009_179847.txt
K2V617,...t respond to chemotherapy.  JAK2V617F was negative in the te...,38,1069,Adv_Hematol_2009_Nov_25_2009_179847.txt
K2V617,... in the ten cases analyzed. JAK2V617F is found in 50 percent...,38,1119,Adv_Hematol_2009_Nov_25_2009_179847.txt
K2V617,...id cells and is a target of JAK2V617F-STAT5 signaling Blood ...,71,121,Adv_Hematol_2010_May_19_2010_938640.txt
K2V617,...erative disorder-associated JAK2V617F and MPLW515L/K mutatio...,72,154,Adv_Hematol_2010_May_19_2010_938640.txt
K2V617,...oproliferative disease [92]	JAK2V617F	?	Ye,101,35,Adv_Hematol_2012_Dec_14_2012_380635.txt
K2V617,...ondary erythrocytosis [13]. JAK2V617F was also found in othe...,12,1547,Adv_Hematol_2012_Feb_16_2012_535709.txt
K2V617,... BCR-ABL negative MPN [14]. JAK2V617F occurs in the pseudoki...,12,1608,Adv_Hematol_2012_Feb_16_2012_535709.txt
K2V617,"...uence, cells expressing the JAK2V617F mutation are hypersens...",12,2009,Adv_Hematol_2012_Feb_16_2012_535709.txt
K2V617,...h “classical” MPN carry the JAK2V617F mutation. This mutatio...,14,52,Adv_Hematol_2012_Feb_16_2012_535709.txt
K2V617,...mary PMF and ET who carried JAK2V617F mutation had decreases...,16,193,Adv_Hematol_2012_Feb_16_2012_535709.txt
K2V617,...n patients with and without JAK2V617F mutations. JAK2 inhibi...,25,158,Adv_Hematol_2012_Feb_16_2012_535709.txt
K2V617,...omain of JAK2 [27]. Because JAK2V617F mutation is localized ...,25,403,Adv_Hematol_2012_Feb_16_2012_535709.txt
K2V617,...endently of the presence of JAK2V617F mutation [29],30,328,Adv_Hematol_2012_Feb_16_2012_535709.txt
K2V617,"In animal models of JAK2V617F mutation MPN, oral INC...",32,23,Adv_Hematol_2012_Feb_16_2012_535709.txt
K2V617,"...kines, although the load of JAK2V617F was marginally reduced...",34,282,Adv_Hematol_2012_Feb_16_2012_535709.txt
K2V617,"... patients with MPN and with JAK2V617F, MPLW515K, JAK2 exon 1...",37,166,Adv_Hematol_2012_Feb_16_2012_535709.txt
