matchedPattern,context,lineNumber,columnNumber,publicationName
c.1091-2A>G,".... Compound heterozygous c.802-8_810del17insGC and c.1091-2A>G mutations of the CYP4V2 gene, known as...",5,1451,PLoS_One_2012_May_31_7(5)_e33673.txt
c.1091-2A>G,"Mutation(s)	c.802-8_810del17insGC	c.1091-2A>G	c.802-8_810del17insGC, c.1091-2A>G	c.8...",76,35,PLoS_One_2012_May_31_7(5)_e33673.txt
c.1091-2A>G,"..._810del17insGC	c.1091-2A>G	c.802-8_810del17insGC, c.1091-2A>G	c.802-8_810del17insGC, c.1091-2A>G	c.8...",76,70,PLoS_One_2012_May_31_7(5)_e33673.txt
c.1091-2A>G,"...810del17insGC, c.1091-2A>G	c.802-8_810del17insGC, c.1091-2A>G	c.802-8_810del17insGC, c.1091-2A>G	c.8...",76,105,PLoS_One_2012_May_31_7(5)_e33673.txt
c.1091-2A>G,"...810del17insGC, c.1091-2A>G	c.802-8_810del17insGC, c.1091-2A>G	c.802-8_810del17insGC, c.1091-2A>G	c.8...",76,140,PLoS_One_2012_May_31_7(5)_e33673.txt
c.1091-2A>G,"...810del17insGC, c.1091-2A>G	c.802-8_810del17insGC, c.1091-2A>G	c.802-8_810del17insGC	c.1091-2A>G	c.80...",76,175,PLoS_One_2012_May_31_7(5)_e33673.txt
c.1091-2A>G,"..._810del17insGC, c.1091-2A>G	c.802-8_810del17insGC	c.1091-2A>G	c.802-8_810del17insGC	–	–	c.802-8_810d...",76,209,PLoS_One_2012_May_31_7(5)_e33673.txt
c.1091-2A>G,...insGC	c.802-8_810del17insGC	c.802-8_810del17insGC	c.1091-2A>G,76,313,PLoS_One_2012_May_31_7(5)_e33673.txt
c.1091-2A>G,"...erozygous variants (Table 4). Heterozygous CYP4V2 c.1091-2A>G was one of the 26 variants, and was kn...",83,900,PLoS_One_2012_May_31_7(5)_e33673.txt
c.1091-2A>G,...ase-associationMutation	–	–	c.802-8_810del17insGC	c.1091-2A>G,90,55,PLoS_One_2012_May_31_7(5)_e33673.txt
c.1091-2A>G,"...or these two mutations, c.802-8_810del17insGC and c.1091-2A>G. Only patients were found to carry bot...",93,137,PLoS_One_2012_May_31_7(5)_e33673.txt
c.1091-2A>G,...d compound heterozygous c.802-8_810del17insGC and c.1091-2A>G mutations of the CYP4V2 gene. c.802-8_...,96,84,PLoS_One_2012_May_31_7(5)_e33673.txt
c.1091-2A>G,"...02-8_810del17insGC was carried by the mother II2. c.1091-2A>G mutation was carried by II3, the broth...",96,179,PLoS_One_2012_May_31_7(5)_e33673.txt
c.1091-2A>G,... Initial analysis of exome sequencing showed that c.1091-2A>G in CYP4V2 was first carried by the 3 p...,109,205,PLoS_One_2012_May_31_7(5)_e33673.txt
c.1091-2A>G,"...tified, since only the four patients carried both c.1091-2A>G and c.802-8_810del17insGC in CYP4V2",109,975,PLoS_One_2012_May_31_7(5)_e33673.txt
c.1091-2A>G,"Among the mutations identified in this pedigree, c.1091-2A>G of CYP4V2 was predicted to disrupt the...",111,50,PLoS_One_2012_May_31_7(5)_e33673.txt
