matchedPattern,context,lineNumber,columnNumber,publicationName
PS00086,"...450, conserved site (IPR017972) which consists of PS00086, and one type has no unintegrated signatur...",52,1078,Acta_Pharm_Sin_B_2016_Nov_19_6(6)_614-622.txt
PS00086,"...ersed domains (SSF48264, PF00067, G3DSA, PR00463, PS00086, PTHR24286, PTHR24286 (SF74, SUB) and TMhe...",96,313,Acta_Pharm_Sin_B_2016_Nov_19_6(6)_614-622.txt
PS00341,PS00341	IPCCPV	9	702	77.8	9	21	65	166	13	217,179,1,Algorithms_Mol_Biol_2007_Dec_24_2_16.txt
PS00415,PS00415	LRRRLSDS	12	3582	91.6	9	503	1058	2103	11	1...,180,1,Algorithms_Mol_Biol_2007_Dec_24_2_16.txt
PS00047,PS00047	GAKRH	105	653	93.3	21	61	109	216	27	460,181,1,Algorithms_Mol_Biol_2007_Dec_24_2_16.txt
PS00984,PS00984	CFWKYC	19	1256	100	1	1	1	785	1	5,182,1,Algorithms_Mol_Biol_2007_Dec_24_2_16.txt
PS00541,PS00541	SKRKYRK	6	144	100	1	85	110	131	3	134,183,1,Algorithms_Mol_Biol_2007_Dec_24_2_16.txt
PS00822,PS00822	PFDRHDW	9	2251	100	1	1	5	204	1	400,184,1,Algorithms_Mol_Biol_2007_Dec_24_2_16.txt
PS00419,PS00419	CDGPGRGGTC	207	32936	100	1	1	1	3	1	158,185,1,Algorithms_Mol_Biol_2007_Dec_24_2_16.txt
PS00349,PS00349	RKRKYFKKHEKR	18	2929	100	1	38	86	2884	19	3...,186,1,Algorithms_Mol_Biol_2007_Dec_24_2_16.txt
PS00861,PS00861	GWTLNSAGYLLGP	32	888	100	1	66	301	179	1	56...,187,1,Algorithms_Mol_Biol_2007_Dec_24_2_16.txt
PS01024,PS01024	EFDYLKSLEIEEKIN	60	5527	100	1	620	2427	526...,188,1,Algorithms_Mol_Biol_2007_Dec_24_2_16.txt
PS00291,PS00291	AGAAAAGAVVGGLGGY	136	2423	100	1	1033	1770	...,189,1,Algorithms_Mol_Biol_2007_Dec_24_2_16.txt
PS00084,PS00084	HHM..F.C	206	13	10	1	4	54	3	3,232,1,Algorithms_Mol_Biol_2007_Dec_24_2_16.txt
PS00927,PS00927	PGGRF.E.Y.WD.Y	60	32	32	5	2	1	2	2,233,1,Algorithms_Mol_Biol_2007_Dec_24_2_16.txt
PS01142,PS01142	GTLW.G...........L....W	419	5	4	1	3	198	3	...,234,1,Algorithms_Mol_Biol_2007_Dec_24_2_16.txt
PS00780,PS00780	NHT.C.C.TC..HK	30	57	54	8	7	3	9	9,235,1,Algorithms_Mol_Biol_2007_Dec_24_2_16.txt
PS00799,PS00799	C.D..HCCP....C	285	6	5	1	53	91	50	50,236,1,Algorithms_Mol_Biol_2007_Dec_24_2_16.txt
PS00987,PS00987	GKCNN..GHGHNY	106	13	6	1	4	94	3	3,237,1,Algorithms_Mol_Biol_2007_Dec_24_2_16.txt
PS00458,PS00458	P...LGP.C.Y.AA.V.R...HW..P.L.AGA.A.G...K	5...,238,1,Algorithms_Mol_Biol_2007_Dec_24_2_16.txt
PS00506,PS00506	H.CGGNVGD	41	16	15	14	2	27	2	2,239,1,Algorithms_Mol_Biol_2007_Dec_24_2_16.txt
PS00034,...lexible gap motifs from the Prosite dataset entry PS00034 (55 sequences). The characteristics of the...,247,96,Algorithms_Mol_Biol_2007_Dec_24_2_16.txt
PS00799,"...s reasonable results. Note that for Prosite entry PS00799, the three measures IG, LogOdd and Z-Score...",264,386,Algorithms_Mol_Biol_2007_Dec_24_2_16.txt
PS00034,...f 250 flexible gap motifs from the Prosite family PS00034. The plot in Figure 2 (a) shows clearly th...,278,162,Algorithms_Mol_Biol_2007_Dec_24_2_16.txt
PS00034,...lexible gap motifs from the Prosite dataset entry PS00034 (55 sequences). The characteristics of the...,280,151,Algorithms_Mol_Biol_2007_Dec_24_2_16.txt
PS00978,"...ficance measures for four Prosite family entries: PS00978, PS001172, PS00076 and PS00021. For each f...",348,147,Algorithms_Mol_Biol_2007_Dec_24_2_16.txt
PS00117,"...easures for four Prosite family entries: PS00978, PS001172, PS00076 and PS00021. For each family dat...",348,156,Algorithms_Mol_Biol_2007_Dec_24_2_16.txt
PS00076,"...r four Prosite family entries: PS00978, PS001172, PS00076 and PS00021. For each family dataset, rigi...",348,166,Algorithms_Mol_Biol_2007_Dec_24_2_16.txt
PS00021,"...te family entries: PS00978, PS001172, PS00076 and PS00021. For each family dataset, rigid gap motifs...",348,178,Algorithms_Mol_Biol_2007_Dec_24_2_16.txt
PS00541,"...ion of the scoring for two datasets from prosite, PS00541 and PS01024 (see Table 3), with respective...",399,254,Algorithms_Mol_Biol_2007_Dec_24_2_16.txt
PS01024,"...coring for two datasets from prosite, PS00541 and PS01024 (see Table 3), with respectively 144 and 5...",399,266,Algorithms_Mol_Biol_2007_Dec_24_2_16.txt
PS00056,"...ed to evaluate rigid gap motifs, one from prosite PS00056 (see Table 6) with 41 motifs and the other...",399,429,Algorithms_Mol_Biol_2007_Dec_24_2_16.txt
PS00541,"...sional visualization of motifs from the datasets: PS00541, PS01024, PS00056 and DILIMOT \"Q.RLQ..Q\". ...",401,121,Algorithms_Mol_Biol_2007_Dec_24_2_16.txt
PS01024,"...sualization of motifs from the datasets: PS00541, PS01024, PS00056 and DILIMOT \"Q.RLQ..Q\". The first...",401,130,Algorithms_Mol_Biol_2007_Dec_24_2_16.txt
PS00056,"...on of motifs from the datasets: PS00541, PS01024, PS00056 and DILIMOT \"Q.RLQ..Q\". The first two data...",401,139,Algorithms_Mol_Biol_2007_Dec_24_2_16.txt
PS00506,"...g of the target motif is not very high, as in the PS00506 and the DILIMOT datasets, the target motif...",403,388,Algorithms_Mol_Biol_2007_Dec_24_2_16.txt
PS00541,"...ntified. When they appear highly conserved, as in PS00541 and PS01024, their identification is strai...",403,507,Algorithms_Mol_Biol_2007_Dec_24_2_16.txt
PS01024,"...n they appear highly conserved, as in PS00541 and PS01024, their identification is straightforward",403,519,Algorithms_Mol_Biol_2007_Dec_24_2_16.txt
PS01095,"...][D/N][L/IV/M/F][D/N]xE, PROSITE accession number PS01095), YD (position 231–232, consensus Y[D/N]) ...",143,263,Appl_Microbiol_Biotechnol_2015_Jun_4_99(19)_8199-8215.txt
PS00889,...are aligned in PROSITE (http://prosite.expasy.org/PS00889). Note that the two consensus sequences do...,17,1671,Biochem_Soc_Trans_2014_Apr_1_42(Pt_2)_295-301.txt
PDOC00211,...inal binding sites [21-24] (PROSITE documentation PDOC00211) and thus are a significant figurehead f...,61,2478,BioData_Min_2013_Dec_2_6_21.txt
PDOC00559,...inal binding sites [21-24] (PROSITE documentation PDOC00559) in Pfam family with Pfam-Id: PF00002 (F...,61,2682,BioData_Min_2013_Dec_2_6_21.txt
PS00008,PS00008	N-myristoylation site	13,138,1,Bioinformation_2006_Dec_6_1(8)_281-284.txt
PS00001,PS00001	N-glycosylation site	4,139,1,Bioinformation_2006_Dec_6_1(8)_281-284.txt
PS00007,PS00007	Tyrosine kinase phosphorylation site	1,140,1,Bioinformation_2006_Dec_6_1(8)_281-284.txt
PS00004,PS00004	cAMP- and cGMP-dependent protein kinase ph...,141,1,Bioinformation_2006_Dec_6_1(8)_281-284.txt
PS00006,PS00006	Casein kinase II phosphorylation site	6,142,1,Bioinformation_2006_Dec_6_1(8)_281-284.txt
PS00122,PS00122	Carboxylesterases type-B serine active sit...,143,1,Bioinformation_2006_Dec_6_1(8)_281-284.txt
PS00941,PS00941	Carboxylesterases type-B signature 2	1,144,1,Bioinformation_2006_Dec_6_1(8)_281-284.txt
PS00012,"... of Fas-2, which holds the binding site (prosite: PS00012 Phosphopantetheine attachment site). This ...",95,152,Bioinformation_2008_Sep_20_3(1)_33-40.txt
PS00606,"...rganisms is the prosite detected for KS (prosite: PS00606, Beta-ketoacyl synthase active site). This...",118,52,Bioinformation_2008_Sep_20_3(1)_33-40.txt
PS00436,in both monocot and dicot plants first motif PS00436 and,168,46,Bioinformation_2014_Feb_19_10(2)_87-93.txt
PS00435,PS00435. PS00436 occur at starting sequence like 5...,169,1,Bioinformation_2014_Feb_19_10(2)_87-93.txt
PS00436,PS00435. PS00436 occur at starting sequence like 57-67 and,169,10,Bioinformation_2014_Feb_19_10(2)_87-93.txt
PS00435,PS00435 is found at middle sequence like 177 – 187...,170,1,Bioinformation_2014_Feb_19_10(2)_87-93.txt
PS50099,...th this domain and a proline-rich region profile (PS50099). Only the MIPS database names At3g33790 a...,21,818,Bioinform_Biol_Insights_2009_Feb_18_3_15-28.txt
PS50315,...ine-rich protein” although the score obtained for PS50315 (glycine-rich region) is very low (Table 2...,23,290,Bioinform_Biol_Insights_2009_Feb_18_3_15-28.txt
PS50099,...although the only identified structural domain is PS50099 (proline-rich region). A “BLAST 2 sequence...,23,623,Bioinform_Biol_Insights_2009_Feb_18_3_15-28.txt
PS50099,"...leucine-rich repeat, N-terminal; PF08263: LRR_NT; PS50099: PRO_RICH proline-rich region profile; IPR...",112,231,Bioinform_Biol_Insights_2009_Feb_18_3_15-28.txt
PS50099,IPR001611 PF00560	IPR013210 PF08263	PS50099	IPR003882 PR01218	IPR003883 PF02095	PR0121...,115,37,Bioinform_Biol_Insights_2009_Feb_18_3_15-28.txt
PS50110,... in the protein (well conserved PROSITE signature PS50110) and is target of rapamycin (TOR). TOR its...,47,615,Bioinform_Biol_Insights_2012_May_3_6_97-128.txt
PS00076,...) as containing a pyridine_redox_1 motif (ProSite PS00076). The word therefore may be taken to have ...,113,389,Bioinform_Biol_Insights_2009_Nov_24_1_101-126.txt
PS00572,...which is consistent with the consensus pattern of PS00572. The results indicated that the protein (T...,25,878,Biotechnol_Biofuels_2012_Jul_11_5_31.txt
PS00010,...thdrawn ENSEMBL predictions and the Prosite motif PS000107 were removed. Additionally the A6/twinfil...,75,660,BMC_Bioinformatics_2006_Feb_20_7_82.txt
PS00015,... the prosite bipartite nuclear localization motif PS00015 and predictNLS [28-33]. Additionally we pr...,100,1207,BMC_Bioinformatics_2006_Feb_20_7_82.txt
PS00103,...nyway functionally related to it. Two of them are PS00103 and PS00120,137,311,BMC_Bioinformatics_2007_Mar_1_8_68.txt
PS00120,...onally related to it. Two of them are PS00103 and PS00120,137,323,BMC_Bioinformatics_2007_Mar_1_8_68.txt
PS00103,The majority of PS00103 true positives are ribose-phosphate pyroph...,139,17,BMC_Bioinformatics_2007_Mar_1_8_68.txt
PS00103,...ch contain the Pribosyltran Pfam [15] domain. The PS00103 motif is well conserved in this domain. Ne...,139,134,BMC_Bioinformatics_2007_Mar_1_8_68.txt
PS00120,PS00120 is the PROSITE motif built around the seri...,141,1,BMC_Bioinformatics_2007_Mar_1_8_68.txt
PS00675,...r interesting example of mis-annotated pattern is PS00675 which is an atypical ATP-binding motif A (...,143,57,BMC_Bioinformatics_2007_Mar_1_8_68.txt
PS00675,"...b-like ypt1 family of GTP-binding proteins. Thus, PS00675 might be either an ancestral motif origina...",143,416,BMC_Bioinformatics_2007_Mar_1_8_68.txt
PS00014,"... true outlier among many others is represented by PS00014, which is annotated in the ELM database (E...",145,184,BMC_Bioinformatics_2007_Mar_1_8_68.txt
PS00014,A further analysis was performed on the PS00014 false positive sequences annotated in the ...,147,41,BMC_Bioinformatics_2007_Mar_1_8_68.txt
PS00850,"...and 4 for yeast100). For example, the reversed of PS00850 is found almost solely in regulator of rib...",176,659,BMC_Bioinformatics_2007_Mar_1_8_68.txt
PS00469,... extracted from domain PF00334.10 matched against PS00469 (bottom) with a p-value of less than 10-31...,65,211,BMC_Bioinformatics_2010_Apr_26_11_205.txt
PS00213,... correspond to the conserved motif (PROSITE motif PS00213). The column-wise Sum-of-Pairs Score (SPS)...,31,1148,BMC_Bioinformatics_2011_May_21_12_184.txt
PS00213,"... family must contain the conserved motif (PROSITE PS00213 [33,34]) near the first beta-strand. In th...",43,359,BMC_Bioinformatics_2011_May_21_12_184.txt
PS00213,"...this example, the motif \"Lipocalin prosite motif (PS00213)\" is set for the \"root\" lineage, which cov...",65,252,BMC_Bioinformatics_2011_May_21_12_184.txt
PS00163,"...[^RS]K.N, a pattern found in the Fumarate_Lyases (PS00163) family of sequences. In the above mention...",170,99,BMC_Bioinformatics_2013_Mar_15_14_96.txt
PS00163,...llowing sample of amino acid distributions in the PS00163 family protein sequences: XXPENEPGSSIMPGKV...,170,618,BMC_Bioinformatics_2013_Mar_15_14_96.txt
PS00027,"...e, the “Homeobox domain signature” motif (PROSITE:PS00027) was found in 1290 nuclear proteins (Figur...",77,602,BMC_Bioinformatics_2013_Jul_18_14_229.txt
PDOC00027,"...hrough a helix-turn-helix type structure (PROSITE:PDOC00027). However, this motif was also found wit...",77,747,BMC_Bioinformatics_2013_Jul_18_14_229.txt
PS00847,"...r example, is the “MCM family signature” (PROSITE:PS00847) for minichromosome maintenance proteins i...",77,1217,BMC_Bioinformatics_2013_Jul_18_14_229.txt
PS00014,...smic reticulum targeting sequence” motif (PROSITE:PS00014) is a short C-terminal sequence (frequentl...,81,254,BMC_Bioinformatics_2013_Jul_18_14_229.txt
PS00028,...ed the PDB files listed as 3D cross-references in PS00028 file from Prosite’s Release 20.99 [28] for...,184,99,BMC_Bioinformatics_2015_Aug_14_16_256.txt
PDOC00028,...dditional sequence features. The Prosite database PDOC00028 alignment was used for the reference con...,129,155,BMC_Evol_Biol_2010_Feb_19_10_53.txt
PDOC00028,...afA ZF1-2 and ZF3-4 are indicated separately. The PDOC00028 C2H2 consensus is shown at the bottom as...,131,249,BMC_Evol_Biol_2010_Feb_19_10_53.txt
PDOC00028,"... appearance in ϕ1, ϕ2, and those of general C2H2 (PDOC00028) is shown. Valine, leucine, and isoleuci...",133,531,BMC_Evol_Biol_2010_Feb_19_10_53.txt
PDOC00028,"...those in a compilation of general C2H2 sequences (PDOC00028) (valine, 4.2%; leucine, 9.5%; isoleucin...",135,482,BMC_Evol_Biol_2010_Feb_19_10_53.txt
PDOC00028,"...on) than those of general C2H2 sequences (Prosite PDOC00028, 8.1 ± 5.0 aa) (P < 1 × 10-100, Mann-Whi...",137,173,BMC_Evol_Biol_2010_Feb_19_10_53.txt
PDOC00028,"...ce was found in about 65% of the sequences in the PDOC00028 alignment. Accordingly, conservation of ...",137,413,BMC_Evol_Biol_2010_Feb_19_10_53.txt
PDOC00028,...rst cysteine of the C-terminally flanking ZF. The PDOC00028 (general C2H2) alignment contained 12326...,139,349,BMC_Evol_Biol_2010_Feb_19_10_53.txt
PDOC00028,"...is, WebLogo http://weblogo.berkeley.edu/[77]. The PDOC00028 alignment in the Prosite database (12328...",262,708,BMC_Evol_Biol_2010_Feb_19_10_53.txt
PDOC00028,The PDOC00028 sequence alignment contains the gene nam...,264,5,BMC_Evol_Biol_2010_Feb_19_10_53.txt
PDOC00028,"...use the average length of general C2H2 sequences (PDOC00028) was 27.95 (n = 12328, standard deviatio...",264,367,BMC_Evol_Biol_2010_Feb_19_10_53.txt
PS00280,"... KUNITZ 2 motif [C1-C6, C2-C4 and C3-C5, Prosite: PS00280] indicates the 3 disulphide bonds which de...",39,558,BMC_Evol_Biol_2012_Jun_8_12_80.txt
PS00280,"...but those within curly brackets are not, Prosite: PS00280] was located within BPTI KUNITZ 2 (aa 51–6...",39,965,BMC_Evol_Biol_2012_Jun_8_12_80.txt
PS50279,"#PS50279 153 nt, 51 aa",82,2,BMC_Evol_Biol_2012_Jun_8_12_80.txt
PS00280,"~PS00280 57 nt, 19 aa",84,2,BMC_Evol_Biol_2012_Jun_8_12_80.txt
PS50279,"...the Kunitz domain motifs (BPTI KUNITZ 2, Prosite: PS50279 and BPTI KUNITZ 1, Prosite: PS00280) are i...",252,1138,BMC_Evol_Biol_2012_Jun_8_12_80.txt
PS00280,"...Z 2, Prosite: PS50279 and BPTI KUNITZ 1, Prosite: PS00280) are indicated by red and green lines, res...",252,1174,BMC_Evol_Biol_2012_Jun_8_12_80.txt
PS50960,"...lix-turn-helix, Psq domain (aa 1 – 51) [PF05225] [PS50960],",64,188,BMC_Evol_Biol_2008_Apr_12_8_110.txt
PS00017,"...GTP-binding site motif A (P-loop) (aa 394 – 401) [PS00017], Helicase domain (aa 381 – 720) [SM00490]...",68,183,BMC_Evol_Biol_2008_Apr_12_8_110.txt
PS51192,...licase domain (aa 381 – 720) [SM00490] [PF00271] [PS51192] [PS51194].,68,245,BMC_Evol_Biol_2008_Apr_12_8_110.txt
PS51194,...ain (aa 381 – 720) [SM00490] [PF00271] [PS51192] [PS51194].,68,255,BMC_Evol_Biol_2008_Apr_12_8_110.txt
PS50071,... latter 918 sequences were obtained from the file PS50071 available at PROSITE [10] after removing a...,55,830,BMC_Evol_Biol_2008_Jul_11_8_200.txt
PS50192,"...ARE), PF00957 (Synaptobrevin) and PROSITE domains PS50192 (SNARE), PS50892 (V-SNARE), PS50859 (longi...",84,308,BMC_Genomics_2006_Oct_6_7_250.txt
PS50892,"...naptobrevin) and PROSITE domains PS50192 (SNARE), PS50892 (V-SNARE), PS50859 (longin)",84,325,BMC_Genomics_2006_Oct_6_7_250.txt
PS50859,"...OSITE domains PS50192 (SNARE), PS50892 (V-SNARE), PS50859 (longin)",84,344,BMC_Genomics_2006_Oct_6_7_250.txt
PS00704,"...f A. ferrooxidans exhibits the Prosite signature (PS00704) of a beta-type, prokaryotic-type carbonic...",32,667,BMC_Genomics_2003_Dec_15_4_51.txt
PS00365,...ans. The putative CysI exhibits the prosite motif PS00365 [STV]-G-C-x(3)-C-x(6)-[DE]-[LIVMF]-[GAT]-L...,50,426,BMC_Genomics_2003_Dec_15_4_51.txt
PS00365,"...s are shown in red. The sequence of prosite motif PS00365, [STV]-G-C-x(3)-C-x(6)-[DE]-[LIVMF]-[GAT]-...",52,732,BMC_Genomics_2003_Dec_15_4_51.txt
PDOC00547,... A. ferrooxidans exhibits the two prosite motifs (PDOC00547) characteristic of the enzyme as shown i...,87,72,BMC_Genomics_2003_Dec_15_4_51.txt
PS50893,...edicted protein sequences and the prosite profile PS50893. NBDs were then subjected to a phylogeneti...,229,1520,BMC_Genomics_2009_Apr_21_10_170.txt
PS50143,"...equence (http://www.expasy.org/cgi-bin/nicedoc.pl?PS50143), and are 4236 aa and 136 aa long, respect...",125,1141,BMC_Genomics_2010_Oct_31_11_611.txt
PS00100,"...sporters, receptors, etc. For example, descriptor PS00100, which represents the sequence pattern com...",24,586,BMC_Genomics_2012_Apr_27_13_157.txt
PS51007,"...nizable c-type cytochrome PROSITE profiles (i.e., PS51007, PS51008, PS51009, and PS51010) were elimi...",34,1049,BMC_Genomics_2012_May_22_13_200.txt
PS51008,"...-type cytochrome PROSITE profiles (i.e., PS51007, PS51008, PS51009, and PS51010) were eliminated fro...",34,1058,BMC_Genomics_2012_May_22_13_200.txt
PS51009,"...ochrome PROSITE profiles (i.e., PS51007, PS51008, PS51009, and PS51010) were eliminated from further...",34,1067,BMC_Genomics_2012_May_22_13_200.txt
PS51010,"...TE profiles (i.e., PS51007, PS51008, PS51009, and PS51010) were eliminated from further analysis. Tr...",34,1080,BMC_Genomics_2012_May_22_13_200.txt
PS00597,"...e. 86 cases) of them shared in common the pattern PS00597, that is",109,253,BMC_Genomics_2012_Jan_17_13(Suppl_1)_S9.txt
PS50076,"...e, our results showed that the J-domain (PF00226, PS50076) of DnaJ/Hsp40 was the binding site for Dn...",208,554,BMC_Genomics_2014_May_7_15(1)_344.txt
PS00017,...00071) and ATP/GTP-binding site motif A (P-loop) (PS00017) of the small GTPase Ran were potential in...,219,367,BMC_Genomics_2014_May_7_15(1)_344.txt
