matchedPattern,context,lineNumber,columnNumber,publicationName
-271 G>A,...943550810.1186/1471-2407-9-144Research ArticleThe -271 G>A polymorphism of kinase insert domain-cont...,3,111,BMC_Cancer_2009_May_12_9_144.txt
-271 G>A,...erapy. We investigated the characteristics of the -271 G>A polymorphism of the KDR gene to gain info...,4,194,BMC_Cancer_2009_May_12_9_144.txt
-271 G>A,The -271 G>A polymorphism of the KDR gene in 106 lung ...,7,5,BMC_Cancer_2009_May_12_9_144.txt
-271 G>A,The -271 G>A polymorphism was associated with the mRNA...,10,5,BMC_Cancer_2009_May_12_9_144.txt
-271 G>A,This study is the first to show that the -271 G>A polymorphism of the KDR gene may be a fun...,13,42,BMC_Cancer_2009_May_12_9_144.txt
-271 G>A,The sequences of the -271 G>A polymorphism of the KDR gene were assayed...,31,22,BMC_Cancer_2009_May_12_9_144.txt
-271 G>A,Frequency of the -271 G>A polymorphism genotypes and their relation...,45,18,BMC_Cancer_2009_May_12_9_144.txt
-271 G>A,"...lymorphisms in the investigated region except the -271 G>A polymorphism in the 5' UTR. Consequently,...",46,334,BMC_Cancer_2009_May_12_9_144.txt
-271 G>A,"...sm in the 5' UTR. Consequently, we focused on the -271 G>A polymorphism in all of the specimens and ...",46,403,BMC_Cancer_2009_May_12_9_144.txt
-271 G>A,...frequency of its genotypes (Fig. 1). A search for -271 G>A polymorphisms in the single nucleotide po...,46,516,BMC_Cancer_2009_May_12_9_144.txt
-271 G>A,Figure 1 Sequence graphs of the -271 G>A polymorphism of the KDR gene (sequenced u...,48,33,BMC_Cancer_2009_May_12_9_144.txt
-271 G>A,"...requencies of the AA, AG, and GG genotypes of the -271 G>A polymorphism in the NSCLC patients were 2...",50,56,BMC_Cancer_2009_May_12_9_144.txt
-271 G>A,"...8, the frequencies of the AA (TT) genotype of the -271 G>A polymorphism in European, Asian, and Sub-...",50,310,BMC_Cancer_2009_May_12_9_144.txt
-271 G>A,The correlations between the -271 G>A polymorphism genotype and the patients' c...,54,30,BMC_Cancer_2009_May_12_9_144.txt
-271 G>A,Table 1 Correlations between the genotypes of the -271 G>A polymorphism and clinical parameters of p...,56,51,BMC_Cancer_2009_May_12_9_144.txt
-271 G>A,The -271 G>A polymorphism affects the transcriptional ...,79,5,BMC_Cancer_2009_May_12_9_144.txt
-271 G>A,"... between the KDR mRNA level and each of the three -271 G>A polymorphism genotypes, with mean values ...",80,238,BMC_Cancer_2009_May_12_9_144.txt
-271 G>A,Table 2 Influence of genotypes of the -271 G>A polymorphism on KDR mRNA expression leve,82,39,BMC_Cancer_2009_May_12_9_144.txt
-271 G>A,The -271 G>A polymorphism was not related to the KDR p...,91,5,BMC_Cancer_2009_May_12_9_144.txt
-271 G>A,... expression. There was no correlation between the -271 G>A genotype and KDR protein level (Table 3),92,187,BMC_Cancer_2009_May_12_9_144.txt
