matchedPattern,context,lineNumber,columnNumber,publicationName
EOG45TDC4,... content of orthologues of human Hes7 (OrthoDB ID EOG45TDC4). The tarsier orthologue was omitted. Th...,24,99,BMC_Bioinformatics_2011_Oct_5_12(Suppl_9)_S16.txt
EOG7W4CH6,1	EOG7W4CH6	Transcription factor 2S	Le-Gascuel (LG) ...,44,3,BMC_Evol_Biol_2015_Mar_25_15_52.txt
EOG7JQQ2Q,EOG7JQQ2Q	Uncharacterized protein,45,1,BMC_Evol_Biol_2015_Mar_25_15_52.txt
EOG72S0DN,EOG72S0DN	GRIM-19,46,1,BMC_Evol_Biol_2015_Mar_25_15_52.txt
EOG7B94KB,2	EOG7B94KB	Mago-Nashi	Jones-Taylor-Thornton (JTT) [...,47,3,BMC_Evol_Biol_2015_Mar_25_15_52.txt
EOG7P0F0G,EOG7P0F0G	Translation Initiation Factor 5A,48,1,BMC_Evol_Biol_2015_Mar_25_15_52.txt
EOG771DPV,3	EOG771DPV	Ribosomal Protein L30	LG,49,3,BMC_Evol_Biol_2015_Mar_25_15_52.txt
EOG73C6VD,EOG73C6VD	60S Ribosomal Protein L31,50,1,BMC_Evol_Biol_2015_Mar_25_15_52.txt
EOG74FSG2,EOG74FSG2	Ubiquitin-conjugating enzyme,51,1,BMC_Evol_Biol_2015_Mar_25_15_52.txt
EOG73JZB1,EOG73JZB1	Ribosomal Protein S16,52,1,BMC_Evol_Biol_2015_Mar_25_15_52.txt
EOG7W1HKQ,4	EOG7W1HKQ	Ribosomal Protein S26	Müller-Vingron (VT...,53,3,BMC_Evol_Biol_2015_Mar_25_15_52.txt
EOG7VTRRV,5	EOG7VTRRV	tRNA Synthetase	LG,54,3,BMC_Evol_Biol_2015_Mar_25_15_52.txt
EOG7ND679,"EOG7ND679	Exonuclease, RNAse T/DNA Polymerase III",55,1,BMC_Evol_Biol_2015_Mar_25_15_52.txt
EOG74RCV4,6	EOG74RCV4	Cleft lip and palate Transmembrane I	LG,56,3,BMC_Evol_Biol_2015_Mar_25_15_52.txt
EOG7748KP,EOG7748KP	Succinyl-CoA: 3-Ketoacid-coenzyme A tran...,57,1,BMC_Evol_Biol_2015_Mar_25_15_52.txt
EOG7Z9HRH,EOG7Z9HRH	Uncharacterized protein,58,1,BMC_Evol_Biol_2015_Mar_25_15_52.txt
EOG73ZDZ5,7	EOG73ZDZ5	Gtr1/Rag AG protein	JTT,59,3,BMC_Evol_Biol_2015_Mar_25_15_52.txt
EOG7SFW14,EOG7SFW14	Uncharacterized protein,60,1,BMC_Evol_Biol_2015_Mar_25_15_52.txt
EOG7455DF,8	EOG7455DF	Chloride Channel	LG,61,3,BMC_Evol_Biol_2015_Mar_25_15_52.txt
EOG7P38WC,9	EOG7P38WC	Tetratricopeptide repeat	VT,62,3,BMC_Evol_Biol_2015_Mar_25_15_52.txt
EOG799DV6,10	EOG799DV6	Pyridoxal-phosphate-dependent Transferas...,63,4,BMC_Evol_Biol_2015_Mar_25_15_52.txt
EOG95TCTG,... have 4.5 on average (according to OrthoDB; group EOG95TCTG) [57]. The transcripts of nine of the G1...,102,1720,BMC_Genomics_2011_Jan_28_12_82.txt
EOG5VHHNX,"...is distantly related to AGAP012527 (OrthoDB Group EOG5VHHNX), which belongs to a large family of gen...",133,538,BMC_Genomics_2013_Apr_23_14_273.txt
EOG531ZCW,"...05990 and other arthropod SURs (see OrthoDb group EOG531ZCW, [87]). However, the presence of a TMD0 ...",214,264,BMC_Genomics_2013_May_10_14_317.txt
EOG7,ProtTest Model	FBgn-	Ortho DB EOG7-,237,32,BMC_Genomics_2015_Oct_6_16_754.txt
EOG7,...ster Clk and cyc are represented in two different EOG7 orthologous groups. Local BLASTS of the A. ae...,453,83,BMC_Genomics_2015_Oct_6_16_754.txt
EOG7,...ster Clk and cyc are represented in two different EOG7 orthologous groups. Local BLASTS of the A. ae...,455,94,BMC_Genomics_2015_Oct_6_16_754.txt
EOG7,A. aegypti AAEL-	E-value	Clock gene	FBgn	Ortho DB EOG7-	Nucleotides,460,51,BMC_Genomics_2015_Oct_6_16_754.txt
EOG79SRM2,"...om the cry1, cry2, and phr6-4 orthologous groups, EOG79SRM2 and EOG7P64PH. Local BLASTS of the A. ae...",497,163,BMC_Genomics_2015_Oct_6_16_754.txt
EOG7P64PH,"...ry2, and phr6-4 orthologous groups, EOG79SRM2 and EOG7P64PH. Local BLASTS of the A. aegypti sequence...",497,177,BMC_Genomics_2015_Oct_6_16_754.txt
EOG72CGPS,"...The OrthoDB group for D. melanogaster doubletime (EOG72CGPS) contained two gene families, doubletime...",499,64,BMC_Genomics_2015_Oct_6_16_754.txt
EOG7S57VZ,"...roup for the D. melanogaster ortholog of PP2A-B’ (EOG7S57VZ) contained two gene families, PP2A-B’ an...",501,81,BMC_Genomics_2015_Oct_6_16_754.txt
EOG7BD0RV,EOG7BD0RV	NM_001260380	XM_963022,67,2,BMC_Genomics_2016_Mar_22_17_250.txt
EOG7C0766,EOG7C0766	NM_001169202	XM_969788,76,2,BMC_Genomics_2016_Mar_22_17_250.txt
EOG78WZ6X,EOG78WZ6X	NM_078490	XM_963178,85,2,BMC_Genomics_2016_Mar_22_17_250.txt
EOG74JNNN,EOG74JNNN	NM_078564	XM_969329,94,2,BMC_Genomics_2016_Mar_22_17_250.txt
EOG7S84VN,EOG7S84VN	NM_079673	NM_001164218,103,2,BMC_Genomics_2016_Mar_22_17_250.txt
EOG7DRWGS,EOG7DRWGS	NM_080161	XM_001807225,112,2,BMC_Genomics_2016_Mar_22_17_250.txt
EOG7BGW18,EOG7BGW18	NM_001273411	XM_968179,121,2,BMC_Genomics_2016_Mar_22_17_250.txt
EOG7KT8QP,EOG7KT8QP	NM_166010	XM_969964,130,2,BMC_Genomics_2016_Mar_22_17_250.txt
EOG7X6ZFD,EOG7X6ZFD	NM_057575	XM_962601,139,2,BMC_Genomics_2016_Mar_22_17_250.txt
EOG7Z3SMD,EOG7Z3SMD	NM_057416	XM_963457,148,2,BMC_Genomics_2016_Mar_22_17_250.txt
EOG7162KM,EOG7162KM	NM_136833	XM_008200746,157,2,BMC_Genomics_2016_Mar_22_17_250.txt
EOG72ZQVX,EOG72ZQVX	NM_001031891	NM_001145943	4016,166,2,BMC_Genomics_2016_Mar_22_17_250.txt
EOG7QCMBK,EOG7QCMBK	NM_079152	XM_964922,173,2,BMC_Genomics_2016_Mar_22_17_250.txt
EOG7VJ5CF,EOG7VJ5CF	NM_001273180	XM_970162	6548	6548	3.00E-4...,182,2,BMC_Genomics_2016_Mar_22_17_250.txt
EOG7JXFJ7,EOG7JXFJ7	NM_001273577	Not found in OrthoDB	9417	N...,187,2,BMC_Genomics_2016_Mar_22_17_250.txt
EOG7KX50F,EOG7KX50F	NM_141339	Not found in OrthoDB	7560	NS	2...,190,2,BMC_Genomics_2016_Mar_22_17_250.txt
EOG7HJ870,EOG7HJ870	NM_057455	Not found in OrthoDB	9495	NS	0...,195,2,BMC_Genomics_2016_Mar_22_17_250.txt
EOG7N9B8P,EOG7N9B8P	NM_001272403	EEZ98091	1660	1444	0.02	0.6...,200,2,BMC_Genomics_2016_Mar_22_17_250.txt
EOG7RVNX6,EOG7RVNX6	NM_057404	Not found in OrthoDB	3203	NS	0...,204,2,BMC_Genomics_2016_Mar_22_17_250.txt
