matchedPattern,context,lineNumber,columnNumber,publicationName
243A>G,"...ogenic mtDNA point mutation identified was the m.3243A>G mutation (n = 74, minimum prevalence = 3.5 ...",94,1030,Ann_Neurol_2015_May_28_77(5)_753-759.txt
243A>G,"m.3243A>G, MT‐TL",122,4,Ann_Neurol_2015_May_28_77(5)_753-759.txt
243A>G,...ational figures in the intervening decade. The m.3243A>G mutation remains the most prevalent pathoge...,223,510,Ann_Neurol_2015_May_28_77(5)_753-759.txt
243A>G,"...r patient cohort, the point prevalence for the m.3243A>G mutation remains significantly lower than t...",229,428,Ann_Neurol_2015_May_28_77(5)_753-759.txt
243A>G,... the best predictor of clinical outcome in the m.3243A>G mtDNA mutation . Neurology,311,81,Ann_Neurol_2015_May_28_77(5)_753-759.txt
243A>G,"MELAS m.3243A>G	30	Randomized, placebo-controlled crossover...",49,10,Br_J_Pharmacol_2014_Apr_28_171(8)_1798-1817.txt
243A>G,"...ike episodes in MELAS patients with the common m.3243A>G mutation (Koga et al., 2005; 2006; 2010). M...",131,735,Br_J_Pharmacol_2014_Apr_28_171(8)_1798-1817.txt
243A>G,... the aminoacylation defect associated with the m.3243A>G mutation. Formal double-blinded randomized ...,131,1269,Br_J_Pharmacol_2014_Apr_28_171(8)_1798-1817.txt
243A>G,...Study: clinical phenotypes associated with the m.3243A>G mutation–implications for diagnosis and man...,389,177,Br_J_Pharmacol_2014_Apr_28_171(8)_1798-1817.txt
243A>G,...mitochondrial disorder primarily caused by the m.3243A>G mutation in the mitochondrial DNA,52,147,EMBO_Mol_Med_2016_Apr_8_8(4)_311-327.txt
243A>G,Bezafibrate	MD (Confirmed mt.3243A>G mutation)	Open‐label phase 2 feasibility st...,182,31,EMBO_Mol_Med_2016_Apr_8_8(4)_311-327.txt
243A>G,(2014 ) Serum FGF21 levels in adult m.3243A>G carriers: clinical implications . Neurology...,1757,41,EMBO_Mol_Med_2016_Apr_8_8(4)_311-327.txt
243A>G,"...train, but not to disease progression in adult m.3243A>G carriers . JIMD Rep",1791,139,EMBO_Mol_Med_2016_Apr_8_8(4)_311-327.txt
243A>G,(2011 ) Phenotypic spectrum of m.3243A>G mitochondrial DNA mutation in children . Ar...,2341,36,EMBO_Mol_Med_2016_Apr_8_8(4)_311-327.txt
243A>G,The m.3243A>G mutation is present in ∼1 in 300 of the gen...,39,8,Eur_Heart_J_2012_Dec_30_33(24)_3023-3033.txt
243A>G,"to the m.3243A>G mutation, while sudden death, often with a ...",51,11,Eur_Heart_J_2012_Dec_30_33(24)_3023-3033.txt
243A>G, MTTL1	m.3243A>G	++	+	++	+	+	+	−,236,11,Eur_Heart_J_2012_Dec_30_33(24)_3023-3033.txt
243A>G,m.3243A>G mutation and have revealed a correlation be...,307,4,Eur_Heart_J_2012_Dec_30_33(24)_3023-3033.txt
243A>G,m.3243A>G mutation.2,333,4,Eur_Heart_J_2012_Dec_30_33(24)_3023-3033.txt
243A>G,reported in patients with LVH and the m.3243A>G or m.8344A>,335,42,Eur_Heart_J_2012_Dec_30_33(24)_3023-3033.txt
