matchedPattern,context,lineNumber,columnNumber,publicationName
c.2330dup,"...ng region of MEFV gene, named c.2330dupG (p.Gln778Serfs*4 or...",10,93,BMC_Med_Genet_2014_Jul_1_15_74.txt
c.2330dup," 	Mother	F, 35y	30y	c.2330dupG/0	+	+	-	-	-	-",49,21,BMC_Med_Genet_2014_Jul_1_15_74.txt
c.2330dup," 	Child 11	M, 16y	15y	c.2330dupG/0	+	+	-	+	-	-",50,23,BMC_Med_Genet_2014_Jul_1_15_74.txt
c.2330dup," 	Mother	F, 32y	20y	c.2330dupG/M694V	+	+	+	-	-	-",53,21,BMC_Med_Genet_2014_Jul_1_15_74.txt
c.2330dup," 	Child 11	M, 7y	6y	c.2330dupG/0	+	+	-	-	-	-",54,21,BMC_Med_Genet_2014_Jul_1_15_74.txt
c.2330dup,"...ion analyser web-based tools, c.2330dupG mutation was search...",60,53,BMC_Med_Genet_2014_Jul_1_15_74.txt
c.2330dup,...iv Prediction version) showed c.2330dupG mutation might have...,60,148,BMC_Med_Genet_2014_Jul_1_15_74.txt
c.2330dup,...d FMF symptoms and arthritis. c.2330dupG mutation was detect...,75,66,BMC_Med_Genet_2014_Jul_1_15_74.txt
c.2330dup,"... DNA sequencing, heterozygous c.2330dupG was detected in Chi...",78,461,BMC_Med_Genet_2014_Jul_1_15_74.txt
c.2330dup,...ozygous due to both M694V and c.2330dupG mutations,78,578,BMC_Med_Genet_2014_Jul_1_15_74.txt
c.2330dup,...ft mutation of the MEFV gene; c.2330dupG that was detected i...,81,73,BMC_Med_Genet_2014_Jul_1_15_74.txt
c.2330dup,"...ions are as follows: Firstly, c.2330dupG mutation was found ...",81,406,BMC_Med_Genet_2014_Jul_1_15_74.txt
c.2330dup,... she is also heterozygous for c.2330dupG mutation and she al...,81,913,BMC_Med_Genet_2014_Jul_1_15_74.txt
c.2330dup,...as she has got both M694V and c.2330dupG mutations. Based on...,85,1547,BMC_Med_Genet_2014_Jul_1_15_74.txt
c.2330dup,"...fore. Therefore, we think the c.2330dupG (p.Gln778Serfs*4) m...",92,102,BMC_Med_Genet_2014_Jul_1_15_74.txt
