matchedPattern,context,lineNumber,columnNumber,publicationName
-2A > G,IVS4-2A >,143,5,Front_Mol_Neurosci_2016_Jun_29_9_50.txt
-2A > G,"...38C > T, 1555A > G, 1494C > T, 2168A > G, and IVS7-2A > G. The samples that showed the absence of bo...",7,495,J_Transl_Med_2011_Sep_14_9_154.txt
-2A > G,"...tDNA 12S rRNA gene, and 2168A > G (H723R) and IVS7-2A > G for SLC26A4 gene",18,1258,J_Transl_Med_2011_Sep_14_9_154.txt
-2A > G,"... and 299-300delAT), GJB3 (538C > T), SLC26A4 (IVS7-2A > G and 2168A > G), and mitochondrial 12S rRNA...",27,645,J_Transl_Med_2011_Sep_14_9_154.txt
-2A > G,IVS7-2A > G/-	0	7	0	0,75,5,J_Transl_Med_2011_Sep_14_9_154.txt
-2A > G,IVS7-2A > G/IVS7-2A > G	2	7	0	0,76,5,J_Transl_Med_2011_Sep_14_9_154.txt
-2A > G,IVS7-2A > G/IVS7-2A > G	2	7	0	0,76,17,J_Transl_Med_2011_Sep_14_9_154.txt
-2A > G,2168A > G/IVS7-2A > G	1	1	0	0,78,15,J_Transl_Med_2011_Sep_14_9_154.txt
-2A > G,235delC/IVS7-2A > G	0	1	0	0,82,13,J_Transl_Med_2011_Sep_14_9_154.txt
-2A > G,IVS7-2A > G	0	1	0	0,85,5,J_Transl_Med_2011_Sep_14_9_154.txt
-2A > G,IVS7-2A > G/538C > T	0	1	0	0,86,5,J_Transl_Med_2011_Sep_14_9_154.txt
-2A > G,"...6A4 mutation, including 2168A > G (H723R) and IVS7-2A > G, were 2.01% (4/199) in Uyghur patients and...",94,74,J_Transl_Med_2011_Sep_14_9_154.txt
-2A > G,"... Han Chinese patients, respectively. Of note, IVS7-2A > G mutant alleles accounted for 83.33% (25/30...",94,193,J_Transl_Med_2011_Sep_14_9_154.txt
-2A > G,"..., the two locus mutations of SLC26A4, namely, IVS7-2A > G and 2168A > G (H723R), are less frequently...",106,623,J_Transl_Med_2011_Sep_14_9_154.txt
-2A > G,"...quently found in Uyghur NSD patients, whereas IVS7-2A > G is the primary mutation in Uyghur patients...",106,716,J_Transl_Med_2011_Sep_14_9_154.txt
-2A > G,... et al. [15] reported the complete absence of IVS7-2A > G mutation in 60 Uyghur patients. Li et al. ...,106,821,J_Transl_Med_2011_Sep_14_9_154.txt
-2A > G,"...Uyghur patients. Li et al. [30] reported that IVS7-2A > G, a major mutant locus of SLC26A4 exhibited...",106,894,J_Transl_Med_2011_Sep_14_9_154.txt
-2A > G,"... (22/151) in Han Chinese NSD patients, whilst IVS7-2A > G mutant alleles account for 83.33% (25/30) ...",106,1230,J_Transl_Med_2011_Sep_14_9_154.txt
-2A > G,...tion. This is consistent with the report that IVS7-2A > G is the primary mutation of SLC26A4 in Han ...,106,1348,J_Transl_Med_2011_Sep_14_9_154.txt
-2A > G,... X Han B Yuan H Platt OS Han D Wu BL SLC26A4 c.919-2A > G varies among Chinese ethnic groups as a ca...,140,120,J_Transl_Med_2011_Sep_14_9_154.txt
