matchedPattern,context,lineNumber,columnNumber,publicationName
rs7903146,...ed whether patients with diabetes risk alleles at rs7903146 might have an altered hypoglycaemic resp...,4,258,BMC_Med_Genet_2011_Feb_24_12_30.txt
rs7903146,...ith T2D being treated with SUs and determined the rs7903146 diabetes risk genotype. We used a logist...,7,78,BMC_Med_Genet_2011_Feb_24_12_30.txt
rs7903146,...s the only predictor of SU treatment failure. The rs7903146 T allele was significantly more frequent...,10,104,BMC_Med_Genet_2011_Feb_24_12_30.txt
rs7903146,...th a clear gene dose effect were reported for the rs7903146 variant [3]. The initial findings have b...,16,453,BMC_Med_Genet_2011_Feb_24_12_30.txt
rs7903146,...ents with diabetes risk alleles at rs12255372 and rs7903146 have an altered hypoglycaemic response t...,16,1440,BMC_Med_Genet_2011_Feb_24_12_30.txt
rs7903146,"... treated with SU agents and determined the TCF7L2 rs7903146 diabetes risk genotype, which has been r...",18,240,BMC_Med_Genet_2011_Feb_24_12_30.txt
rs7903146,Genotyping of rs790314,43,15,BMC_Med_Genet_2011_Feb_24_12_30.txt
rs7903146,Genotyping of rs7903146 in all study subjects was done using the...,44,15,BMC_Med_Genet_2011_Feb_24_12_30.txt
rs7903146,... predictor of SU treatment failure (Table 2). The rs7903146 T allele was significantly more frequent...,52,131,BMC_Med_Genet_2011_Feb_24_12_30.txt
rs7903146,TCF7L2 genotype (rs7903146; per allele effect)	1.57 (1.01-2.45)	0.0...,61,18,BMC_Med_Genet_2011_Feb_24_12_30.txt
rs7903146,Table 3 Effect of rs7903146 genotype on sulfonylurea treatment failu...,63,19,BMC_Med_Genet_2011_Feb_24_12_30.txt
rs7903146,Genotype rs7903146	Total	Control,65,10,BMC_Med_Genet_2011_Feb_24_12_30.txt
rs7903146,To investigate whether the rs7903146 effect is specific to the mechanism of a...,78,28,BMC_Med_Genet_2011_Feb_24_12_30.txt
rs7903146,"...1.01), P = 0.006]. We also assessed the effect of rs7903146 on SU treatment failure. The rs7903146 T...",83,302,BMC_Med_Genet_2011_Feb_24_12_30.txt
rs7903146,... effect of rs7903146 on SU treatment failure. The rs7903146 T allele was significantly more frequent...,83,341,BMC_Med_Genet_2011_Feb_24_12_30.txt
rs7903146,...ed the effect of TCF7L2 diabetes risk T-allele at rs7903146 on therapeutic response to SUs. In univa...,86,86,BMC_Med_Genet_2011_Feb_24_12_30.txt
rs7903146,...s the only predictor of SU treatment failure. The rs7903146 T-allele conferred a higher risk for sul...,86,231,BMC_Med_Genet_2011_Feb_24_12_30.txt
rs7903146,...arriers of the TCF7L2 risk alleles (rs1225372 and rs7903146) were twice as likely not to respond to ...,86,951,BMC_Med_Genet_2011_Feb_24_12_30.txt
rs7903146,...ion between sulfonylurea response and genotype at rs7903146 [15]. Even though the findings are consi...,86,1220,BMC_Med_Genet_2011_Feb_24_12_30.txt
rs7903146,"...oDARTS study). Also, genotype distribution of the rs7903146 was similar, with 10% and 11% of diabeti...",86,3008,BMC_Med_Genet_2011_Feb_24_12_30.txt
