matchedPattern,context,lineNumber,columnNumber,publicationName
P05067,"...de, possibly reflecting the UNIPROTKB identifier (P05067) being the same for each peptide. Additiona...",90,921,Alzheimers_Res_Ther_2012_Apr_13_4(2)_10.txt
P05067,"...vely, comprising residues 672–711/713; UniProt ID P05067), of which the latter shows even stronger a...",14,650,Biochem_J_2016_Jun_1_473(11)_1563-1578.txt
P05067,A01.004	P05067	671,151,9,Biochimie_2016_Mar_122_5-30.txt
P05067,A01.004	P05067	671,151,9,Biochimie_2016_Mar_122_5-30.txt
P05067,A01.009	P05067	705,152,9,Biochimie_2016_Mar_122_5-30.txt
P05067,A01.009	P05067	705,152,9,Biochimie_2016_Mar_122_5-30.txt
P05067,A01.009	P05067	713,153,9,Biochimie_2016_Mar_122_5-30.txt
P05067,A01.009	P05067	713,153,9,Biochimie_2016_Mar_122_5-30.txt
P05067,A01.009	P05067	714,154,9,Biochimie_2016_Mar_122_5-30.txt
P05067,A01.009	P05067	714,154,9,Biochimie_2016_Mar_122_5-30.txt
P05067,A01.009	P05067	719,155,9,Biochimie_2016_Mar_122_5-30.txt
P05067,A01.009	P05067	719,155,9,Biochimie_2016_Mar_122_5-30.txt
P05067,A01.009	P05067	720,156,9,Biochimie_2016_Mar_122_5-30.txt
P05067,A01.009	P05067	720,156,9,Biochimie_2016_Mar_122_5-30.txt
P05067,A01.041	P05067	690,157,9,Biochimie_2016_Mar_122_5-30.txt
P05067,A01.041	P05067	690,157,9,Biochimie_2016_Mar_122_5-30.txt
P05067,A01.041	P05067	691,158,9,Biochimie_2016_Mar_122_5-30.txt
P05067,A01.041	P05067	691,158,9,Biochimie_2016_Mar_122_5-30.txt
P05067,A22.001	P05067	711,159,9,Biochimie_2016_Mar_122_5-30.txt
P05067,A22.001	P05067	711,159,9,Biochimie_2016_Mar_122_5-30.txt
