matchedPattern,context,lineNumber,columnNumber,publicationName
c.2708_2711delTTAG,"...g 15 novel mutations. Three mutations c.983A > G, c.2708_2711delTTAG and c.2826_2836delinsGGATGCTCCA...",10,135,BMC_Med_Genet_2012_Aug_2_13_65.txt
c.2708_2711delTTAG,...ests that they descend from a single founder. The c.2708_2711delTTAG mutation was present on at leas...,10,396,BMC_Med_Genet_2012_Aug_2_13_65.txt
c.2708_2711delTTAG,B) Analysis of 10 families with c.2708_2711delTTAG mutation in exon 27,90,33,BMC_Med_Genet_2012_Aug_2_13_65.txt
c.2708_2711delTTAG,"c.2708_2711delTTAG	[2,9-11,15,16,19-21]	p. Val903G...",122,1,BMC_Med_Genet_2012_Aug_2_13_65.txt
c.2708_2711delTTAG,"Two sequence variations, c.983A > G and c.2708_2711delTTAG were present in 10 and 11 famil...",130,41,BMC_Med_Genet_2012_Aug_2_13_65.txt
c.2708_2711delTTAG,... an in-frame deletion of 38 amino acids. [16] The c.2708_2711delTTAG mutation is located as the firs...,130,237,BMC_Med_Genet_2012_Aug_2_13_65.txt
c.2708_2711delTTAG,... 10 families with c.983A > G and 10 families with c.2708_2711delTTAG (Table 1). Nine out of 10 famil...,130,691,BMC_Med_Genet_2012_Aug_2_13_65.txt
c.2708_2711delTTAG,...to OPA1. At least two haplotypes were present for c.2708_2711delTTAG,130,902,BMC_Med_Genet_2012_Aug_2_13_65.txt
c.2708_2711delTTAG,...risticsof affected individuals with c.983A > G or c.2708_2711delTTAG revealed a broad spectrum of ph...,132,84,BMC_Med_Genet_2012_Aug_2_13_65.txt
c.2708_2711delTTAG,... while visual acuity ranged from 6/6 to 2/60. For c.2708_2711delTTAG the age at clinical onset varie...,132,352,BMC_Med_Genet_2012_Aug_2_13_65.txt
c.2708_2711delTTAG,...G mutation and figure B includes 21 patients with c.2708_2711delTTAG mutation,135,165,BMC_Med_Genet_2012_Aug_2_13_65.txt
c.2708_2711delTTAG,"...one of only threesequence variations (c.983A > G, c.2708_2711delTTAG, or c.2826_2836delinsGGATGCTCCA...",138,232,BMC_Med_Genet_2012_Aug_2_13_65.txt
c.2708_2711delTTAG,"The two frequent mutations, c.983A > G and c.2708_2711delTTAG, have been reported previously ...",144,44,BMC_Med_Genet_2012_Aug_2_13_65.txt
c.2708_2711delTTAG,...evidence for a founder effect of c.983A > G while c.2708_2711delTTAG seems to be a mutational hotspo...,144,197,BMC_Med_Genet_2012_Aug_2_13_65.txt
c.2708_2711delTTAG,...inical findings from families with c.983A > G and c.2708_2711delTTAG mutations,177,53,BMC_Med_Genet_2012_Aug_2_13_65.txt
c.2708_2711delTTAG,...inical findings from families with c.983A > G and c.2708_2711delTTAG mutations,182,53,BMC_Med_Genet_2012_Aug_2_13_65.txt
