matchedPattern,context,lineNumber,columnNumber,publicationName
P05067,A01.004	P05067	671,151,8,Biochimie_2016_Mar_122_5-30.txt
P05067,A01.009	P05067	705,152,8,Biochimie_2016_Mar_122_5-30.txt
P05067,A01.009	P05067	713,153,8,Biochimie_2016_Mar_122_5-30.txt
P05067,A01.009	P05067	714,154,8,Biochimie_2016_Mar_122_5-30.txt
P05067,A01.009	P05067	719,155,8,Biochimie_2016_Mar_122_5-30.txt
P05067,A01.009	P05067	720,156,8,Biochimie_2016_Mar_122_5-30.txt
P05067,A01.041	P05067	690,157,8,Biochimie_2016_Mar_122_5-30.txt
P05067,A01.041	P05067	691,158,8,Biochimie_2016_Mar_122_5-30.txt
P05067,A22.001	P05067	711,159,8,Biochimie_2016_Mar_122_5-30.txt
P05067,A22.001	P05067	713,160,8,Biochimie_2016_Mar_122_5-30.txt
P05067,A22.001	P05067	714,161,8,Biochimie_2016_Mar_122_5-30.txt
P05067,C01.060	P05067	704,162,8,Biochimie_2016_Mar_122_5-30.txt
P05067,C01.060	P05067	708,163,8,Biochimie_2016_Mar_122_5-30.txt
P05067,C01.060	P05067	711,164,8,Biochimie_2016_Mar_122_5-30.txt
P05067,C01.084	P05067	685,165,8,Biochimie_2016_Mar_122_5-30.txt
P05067,C01.084	P05067	685,166,8,Biochimie_2016_Mar_122_5-30.txt
P05067,C01.084	P05067	685,167,8,Biochimie_2016_Mar_122_5-30.txt
P05067,C01.084	P05067	689,168,8,Biochimie_2016_Mar_122_5-30.txt
P05067,C01.084	P05067	690,169,8,Biochimie_2016_Mar_122_5-30.txt
P05067,C01.084	P05067	690,170,8,Biochimie_2016_Mar_122_5-30.txt
