matchedPattern,context,lineNumber,columnNumber,publicationName
p.N607_K675del,"... 2008). To generate FLAG-CCM1:p.N607_K675del, the altered co...",22,181,Mol_Genet_Genomic_Med_2014_Mar_14_2(2)_176-185.txt
p.N607_K675del,"...on 18 (CCM1:c.2025+1G>A, CCM1:p.N607_K675del) was similarly ...",22,279,Mol_Genet_Genomic_Med_2014_Mar_14_2(2)_176-185.txt
p.N607_K675del,IVS18	c.2025+1G>A	p.N607_K675del3	f	Denier et al...,63,19,Mol_Genet_Genomic_Med_2014_Mar_14_2(2)_176-185.txt
p.N607_K675del,... mechanisms of action of CCM1:p.N607_K675del identified in t...,101,559,Mol_Genet_Genomic_Med_2014_Mar_14_2(2)_176-185.txt
p.N607_K675del,...c.2025+1G>A within CCM1 (CCM1:p.N607_K675del) was found in a...,103,44,Mol_Genet_Genomic_Med_2014_Mar_14_2(2)_176-185.txt
p.N607_K675del,"... 69 amino acid deletion (CCM1:p.N607_K675del), which resides...",109,71,Mol_Genet_Genomic_Med_2014_Mar_14_2(2)_176-185.txt
p.N607_K675del,"...nding site is deleted in CCM1:p.N607_K675del, while the majo...",109,682,Mol_Genet_Genomic_Med_2014_Mar_14_2(2)_176-185.txt
p.N607_K675del,...on of recombinant mutant CCM1:p.N607_K675del protein was ana...,109,870,Mol_Genet_Genomic_Med_2014_Mar_14_2(2)_176-185.txt
p.N607_K675del,...encoded by exon 18 (FLAG-CCM1:p.N607_K675del) was expressed ...,109,1001,Mol_Genet_Genomic_Med_2014_Mar_14_2(2)_176-185.txt
p.N607_K675del,...e whether interaction of CCM1:p.N607_K675del with HEG1 is ab...,109,1176,Mol_Genet_Genomic_Med_2014_Mar_14_2(2)_176-185.txt
p.N607_K675del,...ssays revealed that FLAG-CCM1:p.N607_K675del showed markedly...,109,1383,Mol_Genet_Genomic_Med_2014_Mar_14_2(2)_176-185.txt
p.N607_K675del,"...FLAG-CCM1 (lane 1), FLAG-CCM1:p.N607_K675del (FLAG-CCM1Δ) mi...",111,725,Mol_Genet_Genomic_Med_2014_Mar_14_2(2)_176-185.txt
