matchedPattern,context,lineNumber,columnNumber,publicationName
rs2910164,"...n several key miRNAs (miR-149 rs2292832, miR-146a rs2910164, miR-605 rs2043556, miR-608 rs4919510, a...",8,131,Chin_J_Cancer_2016_Aug_11_35_77.txt
rs2910164,"...the other three SNPs (miR-149 rs2292832, miR-146a rs2910164, and miR-608 rs4919510) and HNSCC risk",11,722,Chin_J_Cancer_2016_Aug_11_35_77.txt
rs2910164,...dified expression level of these two miRNAs [14]. rs2910164 in miR-146a altered the mature miR-146a ...,24,359,Chin_J_Cancer_2016_Aug_11_35_77.txt
rs2910164,"... common SNPs in key miRNAs (rs2292832 in miR-149, rs2910164 in miR-146a, rs2043556 in miR-605, rs491...",26,114,Chin_J_Cancer_2016_Aug_11_35_77.txt
rs2910164,"...otentially functional SNPs (rs2292832 in miR-149, rs2910164 in miR-146a, rs2043556 in miR-605, rs491...",33,165,Chin_J_Cancer_2016_Aug_11_35_77.txt
rs2910164,Pre-miR-146a	5q34	rs2910164	G>C	99.81	0.468	0.429	0.558	0.558,81,19,Chin_J_Cancer_2016_Aug_11_35_77.txt
rs2910164,miR-146a rs2910164	GG	497	154	1.00	40,199,10,Chin_J_Cancer_2016_Aug_11_35_77.txt
rs2910164,...enotyped in 575 cases and 1548 controls; miR-146a rs2910164 was genotyped in 576 cases and 1548 cont...,219,194,Chin_J_Cancer_2016_Aug_11_35_77.txt
rs2910164,"...e four-factor model, which included age, miR-146a rs2910164, miR-608 rs4919510, and miR-196a2 rs1161...",393,379,Chin_J_Cancer_2016_Aug_11_35_77.txt
rs2910164,"Three-factor (age, miR-146a rs2910164, and miR-196a2 rs11614913)	0.7276	0.5314...",401,29,Chin_J_Cancer_2016_Aug_11_35_77.txt
rs2910164,"Four-factor (age, miR-146a rs2910164, miR-608 rs4919510, and miR-196a2 rs1161...",402,28,Chin_J_Cancer_2016_Aug_11_35_77.txt
rs2910164,"...ommon SNPs in miRNAs (miR-149 rs2292832, miR-146a rs2910164, miR-605 rs2043556, miR-608 rs4919510, a...",413,118,Chin_J_Cancer_2016_Aug_11_35_77.txt
rs2910164,"...tween the other three SNPs (rs2292832 in miR-149, rs2910164 in miR-146a, and rs4919510 in miR-608) a...",419,77,Chin_J_Cancer_2016_Aug_11_35_77.txt
rs2910164,"...of 66 case–control studies reported that miR-146a rs2910164 was a risk factor for HNSCC, which inclu...",419,529,Chin_J_Cancer_2016_Aug_11_35_77.txt
rs2910164,...om the Chinese population indicated that miR-146a rs2910164 was not significantly associated with or...,419,743,Chin_J_Cancer_2016_Aug_11_35_77.txt
rs2910164,"...t none of these three SNPs (rs2292832 in miR-149, rs2910164 in miR-146a, and rs4919510 in miR-608) c...",419,1100,Chin_J_Cancer_2016_Aug_11_35_77.txt
rs2910164,... common polymorphisms rs11614913 in miR-196a2 and rs2910164 in miR-146a on cancer susceptibility: a ...,452,108,Chin_J_Cancer_2016_Aug_11_35_77.txt
rs2910164,"...n four genetic variants in microRNAs (rs11614913, rs2910164, rs3746444, rs2292832) and cancer risk: ...",453,119,Chin_J_Cancer_2016_Aug_11_35_77.txt
rs2910164,"...n several key miRNAs (miR-149 rs2292832, miR-146a rs2910164, miR-605 rs2043556, miR-608 rs4919510, a...",8,131,Chin_J_Cancer_2016_Aug_11_35_77.txt
rs2910164,"...the other three SNPs (miR-149 rs2292832, miR-146a rs2910164, and miR-608 rs4919510) and HNSCC risk",11,722,Chin_J_Cancer_2016_Aug_11_35_77.txt
